Entity,Date,Daily tests,Cases,Deaths
Mozambique,2020-05-25,333.0,209.0,1.0
Mozambique,2020-05-26,240.0,213.0,1.0
Mozambique,2020-05-27,294.0,227.0,1.0
Mozambique,2020-05-28,488.0,233.0,2.0
Mozambique,2020-05-29,416.0,234.0,2.0
Mozambique,2020-05-30,27.0,244.0,2.0
Mozambique,2020-05-31,617.0,254.0,2.0
Mozambique,2020-06-01,92.0,254.0,2.0
Mozambique,2020-06-02,269.0,307.0,2.0
Mozambique,2020-06-03,333.0,316.0,2.0
Mozambique,2020-06-04,554.0,352.0,2.0
Mozambique,2020-06-05,217.0,354.0,2.0
Mozambique,2020-06-06,1055.0,409.0,2.0
Mozambique,2020-06-07,612.0,424.0,2.0
Mozambique,2020-06-08,570.0,433.0,2.0
Mozambique,2020-06-09,610.0,453.0,2.0
Mozambique,2020-06-10,354.0,472.0,2.0
Mozambique,2020-06-11,491.0,489.0,2.0
Mozambique,2020-06-12,884.0,509.0,2.0
Mozambique,2020-06-13,1142.0,553.0,2.0
Mozambique,2020-06-14,559.0,583.0,3.0
Mozambique,2020-06-15,961.0,609.0,3.0
Mozambique,2020-06-16,682.0,638.0,4.0
Mozambique,2020-06-17,751.0,651.0,4.0
Mozambique,2020-06-18,766.0,662.0,4.0
Mozambique,2020-06-19,483.0,668.0,4.0
Mozambique,2020-06-20,841.0,688.0,4.0
Mozambique,2020-06-21,656.0,733.0,5.0
Mozambique,2020-06-22,588.0,737.0,5.0
Mozambique,2020-06-23,694.0,757.0,5.0
Mozambique,2020-06-24,404.0,762.0,5.0
Mozambique,2020-06-25,758.0,788.0,5.0
Mozambique,2020-06-26,919.0,816.0,5.0
Mozambique,2020-06-27,833.0,839.0,5.0
Mozambique,2020-06-28,691.0,859.0,5.0
Mozambique,2020-06-29,757.0,883.0,6.0
Mozambique,2020-06-30,173.0,889.0,6.0
Mozambique,2020-07-01,757.0,903.0,6.0
Mozambique,2020-07-02,605.0,918.0,6.0
Mozambique,2020-07-03,845.0,939.0,6.0
Mozambique,2020-07-04,714.0,969.0,7.0
Mozambique,2020-07-05,627.0,987.0,8.0
Mozambique,2020-07-06,911.0,1012.0,8.0
Mozambique,2020-07-07,1104.0,1040.0,8.0
Mozambique,2020-07-08,556.0,1071.0,8.0
Mozambique,2020-07-09,1002.0,1092.0,9.0
Mozambique,2020-07-10,1312.0,1111.0,9.0
Mozambique,2020-07-11,1081.0,1135.0,9.0
Mozambique,2020-07-12,1857.0,1157.0,9.0
