Entity,Date,Daily tests,Cases,Deaths
Myanmar,2020-04-05,63.0,21.0,1.0
Myanmar,2020-04-10,137.0,27.0,3.0
Myanmar,2020-04-11,76.0,38.0,3.0
Myanmar,2020-04-12,230.0,41.0,4.0
Myanmar,2020-04-13,285.0,62.0,4.0
Myanmar,2020-04-14,309.0,63.0,4.0
Myanmar,2020-04-15,360.0,74.0,4.0
Myanmar,2020-04-16,433.0,85.0,4.0
Myanmar,2020-04-19,267.0,111.0,5.0
Myanmar,2020-04-20,370.0,119.0,5.0
Myanmar,2020-04-21,402.0,121.0,5.0
Myanmar,2020-04-22,276.0,123.0,5.0
Myanmar,2020-04-23,251.0,139.0,5.0
Myanmar,2020-04-24,328.0,144.0,5.0
Myanmar,2020-04-25,341.0,146.0,5.0
Myanmar,2020-04-26,416.0,146.0,5.0
Myanmar,2020-04-29,393.0,150.0,6.0
Myanmar,2020-04-30,282.0,151.0,6.0
Myanmar,2020-05-01,195.0,151.0,6.0
Myanmar,2020-05-02,155.0,151.0,6.0
Myanmar,2020-05-03,340.0,155.0,6.0
Myanmar,2020-05-04,214.0,161.0,6.0
Myanmar,2020-05-05,244.0,161.0,6.0
Myanmar,2020-05-06,257.0,161.0,6.0
Myanmar,2020-05-07,747.0,176.0,6.0
Myanmar,2020-05-08,224.0,177.0,6.0
Myanmar,2020-05-09,566.0,178.0,6.0
Myanmar,2020-05-10,390.0,180.0,6.0
Myanmar,2020-05-11,260.0,180.0,6.0
Myanmar,2020-05-12,340.0,180.0,6.0
Myanmar,2020-05-13,240.0,181.0,6.0
Myanmar,2020-05-14,420.0,181.0,6.0
Myanmar,2020-05-15,513.0,182.0,6.0
Myanmar,2020-05-16,639.0,182.0,6.0
Myanmar,2020-05-17,365.0,184.0,6.0
Myanmar,2020-05-18,562.0,191.0,6.0
Myanmar,2020-05-19,576.0,193.0,6.0
Myanmar,2020-05-20,701.0,199.0,6.0
Myanmar,2020-05-21,712.0,199.0,6.0
Myanmar,2020-05-22,1124.0,199.0,6.0
Myanmar,2020-05-23,201.0,201.0,6.0
Myanmar,2020-05-24,769.0,201.0,6.0
Myanmar,2020-05-25,905.0,203.0,6.0
Myanmar,2020-05-26,763.0,206.0,6.0
Myanmar,2020-05-27,1130.0,206.0,6.0
Myanmar,2020-05-28,1022.0,206.0,6.0
Myanmar,2020-05-29,1026.0,207.0,6.0
Myanmar,2020-05-30,923.0,224.0,6.0
Myanmar,2020-05-31,1227.0,224.0,6.0
Myanmar,2020-06-01,1437.0,228.0,6.0
Myanmar,2020-06-02,1174.0,232.0,6.0
Myanmar,2020-06-03,1672.0,233.0,6.0
Myanmar,2020-06-04,1778.0,236.0,6.0
Myanmar,2020-06-05,1886.0,236.0,6.0
Myanmar,2020-06-06,1845.0,240.0,6.0
Myanmar,2020-06-07,1887.0,242.0,6.0
Myanmar,2020-06-08,1892.0,244.0,6.0
Myanmar,2020-06-09,1389.0,246.0,6.0
Myanmar,2020-06-10,1816.0,248.0,6.0
Myanmar,2020-06-11,1520.0,260.0,6.0
Myanmar,2020-06-12,1990.0,261.0,6.0
Myanmar,2020-06-13,1784.0,261.0,6.0
Myanmar,2020-06-14,2019.0,261.0,6.0
Myanmar,2020-06-15,1722.0,262.0,6.0
Myanmar,2020-06-16,1900.0,262.0,6.0
Myanmar,2020-06-17,2061.0,262.0,6.0
Myanmar,2020-06-18,1314.0,286.0,6.0
Myanmar,2020-06-19,1904.0,286.0,6.0
Myanmar,2020-06-20,1498.0,287.0,6.0
Myanmar,2020-06-21,1942.0,290.0,6.0
Myanmar,2020-06-22,1348.0,291.0,6.0
Myanmar,2020-06-23,1114.0,292.0,6.0
Myanmar,2020-06-24,1821.0,293.0,6.0
Myanmar,2020-06-25,2051.0,293.0,6.0
Myanmar,2020-06-26,1862.0,293.0,6.0
