Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-03-14,,2.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-03-15,,2.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-03-16,,2.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-03-17,,2.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-03-18,,2.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-03-19,,3.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-03-20,,3.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-03-21,,3.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-03-22,,3.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-03-23,,4.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-03-24,,7.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-03-25,,7.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-03-26,,8.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-03-27,,8.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-03-28,,8.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-03-29,,11.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-03-30,,11.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-03-31,,11.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-04-01,,14.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-04-02,,14.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-04-03,,14.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-04-04,,14.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-04-05,,16.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-04-06,,16.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-04-07,,16.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-04-08,,16.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-04-09,,16.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-04-10,,16.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-04-11,,16.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-04-12,,16.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-04-13,,16.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-04-14,,16.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-04-15,,16.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-04-16,,16.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-04-17,,16.0,
