Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-02-28,5520.0,1.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-02-29,5520.0,1.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-01,5520.0,1.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-02,29.0,1.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-03,26.0,1.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-04,25.0,3.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-05,27.0,3.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-06,66.0,4.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-07,44.0,5.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-08,28.0,5.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-09,79.0,5.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-10,88.0,5.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-11,83.0,5.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-12,97.0,5.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-13,120.0,5.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-14,128.0,6.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-15,88.0,8.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-16,404.0,8.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-17,921.0,12.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-18,1010.0,20.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-19,1384.0,28.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-20,1734.0,39.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-21,1281.0,52.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-22,873.0,102.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-23,1898.0,102.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-24,2192.0,155.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-25,1952.0,205.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-26,2088.0,283.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-27,1853.0,368.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-28,1366.0,451.0,527.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-29,982.0,514.0,1.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-30,1959.0,589.0,1.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-03-31,2036.0,647.0,1.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-04-01,3662.0,708.0,1.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-04-02,4057.0,797.0,1.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-04-03,4361.0,868.0,1.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-04-04,2603.0,950.0,1.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-04-05,2541.0,1039.0,1.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-04-06,3378.0,1106.0,1.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-04-07,4834.0,1160.0,1.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-04-08,3705.0,1210.0,1.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-04-09,3788.0,1239.0,1.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-04-10,1716.0,1283.0,2.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-04-11,1794.0,1312.0,4.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-04-12,1350.0,1330.0,4.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-04-13,1482.0,1349.0,5.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-04-14,3123.0,1366.0,9.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-04-15,4021.0,1386.0,9.0
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-04-16,4396.0,1401.0,9.0
