Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Nigeria,Africa,9.08,8.68,28,0.5,0.4,2229.9,190886311,18,3,2020-02-28,5520.0,1.0,527.0
Nigeria,Africa,9.08,8.68,28,0.5,0.4,2229.9,190886311,18,3,2020-02-29,5520.0,1.0,527.0
Nigeria,Africa,9.08,8.68,28,0.5,0.4,2229.9,190886311,18,3,2020-03-01,5520.0,1.0,527.0
Nigeria,Africa,9.08,8.68,28,0.5,0.4,2229.9,190886311,18,3,2020-03-02,5520.0,1.0,527.0
Nigeria,Africa,9.08,8.68,28,0.5,0.4,2229.9,190886311,18,3,2020-03-03,5520.0,1.0,527.0
Nigeria,Africa,9.08,8.68,28,0.5,0.4,2229.9,190886311,18,3,2020-03-04,5520.0,1.0,527.0
Nigeria,Africa,9.08,8.68,28,0.5,0.4,2229.9,190886311,18,3,2020-03-05,5520.0,1.0,527.0
Nigeria,Africa,9.08,8.68,28,0.5,0.4,2229.9,190886311,18,3,2020-03-06,5520.0,1.0,527.0
Nigeria,Africa,9.08,8.68,28,0.5,0.4,2229.9,190886311,18,3,2020-03-07,5520.0,1.0,527.0
Nigeria,Africa,9.08,8.68,28,0.5,0.4,2229.9,190886311,18,3,2020-03-08,5520.0,1.0,527.0
Nigeria,Africa,9.08,8.68,28,0.5,0.4,2229.9,190886311,18,3,2020-03-09,5520.0,2.0,527.0
Nigeria,Africa,9.08,8.68,28,0.5,0.4,2229.9,190886311,18,3,2020-03-10,5520.0,2.0,527.0
Nigeria,Africa,9.08,8.68,28,0.5,0.4,2229.9,190886311,18,3,2020-03-11,5520.0,2.0,527.0
Nigeria,Africa,9.08,8.68,28,0.5,0.4,2229.9,190886311,18,3,2020-03-12,5520.0,2.0,527.0
Nigeria,Africa,9.08,8.68,28,0.5,0.4,2229.9,190886311,18,3,2020-03-13,5520.0,2.0,527.0
Nigeria,Africa,9.08,8.68,28,0.5,0.4,2229.9,190886311,18,3,2020-03-14,5520.0,2.0,527.0
