Entity,Date,Daily tests,Cases,Deaths
Norway,2020-02-24,12.0,,
Norway,2020-02-25,62.0,,
Norway,2020-02-26,148.0,1.0,
Norway,2020-02-27,249.0,1.0,
Norway,2020-02-28,290.0,6.0,
Norway,2020-02-29,209.0,15.0,
Norway,2020-03-01,235.0,19.0,
Norway,2020-03-02,391.0,25.0,
Norway,2020-03-03,380.0,32.0,
Norway,2020-03-04,341.0,56.0,
Norway,2020-03-05,374.0,87.0,
Norway,2020-03-06,365.0,108.0,
Norway,2020-03-07,315.0,147.0,
Norway,2020-03-08,408.0,176.0,
Norway,2020-03-09,1484.0,205.0,
Norway,2020-03-10,1686.0,400.0,
Norway,2020-03-11,2085.0,598.0,
Norway,2020-03-12,3017.0,702.0,
Norway,2020-03-13,4054.0,996.0,
Norway,2020-03-14,2761.0,1090.0,3.0
Norway,2020-03-15,2870.0,1221.0,3.0
Norway,2020-03-16,6263.0,1333.0,3.0
Norway,2020-03-17,6586.0,1463.0,3.0
Norway,2020-03-18,6827.0,1550.0,6.0
Norway,2020-03-19,5983.0,1746.0,7.0
Norway,2020-03-20,5119.0,1914.0,7.0
Norway,2020-03-21,2507.0,2118.0,7.0
Norway,2020-03-22,1288.0,2385.0,7.0
Norway,2020-03-23,3564.0,2621.0,10.0
Norway,2020-03-24,3528.0,2863.0,12.0
Norway,2020-03-25,3344.0,3084.0,14.0
Norway,2020-03-26,3185.0,3369.0,14.0
Norway,2020-03-27,3291.0,3755.0,19.0
Norway,2020-03-28,1801.0,4015.0,23.0
Norway,2020-03-29,1243.0,4284.0,25.0
Norway,2020-03-30,3172.0,4445.0,32.0
Norway,2020-03-31,3446.0,4641.0,39.0
Norway,2020-04-01,3937.0,4863.0,44.0
Norway,2020-04-02,3560.0,5147.0,50.0
Norway,2020-04-03,3557.0,5370.0,59.0
Norway,2020-04-04,1386.0,5550.0,62.0
Norway,2020-04-05,1118.0,5687.0,71.0
Norway,2020-04-06,3530.0,5865.0,76.0
Norway,2020-04-07,2969.0,6086.0,89.0
Norway,2020-04-08,2276.0,6086.0,101.0
Norway,2020-04-09,1330.0,6211.0,108.0
Norway,2020-04-10,1354.0,6314.0,113.0
Norway,2020-04-11,1419.0,6409.0,119.0
Norway,2020-04-12,1245.0,6525.0,128.0
Norway,2020-04-13,1317.0,6603.0,134.0
Norway,2020-04-14,3368.0,6623.0,139.0
Norway,2020-04-15,3429.0,6740.0,150.0
Norway,2020-04-16,3110.0,6896.0,152.0
Norway,2020-04-17,3131.0,6937.0,161.0
Norway,2020-04-18,1176.0,7036.0,164.0
Norway,2020-04-19,1143.0,7078.0,165.0
Norway,2020-04-20,3776.0,7156.0,181.0
Norway,2020-04-21,3581.0,7191.0,182.0
Norway,2020-04-22,3346.0,7338.0,187.0
Norway,2020-04-23,2975.0,7401.0,194.0
Norway,2020-04-24,3281.0,7463.0,199.0
Norway,2020-04-25,1132.0,7499.0,201.0
Norway,2020-04-26,973.0,7527.0,201.0
Norway,2020-04-27,4104.0,7599.0,205.0
Norway,2020-04-28,4114.0,7660.0,206.0
Norway,2020-04-29,3954.0,7710.0,207.0
Norway,2020-04-30,4439.0,7738.0,210.0
Norway,2020-05-01,1511.0,7783.0,210.0
Norway,2020-05-02,1555.0,7809.0,211.0
Norway,2020-05-03,1260.0,7847.0,211.0
Norway,2020-05-04,4729.0,7904.0,214.0
Norway,2020-05-05,4316.0,7955.0,215.0
Norway,2020-05-06,4284.0,7996.0,216.0
Norway,2020-05-07,3752.0,8034.0,217.0
Norway,2020-05-08,3806.0,8070.0,218.0
Norway,2020-05-09,1304.0,8099.0,219.0
Norway,2020-05-10,1004.0,8105.0,219.0
Norway,2020-05-11,4403.0,8132.0,224.0
Norway,2020-05-12,4798.0,8157.0,228.0
Norway,2020-05-13,4472.0,8175.0,229.0
Norway,2020-05-14,4207.0,8196.0,232.0
Norway,2020-05-15,4180.0,8219.0,232.0
Norway,2020-05-16,1311.0,8237.0,232.0
Norway,2020-05-17,667.0,8249.0,232.0
Norway,2020-05-18,4413.0,8257.0,233.0
Norway,2020-05-19,4664.0,8267.0,233.0
Norway,2020-05-20,3955.0,8281.0,234.0
