Entity,Date,Daily tests,Cases,Deaths
Oman,2020-02-24,,2.0,
Oman,2020-02-25,,2.0,
Oman,2020-02-26,,4.0,
Oman,2020-02-27,,4.0,
Oman,2020-02-28,,4.0,
Oman,2020-02-29,,6.0,
Oman,2020-03-01,,6.0,
Oman,2020-03-02,,6.0,
Oman,2020-03-03,,12.0,
Oman,2020-03-04,,15.0,
Oman,2020-03-05,,16.0,
Oman,2020-03-06,,16.0,
Oman,2020-03-07,,16.0,
Oman,2020-03-08,,16.0,
Oman,2020-03-09,,16.0,
Oman,2020-03-10,,18.0,
Oman,2020-03-11,,18.0,
Oman,2020-03-12,,18.0,
Oman,2020-03-13,,19.0,
Oman,2020-03-14,,19.0,
Oman,2020-03-15,,22.0,
Oman,2020-03-16,,22.0,
Oman,2020-03-17,,24.0,
Oman,2020-03-18,,39.0,
Oman,2020-03-19,,48.0,
Oman,2020-03-20,,48.0,
Oman,2020-03-21,,52.0,
Oman,2020-03-22,,55.0,
Oman,2020-03-23,,66.0,
Oman,2020-03-24,,84.0,
Oman,2020-03-25,,99.0,
Oman,2020-03-26,,109.0,
Oman,2020-03-27,,131.0,
Oman,2020-03-28,,152.0,
Oman,2020-03-29,,167.0,
Oman,2020-03-30,,179.0,
Oman,2020-03-31,,192.0,1.0
Oman,2020-04-01,,210.0,1.0
Oman,2020-04-02,,231.0,1.0
Oman,2020-04-03,,252.0,1.0
Oman,2020-04-04,,277.0,2.0
Oman,2020-04-05,,298.0,2.0
Oman,2020-04-06,,331.0,2.0
Oman,2020-04-07,,371.0,2.0
Oman,2020-04-08,,419.0,2.0
Oman,2020-04-09,,457.0,3.0
Oman,2020-04-10,,484.0,3.0
Oman,2020-04-11,,546.0,3.0
Oman,2020-04-12,,599.0,4.0
Oman,2020-04-13,,727.0,4.0
Oman,2020-04-14,,813.0,4.0
Oman,2020-04-15,,910.0,4.0
Oman,2020-04-16,,1019.0,4.0
Oman,2020-04-17,,1069.0,6.0
Oman,2020-04-18,,1180.0,6.0
Oman,2020-04-19,,1266.0,7.0
Oman,2020-04-20,,1410.0,7.0
Oman,2020-04-21,,1508.0,8.0
Oman,2020-04-22,,1614.0,8.0
Oman,2020-04-23,,1716.0,9.0
Oman,2020-04-24,,1790.0,10.0
Oman,2020-04-25,,1905.0,10.0
Oman,2020-04-26,,1998.0,10.0
Oman,2020-04-27,,2049.0,10.0
Oman,2020-04-28,,2131.0,10.0
Oman,2020-04-29,,2274.0,10.0
Oman,2020-04-30,,2348.0,11.0
Oman,2020-05-01,,2447.0,11.0
Oman,2020-05-02,,2483.0,12.0
Oman,2020-05-03,,2568.0,12.0
Oman,2020-05-04,,2637.0,12.0
Oman,2020-05-05,,2735.0,13.0
Oman,2020-05-06,,2903.0,13.0
Oman,2020-05-07,,2958.0,15.0
Oman,2020-05-08,,3112.0,16.0
Oman,2020-05-09,,3224.0,17.0
Oman,2020-05-10,,3399.0,17.0
Oman,2020-05-11,,3573.0,17.0
Oman,2020-05-12,,3721.0,17.0
Oman,2020-05-13,,4019.0,17.0
Oman,2020-05-14,,4341.0,18.0
Oman,2020-05-15,,4625.0,20.0
Oman,2020-05-16,,5029.0,21.0
Oman,2020-05-17,,5186.0,22.0
Oman,2020-05-18,,5379.0,25.0
Oman,2020-05-19,,5671.0,27.0
Oman,2020-05-20,,6043.0,30.0
Oman,2020-05-21,,6370.0,31.0
Oman,2020-05-22,,6794.0,34.0
Oman,2020-05-23,,7257.0,36.0
Oman,2020-05-24,,7770.0,37.0
Oman,2020-05-25,,7770.0,37.0
Oman,2020-05-26,,8118.0,37.0
Oman,2020-05-27,,8373.0,39.0
Oman,2020-05-28,,9009.0,40.0
Oman,2020-05-29,,9820.0,40.0
Oman,2020-05-30,,10423.0,42.0
Oman,2020-05-31,,11437.0,49.0
Oman,2020-06-01,,12223.0,50.0
Oman,2020-06-02,,12799.0,59.0
Oman,2020-06-03,,13537.0,67.0
Oman,2020-06-04,2546.0,14316.0,67.0
Oman,2020-06-05,2463.0,15086.0,72.0
Oman,2020-06-06,3128.0,16016.0,72.0
Oman,2020-06-07,2907.0,16882.0,75.0
Oman,2020-06-08,2697.0,17486.0,81.0
Oman,2020-06-09,2688.0,18198.0,83.0
Oman,2020-06-10,2658.0,18887.0,84.0
Oman,2020-06-11,2747.0,19954.0,89.0
Oman,2020-06-12,3502.0,21071.0,96.0
Oman,2020-06-13,3135.0,22077.0,99.0
Oman,2020-06-14,3596.0,23481.0,104.0
Oman,2020-06-15,3283.0,24524.0,108.0
Oman,2020-06-16,2627.0,25269.0,114.0
Oman,2020-06-17,2797.0,26079.0,116.0
Oman,2020-06-18,2347.0,26818.0,119.0
Oman,2020-06-19,3317.0,27670.0,125.0
Oman,2020-06-20,2448.0,28566.0,128.0
Oman,2020-06-21,2804.0,29471.0,131.0
Oman,2020-06-22,4544.0,31076.0,137.0
Oman,2020-06-23,3940.0,32394.0,140.0
Oman,2020-06-24,3585.0,33536.0,142.0
Oman,2020-06-25,3835.0,34902.0,144.0
Oman,2020-06-26,4013.0,36034.0,153.0
Oman,2020-06-27,2508.0,36953.0,159.0
Oman,2020-06-28,3292.0,38150.0,163.0
Oman,2020-06-29,3191.0,39060.0,169.0
Oman,2020-06-30,3121.0,40070.0,176.0
Oman,2020-07-01,3533.0,41194.0,185.0
Oman,2020-07-02,4049.0,42555.0,188.0
Oman,2020-07-03,3834.0,43929.0,193.0
Oman,2020-07-04,2992.0,45106.0,203.0
Oman,2020-07-05,3515.0,46178.0,213.0
Oman,2020-07-06,3852.0,47735.0,218.0
Oman,2020-07-07,4007.0,48997.0,224.0
Oman,2020-07-08,3987.0,50207.0,233.0
Oman,2020-07-09,5456.0,51725.0,236.0
Oman,2020-07-10,4574.0,53614.0,244.0
Oman,2020-07-11,3833.0,54697.0,248.0
Oman,2020-07-12,3570.0,56015.0,257.0
Oman,2020-07-13,6173.0,58179.0,259.0
Oman,2020-07-14,4044.0,59568.0,273.0
Oman,2020-07-15,4613.0,61247.0,281.0
Oman,2020-07-16,4704.0,62574.0,290.0
Oman,2020-07-17,4721.0,64193.0,298.0
Oman,2020-07-18,3976.0,65504.0,308.0
Oman,2020-07-19,3943.0,66661.0,318.0
Oman,2020-07-20,3957.0,68400.0,326.0
Oman,2020-07-21,4701.0,69887.0,337.0
Oman,2020-07-22,4798.0,71547.0,349.0
Oman,2020-07-23,3344.0,72646.0,355.0
Oman,2020-07-24,3138.0,73791.0,359.0
Oman,2020-07-25,3076.0,74858.0,371.0
Oman,2020-07-26,3187.0,76005.0,384.0
Oman,2020-07-27,3504.0,77058.0,393.0
Oman,2020-07-28,1904.0,77904.0,402.0
Oman,2020-07-29,1314.0,78569.0,412.0
Oman,2020-07-30,1940.0,79159.0,421.0
Oman,2020-07-31,,79159.0,421.0
Oman,2020-08-01,,79159.0,421.0
Oman,2020-08-02,,79159.0,421.0
Oman,2020-08-03,,79159.0,421.0
Oman,2020-08-04,,79159.0,421.0
Oman,2020-08-05,2682.0,80286.0,488.0
Oman,2020-08-06,,80713.0,492.0
Oman,2020-08-07,,81067.0,502.0
Oman,2020-08-08,,81357.0,509.0
Oman,2020-08-09,,81580.0,513.0
Oman,2020-08-10,,81787.0,521.0
Oman,2020-08-11,,82050.0,533.0
Oman,2020-08-12,,82299.0,539.0
Oman,2020-08-13,,82531.0,551.0
Oman,2020-08-14,,82743.0,557.0
Oman,2020-08-15,,82924.0,562.0
Oman,2020-08-16,,83086.0,572.0
Oman,2020-08-17,,83226.0,588.0
Oman,2020-08-18,,83418.0,597.0
Oman,2020-08-19,,83606.0,603.0
Oman,2020-08-20,,83769.0,609.0
Oman,2020-08-21,,83769.0,609.0
Oman,2020-08-22,,83769.0,609.0
Oman,2020-08-23,,83769.0,609.0
Oman,2020-08-24,,84509.0,637.0
Oman,2020-08-25,,84652.0,642.0
Oman,2020-08-26,,84818.0,646.0
Oman,2020-08-27,,85005.0,650.0
Oman,2020-08-28,,85005.0,650.0
Oman,2020-08-29,,85005.0,650.0
Oman,2020-08-30,,85544.0,677.0
Oman,2020-08-31,,85722.0,685.0
Oman,2020-09-01,,85928.0,689.0
Oman,2020-09-02,,85928.0,689.0
Oman,2020-09-03,,86380.0,705.0
Oman,2020-09-04,,86380.0,705.0
Oman,2020-09-05,,86380.0,705.0
Oman,2020-09-06,,87072.0,728.0
Oman,2020-09-07,,87328.0,734.0
Oman,2020-09-08,,87590.0,742.0
Oman,2020-09-09,,87939.0,751.0
Oman,2020-09-10,,88337.0,762.0
Oman,2020-09-11,,88337.0,762.0
Oman,2020-09-12,,88337.0,762.0
Oman,2020-09-13,,89746.0,780.0
Oman,2020-09-14,,90222.0,790.0
Oman,2020-09-15,,90660.0,797.0
Oman,2020-09-16,,91196.0,805.0
Oman,2020-09-17,,91753.0,818.0
Oman,2020-09-18,,91753.0,818.0
Oman,2020-09-19,,91753.0,818.0
Oman,2020-09-20,,93475.0,846.0
Oman,2020-09-21,,94051.0,853.0
Oman,2020-09-22,,94711.0,865.0
Oman,2020-09-23,,95339.0,875.0
Oman,2020-09-24,,95907.0,885.0
Oman,2020-09-25,,95907.0,885.0
Oman,2020-09-26,,95907.0,885.0
Oman,2020-09-27,,97450.0,909.0
Oman,2020-09-28,,98057.0,924.0
Oman,2020-09-29,,98585.0,935.0
Oman,2020-09-30,,98585.0,935.0
Oman,2020-10-01,,98585.0,935.0
Oman,2020-10-02,,98585.0,935.0
Oman,2020-10-03,,98585.0,935.0
Oman,2020-10-04,,101270.0,977.0
Oman,2020-10-05,,101814.0,985.0
Oman,2020-10-06,,102648.0,990.0
Oman,2020-10-07,,103465.0,1000.0
Oman,2020-10-08,,104129.0,1009.0
Oman,2020-10-09,,104129.0,1009.0
Oman,2020-10-10,,104129.0,1009.0
Oman,2020-10-11,,105890.0,1038.0
Oman,2020-10-12,,106575.0,1046.0
Oman,2020-10-13,,107213.0,1053.0
Oman,2020-10-14,,107776.0,1061.0
Oman,2020-10-15,,108296.0,1071.0
Oman,2020-10-16,,108296.0,1071.0
Oman,2020-10-17,,108296.0,1071.0
Oman,2020-10-18,,109953.0,1101.0
Oman,2020-10-19,,110594.0,1114.0
Oman,2020-10-20,,111033.0,1122.0
Oman,2020-10-21,,111484.0,1137.0
Oman,2020-10-22,,111837.0,1147.0
Oman,2020-10-23,,111837.0,1147.0
Oman,2020-10-24,,111837.0,1147.0
Oman,2020-10-25,,112932.0,1174.0
