Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-02-24,5520.0,2.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-02-25,5520.0,2.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-02-26,5520.0,4.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-02-27,5520.0,4.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-02-28,5520.0,4.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-02-29,5520.0,6.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-01,5520.0,6.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-02,5520.0,6.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-03,5520.0,12.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-04,5520.0,15.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-05,5520.0,16.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-06,5520.0,16.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-07,5520.0,16.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-08,5520.0,16.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-09,5520.0,16.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-10,5520.0,18.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-11,5520.0,18.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-12,5520.0,18.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-13,5520.0,19.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-14,5520.0,19.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-15,5520.0,22.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-16,5520.0,22.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-17,5520.0,24.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-18,5520.0,39.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-19,5520.0,48.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-20,5520.0,48.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-21,5520.0,52.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-22,5520.0,55.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-23,5520.0,66.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-24,5520.0,84.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-25,5520.0,99.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-26,5520.0,109.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-27,5520.0,131.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-28,5520.0,152.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-29,5520.0,167.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-30,5520.0,179.0,527.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-03-31,5520.0,192.0,1.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-01,5520.0,210.0,1.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-02,5520.0,231.0,1.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-03,5520.0,252.0,1.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-04,5520.0,277.0,2.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-05,5520.0,298.0,2.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-06,5520.0,331.0,2.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-07,5520.0,371.0,2.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-08,5520.0,419.0,2.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-09,5520.0,457.0,3.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-10,5520.0,484.0,3.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-11,5520.0,546.0,3.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-12,5520.0,599.0,4.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-13,5520.0,727.0,4.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-14,5520.0,813.0,4.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-15,5520.0,910.0,4.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-16,5520.0,1019.0,4.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-17,5520.0,1069.0,6.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-18,5520.0,1180.0,6.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-19,5520.0,1266.0,7.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-20,5520.0,1410.0,7.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-21,5520.0,1508.0,8.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-22,5520.0,1614.0,8.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-23,5520.0,1716.0,9.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-24,5520.0,1790.0,10.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-25,5520.0,1905.0,10.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-26,5520.0,1998.0,10.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-27,5520.0,2049.0,10.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-28,5520.0,2131.0,10.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-29,5520.0,2274.0,10.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-04-30,5520.0,2348.0,11.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-01,5520.0,2447.0,11.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-02,5520.0,2483.0,12.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-03,5520.0,2568.0,12.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-04,5520.0,2637.0,12.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-05,5520.0,2735.0,13.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-06,5520.0,2903.0,13.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-07,5520.0,2958.0,15.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-08,5520.0,3112.0,16.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-09,5520.0,3224.0,17.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-10,5520.0,3399.0,17.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-11,5520.0,3573.0,17.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-12,5520.0,3721.0,17.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-13,5520.0,4019.0,17.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-14,5520.0,4341.0,18.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-15,5520.0,4625.0,20.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-16,5520.0,5029.0,21.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-17,5520.0,5186.0,22.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-18,5520.0,5379.0,25.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-19,5520.0,5671.0,27.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-20,5520.0,6043.0,30.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-21,5520.0,6370.0,31.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-22,5520.0,6794.0,34.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-23,5520.0,7257.0,36.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-24,5520.0,7770.0,37.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-25,5520.0,7770.0,37.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-26,5520.0,8118.0,37.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-27,5520.0,8373.0,39.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-28,5520.0,9009.0,40.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-29,5520.0,9820.0,40.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-30,5520.0,10423.0,42.0
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-05-31,5520.0,11437.0,49.0
