Entity,Date,Daily tests,Cases,Deaths
Pakistan,2020-03-18,1022.0,454.0,2.0
Pakistan,2020-03-19,1247.0,501.0,3.0
Pakistan,2020-03-20,591.0,730.0,3.0
Pakistan,2020-03-21,1224.0,776.0,5.0
Pakistan,2020-03-22,219.0,875.0,6.0
Pakistan,2020-03-23,413.0,972.0,7.0
Pakistan,2020-03-24,266.0,1063.0,8.0
Pakistan,2020-03-25,326.0,1201.0,9.0
Pakistan,2020-03-26,1386.0,1373.0,11.0
Pakistan,2020-03-27,5396.0,1495.0,12.0
Pakistan,2020-03-28,1105.0,1597.0,14.0
Pakistan,2020-03-29,412.0,1717.0,21.0
Pakistan,2020-03-30,935.0,1938.0,26.0
Pakistan,2020-03-31,284.0,2118.0,27.0
Pakistan,2020-04-01,1357.0,2421.0,34.0
Pakistan,2020-04-02,12984.0,2686.0,40.0
Pakistan,2020-04-03,2622.0,2818.0,41.0
Pakistan,2020-04-04,1955.0,3157.0,47.0
Pakistan,2020-04-05,990.0,3766.0,53.0
Pakistan,2020-04-06,3308.0,4035.0,57.0
Pakistan,2020-04-07,2976.0,4263.0,61.0
Pakistan,2020-04-08,2737.0,4489.0,65.0
Pakistan,2020-04-09,9810.0,4695.0,66.0
Pakistan,2020-04-10,3130.0,5011.0,86.0
Pakistan,2020-04-11,3965.0,5230.0,91.0
Pakistan,2020-04-12,3313.0,5496.0,93.0
Pakistan,2020-04-13,4814.0,5837.0,96.0
Pakistan,2020-04-14,3511.0,6383.0,111.0
Pakistan,2020-04-15,5540.0,6919.0,128.0
Pakistan,2020-04-16,5725.0,7025.0,135.0
Pakistan,2020-04-17,7844.0,7638.0,143.0
Pakistan,2020-04-18,5974.0,8348.0,168.0
Pakistan,2020-04-19,5780.0,8418.0,176.0
Pakistan,2020-04-22,6214.0,11155.0,237.0
Pakistan,2020-04-23,6529.0,11940.0,253.0
Pakistan,2020-04-24,6816.0,12723.0,269.0
Pakistan,2020-04-25,6782.0,13328.0,281.0
Pakistan,2020-04-26,6218.0,13915.0,292.0
Pakistan,2020-04-27,6391.0,14612.0,312.0
Pakistan,2020-04-28,6467.0,15525.0,343.0
Pakistan,2020-04-29,8688.0,16817.0,385.0
Pakistan,2020-04-30,8249.0,18114.0,417.0
Pakistan,2020-05-01,7971.0,19103.0,440.0
Pakistan,2020-05-02,11728.0,20084.0,457.0
Pakistan,2020-05-03,9166.0,20941.0,476.0
Pakistan,2020-05-04,9486.0,22049.0,514.0
Pakistan,2020-05-05,9893.0,24073.0,564.0
Pakistan,2020-05-06,10178.0,24644.0,585.0
Pakistan,2020-05-07,12196.0,26435.0,599.0
Pakistan,2020-05-08,12469.0,28736.0,636.0
Pakistan,2020-05-09,12778.0,30334.0,659.0
Pakistan,2020-05-10,13492.0,32081.0,706.0
Pakistan,2020-05-11,11377.0,34336.0,737.0
Pakistan,2020-05-12,10957.0,35298.0,761.0
Pakistan,2020-05-13,11848.0,35788.0,770.0
Pakistan,2020-05-14,13051.0,38799.0,834.0
Pakistan,2020-05-15,13700.0,38799.0,834.0
Pakistan,2020-05-16,14814.0,40151.0,873.0
Pakistan,2020-05-17,14146.0,42125.0,903.0
Pakistan,2020-05-18,13925.0,43966.0,939.0
Pakistan,2020-05-19,12957.0,45898.0,985.0
Pakistan,2020-05-20,13962.0,48091.0,1017.0
Pakistan,2020-05-21,15346.0,50694.0,1067.0
Pakistan,2020-05-22,16387.0,52437.0,1101.0
Pakistan,2020-05-23,14705.0,54601.0,1133.0
Pakistan,2020-05-24,12915.0,56349.0,1167.0
Pakistan,2020-05-25,10049.0,57705.0,1197.0
Pakistan,2020-05-26,7252.0,59151.0,1225.0
Pakistan,2020-05-27,8491.0,61227.0,1260.0
Pakistan,2020-05-28,8687.0,64028.0,1317.0
Pakistan,2020-05-29,11931.0,66457.0,1395.0
Pakistan,2020-05-30,12020.0,69496.0,1483.0
Pakistan,2020-05-31,14993.0,72460.0,1543.0
Pakistan,2020-06-01,14106.0,76398.0,1621.0
Pakistan,2020-06-02,16838.0,80463.0,1688.0
Pakistan,2020-06-03,17370.0,85264.0,1770.0
Pakistan,2020-06-04,20167.0,89249.0,1838.0
Pakistan,2020-06-05,22812.0,93983.0,1935.0
Pakistan,2020-06-06,22185.0,98943.0,2002.0
Pakistan,2020-06-07,23100.0,103671.0,2067.0
Pakistan,2020-06-08,22225.0,108317.0,2172.0
Pakistan,2020-06-09,24620.0,113702.0,2255.0
Pakistan,2020-06-10,23799.0,119536.0,2356.0
Pakistan,2020-06-11,26573.0,125933.0,2463.0
Pakistan,2020-06-12,28344.0,125933.0,2463.0
Pakistan,2020-06-13,29850.0,132405.0,2551.0
Pakistan,2020-06-14,29546.0,144478.0,2729.0
Pakistan,2020-06-15,29085.0,148921.0,2839.0
Pakistan,2020-06-16,25015.0,154760.0,2975.0
Pakistan,2020-06-17,28117.0,160118.0,3093.0
Pakistan,2020-06-18,31230.0,165062.0,3229.0
Pakistan,2020-06-19,29094.0,171666.0,3382.0
Pakistan,2020-06-20,31681.0,176617.0,3501.0
Pakistan,2020-06-21,28855.0,181088.0,3590.0
Pakistan,2020-06-22,30520.0,185034.0,3695.0
Pakistan,2020-06-23,24599.0,188926.0,3755.0
Pakistan,2020-06-24,23380.0,192970.0,3903.0
Pakistan,2020-06-25,21835.0,195745.0,3962.0
Pakistan,2020-06-26,21041.0,198883.0,4035.0
Pakistan,2020-06-27,21123.0,202955.0,4118.0
Pakistan,2020-06-28,25013.0,206512.0,4167.0
Pakistan,2020-06-29,23009.0,209337.0,4304.0
Pakistan,2020-06-30,20930.0,213470.0,4395.0
Pakistan,2020-07-01,22418.0,217809.0,4473.0
Pakistan,2020-07-02,22128.0,221896.0,4551.0
Pakistan,2020-07-03,23135.0,221896.0,4551.0
Pakistan,2020-07-04,22052.0,225283.0,4619.0
Pakistan,2020-07-05,25527.0,231818.0,4762.0
Pakistan,2020-07-06,22271.0,234509.0,4839.0
Pakistan,2020-07-07,24530.0,237489.0,4922.0
Pakistan,2020-07-08,21951.0,240848.0,4983.0
Pakistan,2020-07-09,24333.0,243599.0,5058.0
Pakistan,2020-07-10,23421.0,246351.0,5123.0
Pakistan,2020-07-11,23569.0,248872.0,5197.0
Pakistan,2020-07-12,24211.0,251625.0,5266.0
Pakistan,2020-07-13,22532.0,253604.0,5320.0
Pakistan,2020-07-14,21020.0,255769.0,5386.0
Pakistan,2020-07-15,21749.0,257914.0,5426.0
Pakistan,2020-07-16,24244.0,257914.0,5426.0
Pakistan,2020-07-17,23907.0,261917.0,5522.0
Pakistan,2020-07-18,23011.0,263496.0,5568.0
Pakistan,2020-07-19,22559.0,265083.0,5599.0
Pakistan,2020-07-20,19108.0,266096.0,5639.0
Pakistan,2020-07-21,17783.0,267428.0,5677.0
Pakistan,2020-07-22,18331.0,269191.0,5709.0
Pakistan,2020-07-23,22408.0,270400.0,5763.0
Pakistan,2020-07-24,22006.0,271887.0,5787.0
Pakistan,2020-07-25,23630.0,273113.0,5822.0
Pakistan,2020-07-26,23254.0,273113.0,5822.0
Pakistan,2020-07-27,41666.0,274289.0,5842.0
Pakistan,2020-07-28,21256.0,275225.0,5865.0
Pakistan,2020-07-29,21628.0,276288.0,5892.0
Pakistan,2020-07-30,20507.0,277402.0,5924.0
Pakistan,2020-08-02,11026.0,279699.0,5976.0
Pakistan,2020-08-03,10759.0,280461.0,5999.0
Pakistan,2020-08-04,11915.0,280461.0,5999.0
Pakistan,2020-08-07,20461.0,282645.0,6052.0
Pakistan,2020-08-08,24366.0,283487.0,6068.0
Pakistan,2020-08-09,23390.0,284121.0,6082.0
Pakistan,2020-08-10,20495.0,284660.0,6097.0
Pakistan,2020-08-11,18227.0,285191.0,6112.0
Pakistan,2020-08-12,20631.0,285921.0,6129.0
Pakistan,2020-08-13,19222.0,286674.0,6139.0
Pakistan,2020-08-14,23745.0,287300.0,6153.0
Pakistan,2020-08-15,23722.0,288047.0,6162.0
Pakistan,2020-08-16,24022.0,289215.0,6175.0
Pakistan,2020-08-17,22448.0,289215.0,6175.0
Pakistan,2020-08-18,17612.0,289832.0,6190.0
Pakistan,2020-08-19,22859.0,290445.0,6201.0
Pakistan,2020-08-20,23680.0,290958.0,6209.0
Pakistan,2020-08-21,25613.0,291588.0,6219.0
Pakistan,2020-08-22,25537.0,292174.0,6231.0
Pakistan,2020-08-23,24956.0,293261.0,6244.0
Pakistan,2020-08-24,23655.0,293261.0,6244.0
Pakistan,2020-08-25,24231.0,293711.0,6255.0
Pakistan,2020-08-26,24593.0,294193.0,6267.0
Pakistan,2020-08-27,23441.0,294638.0,6274.0
Pakistan,2020-08-28,23483.0,295053.0,6283.0
Pakistan,2020-08-29,22434.0,295372.0,6284.0
Pakistan,2020-08-30,21434.0,295636.0,6288.0
Pakistan,2020-08-31,18017.0,295849.0,6294.0
Pakistan,2020-09-01,20922.0,296149.0,6298.0
Pakistan,2020-09-02,20440.0,297014.0,6328.0
Pakistan,2020-09-03,21744.0,297512.0,6335.0
Pakistan,2020-09-04,23218.0,298025.0,6340.0
Pakistan,2020-09-05,24855.0,298025.0,6340.0
Pakistan,2020-09-06,25384.0,298903.0,6345.0
Pakistan,2020-09-07,20980.0,299233.0,6350.0
Pakistan,2020-09-08,23521.0,299659.0,6359.0
Pakistan,2020-09-09,22830.0,300030.0,6365.0
Pakistan,2020-09-10,25081.0,300371.0,6370.0
Pakistan,2020-09-11,29534.0,300955.0,6373.0
Pakistan,2020-09-12,28724.0,301481.0,6379.0
Pakistan,2020-09-13,31411.0,302020.0,6383.0
Pakistan,2020-09-14,28823.0,302424.0,6389.0
Pakistan,2020-09-15,27277.0,303089.0,6393.0
Pakistan,2020-09-16,29097.0,303634.0,6399.0
Pakistan,2020-09-17,31808.0,304386.0,6408.0
Pakistan,2020-09-18,33865.0,305031.0,6415.0
Pakistan,2020-09-19,35720.0,305671.0,6416.0
Pakistan,2020-09-20,34544.0,306304.0,6420.0
Pakistan,2020-09-21,33393.0,306886.0,6424.0
Pakistan,2020-09-22,36155.0,307418.0,6432.0
Pakistan,2020-09-23,33744.0,308217.0,6437.0
Pakistan,2020-09-24,42299.0,309015.0,6444.0
Pakistan,2020-09-25,37504.0,309581.0,6451.0
Pakistan,2020-09-26,40167.0,310275.0,6457.0
Pakistan,2020-09-27,36468.0,310841.0,6466.0
Pakistan,2020-09-28,28887.0,311516.0,6474.0
Pakistan,2020-09-29,32665.0,312263.0,6479.0
Pakistan,2020-09-30,32031.0,312806.0,6484.0
Pakistan,2020-10-01,34239.0,313431.0,6499.0
Pakistan,2020-10-02,31697.0,313984.0,6507.0
Pakistan,2020-10-03,35071.0,314616.0,6513.0
Pakistan,2020-10-04,29518.0,314616.0,6513.0
Pakistan,2020-10-05,33772.0,315727.0,6523.0
Pakistan,2020-10-06,24073.0,316351.0,6535.0
Pakistan,2020-10-07,27614.0,316934.0,6544.0
Pakistan,2020-10-08,31168.0,317595.0,6552.0
Pakistan,2020-10-09,33898.0,318266.0,6558.0
Pakistan,2020-10-10,33665.0,318932.0,6570.0
Pakistan,2020-10-11,28893.0,319317.0,6580.0
Pakistan,2020-10-12,26951.0,319848.0,6588.0
Pakistan,2020-10-13,30022.0,320463.0,6601.0
Pakistan,2020-10-14,28916.0,321218.0,6614.0
Pakistan,2020-10-15,31862.0,321877.0,6621.0
Pakistan,2020-10-16,33901.0,322452.0,6638.0
Pakistan,2020-10-17,32465.0,323019.0,6654.0
Pakistan,2020-10-18,32062.0,323452.0,6659.0
Pakistan,2020-10-19,27091.0,324034.0,6673.0
Pakistan,2020-10-20,20954.0,324744.0,6692.0
Pakistan,2020-10-21,26670.0,325480.0,6702.0
Pakistan,2020-10-22,28531.0,326216.0,6715.0
Pakistan,2020-10-23,27050.0,327063.0,6727.0
Pakistan,2020-10-24,31009.0,327895.0,6736.0
Pakistan,2020-10-25,28724.0,328602.0,6739.0
Pakistan,2020-10-26,26492.0,329375.0,6745.0
Pakistan,2020-10-27,27133.0,330200.0,6759.0
Pakistan,2020-10-28,29477.0,331108.0,6775.0
Pakistan,2020-10-29,29449.0,332186.0,6795.0
Pakistan,2020-10-30,32933.0,332993.0,6806.0
Pakistan,2020-10-31,21688.0,333970.0,6823.0
Pakistan,2020-11-01,27665.0,335093.0,6835.0
Pakistan,2020-11-02,27953.0,336260.0,6849.0
Pakistan,2020-11-03,27984.0,337573.0,6867.0
Pakistan,2020-11-04,26565.0,338875.0,6893.0
Pakistan,2020-11-05,32376.0,340251.0,6923.0
Pakistan,2020-11-06,35745.0,341753.0,6943.0
Pakistan,2020-11-07,34400.0,343189.0,6968.0
Pakistan,2020-11-08,32350.0,344839.0,6977.0
Pakistan,2020-11-09,33340.0,346476.0,7000.0
Pakistan,2020-11-10,31904.0,348184.0,7021.0
Pakistan,2020-11-11,31989.0,349992.0,7055.0
Pakistan,2020-11-12,36686.0,352296.0,7092.0
Pakistan,2020-11-13,36923.0,354461.0,7109.0
Pakistan,2020-11-14,34535.0,356904.0,7141.0
Pakistan,2020-11-15,39410.0,359032.0,7160.0
Pakistan,2020-11-16,29511.0,361082.0,7193.0
Pakistan,2020-11-17,29378.0,363380.0,7230.0
Pakistan,2020-11-18,38544.0,365927.0,7248.0
Pakistan,2020-11-19,36899.0,368665.0,7561.0
Pakistan,2020-11-20,42909.0,371508.0,7603.0
Pakistan,2020-11-21,43112.0,374173.0,7662.0
Pakistan,2020-11-22,38623.0,376929.0,7696.0
Pakistan,2020-11-23,36929.0,379883.0,7744.0
Pakistan,2020-11-24,39165.0,382892.0,7803.0
Pakistan,2020-11-25,41583.0,386198.0,7843.0
Pakistan,2020-11-26,45999.0,389311.0,7897.0
Pakistan,2020-11-27,43214.0,392356.0,7942.0
Pakistan,2020-11-28,48223.0,395185.0,7985.0
Pakistan,2020-11-29,40369.0,398024.0,8025.0
Pakistan,2020-11-30,33302.0,400482.0,8091.0
Pakistan,2020-12-01,40969.0,403311.0,8166.0
Pakistan,2020-12-02,35197.0,406810.0,8205.0
Pakistan,2020-12-03,42563.0,410072.0,8260.0
Pakistan,2020-12-04,44627.0,413191.0,8303.0
Pakistan,2020-12-05,41175.0,416499.0,8361.0
Pakistan,2020-12-06,41645.0,420294.0,8398.0
Pakistan,2020-12-07,39256.0,423179.0,8487.0
Pakistan,2020-12-08,33610.0,426142.0,8547.0
Pakistan,2020-12-09,38092.0,429280.0,8603.0
Pakistan,2020-12-10,40202.0,432327.0,8653.0
Pakistan,2020-12-11,42596.0,435056.0,8724.0
Pakistan,2020-12-12,41426.0,438425.0,8796.0
Pakistan,2020-12-13,42222.0,440787.0,8832.0
Pakistan,2020-12-14,31830.0,443246.0,8905.0
Pakistan,2020-12-17,40090.0,451494.0,9164.0
Pakistan,2020-12-18,39171.0,454673.0,9250.0
Pakistan,2020-12-19,48075.0,457288.0,9330.0
Pakistan,2020-12-20,37206.0,458968.0,9392.0
Pakistan,2020-12-21,34772.0,460672.0,9474.0
Pakistan,2020-12-22,34594.0,462814.0,9557.0
Pakistan,2020-12-23,35574.0,465070.0,9668.0
Pakistan,2020-12-24,21959.0,467222.0,9753.0
Pakistan,2020-12-25,54649.0,469482.0,9816.0
Pakistan,2020-12-26,40953.0,471335.0,9874.0
Pakistan,2020-12-27,33270.0,473309.0,9929.0
Pakistan,2020-12-28,32205.0,475085.0,9992.0
