Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-10,31.0,1.0,
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-11,42.0,8.0,1.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-12,194.0,11.0,1.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-13,239.0,27.0,1.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-14,201.0,36.0,1.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-15,107.0,43.0,1.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-16,83.0,55.0,1.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-17,241.0,69.0,1.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-18,210.0,86.0,1.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-19,313.0,109.0,1.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-20,401.0,137.0,1.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-21,303.0,200.0,1.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-22,627.0,313.0,3.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-23,286.0,345.0,6.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-24,305.0,345.0,6.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-25,558.0,443.0,8.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-26,608.0,558.0,8.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-27,366.0,674.0,9.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-28,540.0,786.0,14.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-29,398.0,901.0,17.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-30,422.0,989.0,24.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-31,362.0,1181.0,30.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-01,389.0,1181.0,30.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-02,608.0,1317.0,32.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-03,753.0,1475.0,37.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-04,562.0,1673.0,41.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-05,493.0,1801.0,46.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-06,548.0,1988.0,54.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-07,384.0,2100.0,55.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-08,1095.0,2249.0,59.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-09,676.0,2528.0,63.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-10,1046.0,2752.0,66.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-11,862.0,2974.0,74.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-12,625.0,3234.0,79.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-13,412.0,3400.0,87.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-14,486.0,3472.0,94.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-15,785.0,3574.0,95.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-16,962.0,3751.0,103.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-17,711.0,4016.0,109.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-18,497.0,4210.0,116.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-19,1013.0,4273.0,120.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-20,830.0,4467.0,126.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-21,871.0,4658.0,136.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-22,1150.0,4821.0,141.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-23,442.0,5166.0,146.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-24,759.0,5338.0,154.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-25,1021.0,5538.0,159.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-26,1199.0,5779.0,165.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-27,1098.0,6021.0,167.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-28,913.0,6021.0,167.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-29,1011.0,6378.0,178.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-04-30,884.0,6532.0,188.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-05-01,1048.0,6720.0,192.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-05-02,1467.0,7090.0,197.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-05-03,996.0,7090.0,197.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-05-04,992.0,7197.0,200.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-05-05,915.0,7523.0,210.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-05-06,1412.0,7731.0,218.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-05-07,1044.0,7868.0,225.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-05-08,1197.0,8070.0,231.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-05-09,1265.0,8282.0,237.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-05-10,827.0,8448.0,244.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-05-11,980.0,8616.0,249.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-05-12,2389.0,8783.0,252.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-05-13,,8944.0,256.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-05-14,,9118.0,260.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-05-15,868.0,9268.0,266.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-05-16,1295.0,9449.0,269.0
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-05-17,1215.0,9606.0,275.0
