Entity,Date,Daily tests,Cases,Deaths
Paraguay,2020-03-07,1.0,,
Paraguay,2020-03-08,,1.0,
Paraguay,2020-03-09,,1.0,
Paraguay,2020-03-10,8.0,1.0,
Paraguay,2020-03-11,7.0,5.0,
Paraguay,2020-03-12,6.0,5.0,
Paraguay,2020-03-13,17.0,6.0,
Paraguay,2020-03-14,15.0,6.0,
Paraguay,2020-03-15,33.0,6.0,
Paraguay,2020-03-16,27.0,8.0,
Paraguay,2020-03-17,26.0,9.0,
Paraguay,2020-03-18,24.0,11.0,
Paraguay,2020-03-19,32.0,11.0,
Paraguay,2020-03-20,44.0,13.0,
Paraguay,2020-03-21,68.0,18.0,1.0
Paraguay,2020-03-22,37.0,22.0,1.0
Paraguay,2020-03-23,89.0,22.0,1.0
Paraguay,2020-03-24,91.0,27.0,2.0
Paraguay,2020-03-25,51.0,37.0,3.0
Paraguay,2020-03-26,78.0,41.0,3.0
Paraguay,2020-03-27,101.0,52.0,3.0
Paraguay,2020-03-28,60.0,56.0,3.0
Paraguay,2020-03-29,105.0,59.0,3.0
Paraguay,2020-03-30,68.0,64.0,3.0
Paraguay,2020-03-31,90.0,65.0,3.0
Paraguay,2020-04-01,95.0,69.0,3.0
Paraguay,2020-04-02,116.0,77.0,3.0
Paraguay,2020-04-03,165.0,92.0,3.0
Paraguay,2020-04-04,192.0,96.0,3.0
Paraguay,2020-04-05,200.0,104.0,3.0
Paraguay,2020-04-06,162.0,113.0,5.0
Paraguay,2020-04-07,212.0,115.0,5.0
Paraguay,2020-04-08,242.0,119.0,5.0
Paraguay,2020-04-09,223.0,124.0,5.0
Paraguay,2020-04-10,220.0,129.0,6.0
Paraguay,2020-04-11,230.0,133.0,6.0
Paraguay,2020-04-12,259.0,134.0,6.0
Paraguay,2020-04-13,248.0,147.0,6.0
Paraguay,2020-04-14,246.0,159.0,7.0
Paraguay,2020-04-15,379.0,161.0,8.0
Paraguay,2020-04-16,345.0,174.0,8.0
Paraguay,2020-04-17,338.0,199.0,8.0
Paraguay,2020-04-18,304.0,202.0,8.0
Paraguay,2020-04-19,247.0,206.0,8.0
Paraguay,2020-04-20,377.0,208.0,8.0
Paraguay,2020-04-21,414.0,208.0,8.0
Paraguay,2020-04-22,306.0,213.0,9.0
Paraguay,2020-04-23,319.0,213.0,9.0
Paraguay,2020-04-24,405.0,223.0,9.0
Paraguay,2020-04-25,308.0,228.0,9.0
Paraguay,2020-04-26,295.0,228.0,9.0
Paraguay,2020-04-27,519.0,228.0,9.0
Paraguay,2020-04-28,447.0,239.0,9.0
Paraguay,2020-04-29,563.0,239.0,9.0
Paraguay,2020-04-30,449.0,266.0,10.0
Paraguay,2020-05-01,439.0,333.0,10.0
Paraguay,2020-05-02,424.0,370.0,10.0
Paraguay,2020-05-03,340.0,396.0,10.0
Paraguay,2020-05-04,349.0,415.0,10.0
Paraguay,2020-05-05,458.0,431.0,10.0
Paraguay,2020-05-06,584.0,440.0,10.0
Paraguay,2020-05-07,599.0,462.0,10.0
Paraguay,2020-05-08,750.0,563.0,10.0
Paraguay,2020-05-09,800.0,689.0,10.0
Paraguay,2020-05-10,800.0,713.0,10.0
Paraguay,2020-05-11,709.0,724.0,10.0
Paraguay,2020-05-12,762.0,737.0,10.0
Paraguay,2020-05-13,672.0,740.0,11.0
Paraguay,2020-05-14,595.0,754.0,11.0
Paraguay,2020-05-15,672.0,759.0,11.0
Paraguay,2020-05-16,452.0,778.0,11.0
Paraguay,2020-05-17,816.0,786.0,11.0
Paraguay,2020-05-18,305.0,788.0,11.0
Paraguay,2020-05-19,692.0,829.0,11.0
Paraguay,2020-05-20,421.0,833.0,11.0
Paraguay,2020-05-21,445.0,836.0,11.0
Paraguay,2020-05-22,881.0,838.0,11.0
Paraguay,2020-05-23,937.0,850.0,11.0
Paraguay,2020-05-24,1007.0,862.0,11.0
Paraguay,2020-05-25,404.0,865.0,11.0
Paraguay,2020-05-26,953.0,877.0,11.0
Paraguay,2020-05-27,591.0,884.0,11.0
Paraguay,2020-05-28,665.0,900.0,11.0
Paraguay,2020-05-29,912.0,917.0,11.0
Paraguay,2020-05-30,816.0,964.0,11.0
Paraguay,2020-05-31,851.0,986.0,11.0
Paraguay,2020-06-01,830.0,995.0,11.0
Paraguay,2020-06-02,1272.0,1013.0,11.0
Paraguay,2020-06-03,975.0,1070.0,11.0
Paraguay,2020-06-04,1159.0,1086.0,11.0
Paraguay,2020-06-05,1018.0,1087.0,11.0
Paraguay,2020-06-06,1115.0,1090.0,11.0
Paraguay,2020-06-07,1159.0,1135.0,11.0
Paraguay,2020-06-08,1410.0,1145.0,11.0
Paraguay,2020-06-09,1090.0,1187.0,11.0
Paraguay,2020-06-10,1670.0,1202.0,11.0
Paraguay,2020-06-11,1590.0,1230.0,11.0
Paraguay,2020-06-12,1840.0,1254.0,11.0
Paraguay,2020-06-13,1476.0,1261.0,11.0
Paraguay,2020-06-14,1473.0,1289.0,11.0
Paraguay,2020-06-15,648.0,1296.0,12.0
Paraguay,2020-06-16,1249.0,1303.0,13.0
Paraguay,2020-06-17,1200.0,1308.0,13.0
Paraguay,2020-06-18,1471.0,1330.0,13.0
Paraguay,2020-06-19,1629.0,1336.0,13.0
Paraguay,2020-06-20,1549.0,1362.0,13.0
Paraguay,2020-06-21,1165.0,1379.0,13.0
Paraguay,2020-06-22,903.0,1392.0,13.0
Paraguay,2020-06-23,1559.0,1422.0,13.0
Paraguay,2020-06-24,1357.0,1528.0,13.0
Paraguay,2020-06-25,1573.0,1569.0,13.0
Paraguay,2020-06-26,1590.0,1711.0,13.0
Paraguay,2020-06-27,1631.0,1942.0,15.0
Paraguay,2020-06-28,1361.0,2127.0,15.0
Paraguay,2020-06-29,1061.0,2191.0,16.0
