Entity,Date,Daily tests,Cases,Deaths
Peru,2020-03-20,1264.0,234.0,3.0
Peru,2020-03-21,893.0,318.0,5.0
Peru,2020-03-22,598.0,363.0,5.0
Peru,2020-03-23,1052.0,395.0,5.0
Peru,2020-03-24,979.0,416.0,7.0
Peru,2020-03-25,1270.0,480.0,9.0
Peru,2020-03-26,1047.0,580.0,9.0
Peru,2020-03-27,1070.0,635.0,11.0
Peru,2020-03-28,964.0,671.0,16.0
Peru,2020-03-29,666.0,852.0,18.0
Peru,2020-03-30,1349.0,950.0,24.0
Peru,2020-03-31,1278.0,1065.0,30.0
Peru,2020-04-01,1417.0,1323.0,38.0
Peru,2020-04-02,1313.0,1414.0,55.0
Peru,2020-04-03,1287.0,1595.0,61.0
Peru,2020-04-04,1297.0,1746.0,73.0
Peru,2020-04-05,652.0,2281.0,83.0
Peru,2020-04-06,1783.0,2561.0,92.0
Peru,2020-04-07,1593.0,2954.0,107.0
Peru,2020-04-08,1598.0,4342.0,121.0
Peru,2020-04-09,1206.0,5256.0,138.0
Peru,2020-04-10,1041.0,5897.0,169.0
Peru,2020-04-11,1445.0,6848.0,181.0
Peru,2020-04-12,905.0,7519.0,193.0
Peru,2020-04-13,1420.0,9784.0,216.0
Peru,2020-04-14,1365.0,10303.0,230.0
Peru,2020-04-15,1436.0,11475.0,254.0
Peru,2020-04-16,1650.0,12491.0,274.0
Peru,2020-04-17,1835.0,13489.0,300.0
Peru,2020-04-18,1679.0,14420.0,348.0
Peru,2020-04-19,1081.0,15628.0,400.0
Peru,2020-04-20,1949.0,16325.0,445.0
Peru,2020-04-21,2294.0,17837.0,484.0
Peru,2020-04-22,2082.0,19250.0,530.0
Peru,2020-04-23,2637.0,20914.0,572.0
Peru,2020-04-24,2110.0,21648.0,634.0
Peru,2020-04-25,2000.0,25331.0,700.0
Peru,2020-04-26,923.0,27517.0,728.0
Peru,2020-04-27,2354.0,28699.0,782.0
Peru,2020-04-28,2294.0,31190.0,854.0
Peru,2020-04-29,2499.0,33931.0,943.0
Peru,2020-04-30,2418.0,36976.0,1051.0
Peru,2020-05-01,1818.0,40459.0,1124.0
Peru,2020-05-02,2566.0,42534.0,1200.0
Peru,2020-05-03,970.0,45928.0,1286.0
Peru,2020-05-04,2726.0,47372.0,1344.0
Peru,2020-05-05,2903.0,51189.0,1444.0
Peru,2020-05-06,2772.0,54817.0,1533.0
Peru,2020-05-07,2727.0,58526.0,1627.0
Peru,2020-05-08,3365.0,61847.0,1714.0
Peru,2020-05-09,2535.0,65015.0,1814.0
Peru,2020-05-10,925.0,67307.0,1889.0
Peru,2020-05-11,3448.0,68822.0,1961.0
Peru,2020-05-12,3229.0,72059.0,2057.0
Peru,2020-05-13,3587.0,76306.0,2169.0
Peru,2020-05-14,3397.0,80604.0,2267.0
Peru,2020-05-15,4286.0,84495.0,2392.0
Peru,2020-05-16,3056.0,88541.0,2523.0
Peru,2020-05-17,1736.0,92273.0,2648.0
Peru,2020-05-18,4185.0,94933.0,2789.0
Peru,2020-05-19,5278.0,99483.0,2914.0
Peru,2020-05-20,4583.0,104020.0,3024.0
Peru,2020-05-21,3558.0,108769.0,3148.0
Peru,2020-05-22,5243.0,111698.0,3244.0
Peru,2020-05-23,3265.0,115754.0,3373.0
Peru,2020-05-24,1281.0,119959.0,3456.0
Peru,2020-05-25,4476.0,123979.0,3629.0
Peru,2020-05-26,4825.0,129751.0,3788.0
Peru,2020-05-27,4435.0,135905.0,3983.0
Peru,2020-05-28,4609.0,141779.0,4099.0
Peru,2020-05-29,5007.0,148285.0,4230.0
Peru,2020-05-30,3157.0,155671.0,4371.0
Peru,2020-05-31,1889.0,164476.0,4506.0
Peru,2020-06-01,4730.0,170039.0,4634.0
Peru,2020-06-02,4865.0,178165.0,4767.0
Peru,2020-06-03,3795.0,178914.0,4894.0
Peru,2020-06-04,4888.0,183198.0,5031.0
Peru,2020-06-05,4230.0,187400.0,5162.0
Peru,2020-06-06,3294.0,191758.0,5301.0
Peru,2020-06-07,1628.0,196515.0,5465.0
Peru,2020-06-08,4770.0,199696.0,5571.0
Peru,2020-06-09,4500.0,203736.0,5738.0
Peru,2020-06-10,4083.0,208823.0,5903.0
Peru,2020-06-11,4989.0,214788.0,6088.0
Peru,2020-06-12,4714.0,214788.0,6088.0
Peru,2020-06-13,3590.0,220749.0,6308.0
Peru,2020-06-14,1142.0,229736.0,6688.0
Peru,2020-06-15,4843.0,232992.0,6860.0
Peru,2020-06-16,4726.0,237156.0,7056.0
Peru,2020-06-17,5917.0,240908.0,7257.0
Peru,2020-06-18,4704.0,244388.0,7461.0
Peru,2020-06-19,5049.0,247925.0,7660.0
Peru,2020-06-20,4033.0,251338.0,7861.0
Peru,2020-06-21,1845.0,254936.0,8045.0
Peru,2020-06-22,4674.0,257447.0,8223.0
Peru,2020-06-23,5822.0,260810.0,8404.0
Peru,2020-06-24,4535.0,264689.0,8586.0
Peru,2020-06-25,4998.0,268602.0,8761.0
Peru,2020-06-26,5468.0,272364.0,8939.0
Peru,2020-06-27,4144.0,275989.0,9135.0
Peru,2020-06-28,2275.0,279419.0,9317.0
Peru,2020-06-29,2418.0,282365.0,9504.0
Peru,2020-06-30,5576.0,285213.0,9677.0
