Entity,Date,Daily tests,Cases,Deaths
Philippines,2020-04-04,2407.0,3094.0,144.0
Philippines,2020-04-05,344.0,3246.0,152.0
Philippines,2020-04-06,1700.0,3660.0,163.0
Philippines,2020-04-07,1685.0,3764.0,177.0
Philippines,2020-04-08,3125.0,3870.0,182.0
Philippines,2020-04-09,1989.0,4076.0,203.0
Philippines,2020-04-10,1244.0,4195.0,221.0
Philippines,2020-04-11,1302.0,4428.0,247.0
Philippines,2020-04-12,1710.0,4648.0,297.0
Philippines,2020-04-13,2387.0,4932.0,315.0
Philippines,2020-04-14,1829.0,5223.0,335.0
Philippines,2020-04-15,2625.0,5453.0,349.0
Philippines,2020-04-16,3490.0,5660.0,362.0
Philippines,2020-04-17,3421.0,5878.0,387.0
Philippines,2020-04-18,3657.0,6087.0,397.0
Philippines,2020-04-19,2317.0,6259.0,409.0
Philippines,2020-04-20,2323.0,6459.0,428.0
Philippines,2020-04-21,2870.0,6599.0,437.0
Philippines,2020-04-22,3620.0,6710.0,446.0
Philippines,2020-04-23,3726.0,6981.0,462.0
Philippines,2020-04-24,4167.0,7192.0,477.0
Philippines,2020-04-25,4417.0,7294.0,494.0
Philippines,2020-04-26,3876.0,7579.0,501.0
Philippines,2020-04-27,4428.0,7777.0,511.0
Philippines,2020-04-28,4434.0,7958.0,530.0
Philippines,2020-04-29,5019.0,8212.0,558.0
Philippines,2020-04-30,4802.0,8488.0,568.0
Philippines,2020-05-01,3932.0,8772.0,579.0
Philippines,2020-05-02,5208.0,8928.0,603.0
Philippines,2020-05-03,4487.0,9223.0,607.0
Philippines,2020-05-04,5464.0,9485.0,623.0
Philippines,2020-05-05,6555.0,9684.0,637.0
Philippines,2020-05-06,5137.0,10004.0,658.0
Philippines,2020-05-07,5401.0,10343.0,685.0
Philippines,2020-05-08,5532.0,10463.0,696.0
Philippines,2020-05-09,7130.0,10610.0,704.0
Philippines,2020-05-10,8757.0,10794.0,719.0
Philippines,2020-05-11,8514.0,11086.0,726.0
Philippines,2020-05-12,8512.0,11350.0,751.0
Philippines,2020-05-13,8766.0,11618.0,772.0
Philippines,2020-05-14,16620.0,11876.0,790.0
Philippines,2020-05-15,10529.0,12091.0,806.0
Philippines,2020-05-16,9490.0,12305.0,817.0
Philippines,2020-05-17,9095.0,12513.0,824.0
Philippines,2020-05-18,5394.0,12718.0,831.0
Philippines,2020-05-19,7354.0,12942.0,837.0
Philippines,2020-05-20,8215.0,13221.0,842.0
Philippines,2020-05-21,8690.0,13434.0,846.0
Philippines,2020-05-22,8999.0,13597.0,857.0
Philippines,2020-05-23,7691.0,13777.0,863.0
Philippines,2020-05-24,5892.0,14035.0,868.0
Philippines,2020-05-25,5421.0,14319.0,873.0
Philippines,2020-05-26,7290.0,14669.0,886.0
Philippines,2020-05-27,7722.0,15049.0,904.0
Philippines,2020-05-28,9283.0,15588.0,921.0
Philippines,2020-05-29,8530.0,16634.0,942.0
Philippines,2020-05-30,9390.0,17224.0,950.0
Philippines,2020-05-31,8973.0,18086.0,957.0
Philippines,2020-06-01,7453.0,18638.0,960.0
Philippines,2020-06-02,10655.0,18997.0,966.0
Philippines,2020-06-03,10743.0,19748.0,974.0
Philippines,2020-06-04,10306.0,20382.0,984.0
Philippines,2020-06-05,10498.0,20626.0,987.0
Philippines,2020-06-06,11932.0,21340.0,994.0
Philippines,2020-06-07,8127.0,21895.0,1003.0
Philippines,2020-06-08,10092.0,22474.0,1011.0
Philippines,2020-06-09,10494.0,22992.0,1017.0
Philippines,2020-06-10,9913.0,23732.0,1027.0
Philippines,2020-06-11,10058.0,24175.0,1036.0
Philippines,2020-06-12,12035.0,24787.0,1052.0
Philippines,2020-06-13,11631.0,25392.0,1074.0
Philippines,2020-06-14,8499.0,25930.0,1088.0
Philippines,2020-06-15,8730.0,26420.0,1098.0
Philippines,2020-06-16,9895.0,26781.0,1103.0
Philippines,2020-06-17,14715.0,27238.0,1108.0
Philippines,2020-06-18,11335.0,27799.0,1116.0
Philippines,2020-06-19,14933.0,28459.0,1130.0
Philippines,2020-06-20,13205.0,29400.0,1150.0
Philippines,2020-06-21,11111.0,30052.0,1169.0
Philippines,2020-06-22,11731.0,30682.0,1177.0
Philippines,2020-06-23,14993.0,31825.0,1186.0
Philippines,2020-06-24,13063.0,32295.0,1204.0
Philippines,2020-06-25,15083.0,33069.0,1212.0
Philippines,2020-06-26,16011.0,34073.0,1224.0
Philippines,2020-06-27,16747.0,34803.0,1236.0
Philippines,2020-06-28,14395.0,35455.0,1244.0
Philippines,2020-06-29,16904.0,36438.0,1255.0
Philippines,2020-06-30,14956.0,37514.0,1266.0
Philippines,2020-07-01,18338.0,38511.0,1270.0
Philippines,2020-07-02,17694.0,38805.0,1274.0
Philippines,2020-07-03,18820.0,40336.0,1280.0
Philippines,2020-07-04,20868.0,41830.0,1290.0
Philippines,2020-07-05,15455.0,44254.0,1297.0
Philippines,2020-07-06,17068.0,46333.0,1303.0
Philippines,2020-07-07,22319.0,47873.0,1309.0
Philippines,2020-07-08,21771.0,50359.0,1314.0
Philippines,2020-07-09,23876.0,51754.0,1314.0
Philippines,2020-07-10,22078.0,52914.0,1360.0
Philippines,2020-07-11,24643.0,54222.0,1372.0
Philippines,2020-07-12,16293.0,56259.0,1534.0
Philippines,2020-07-13,18463.0,57006.0,1599.0
Philippines,2020-07-14,20320.0,57545.0,1603.0
Philippines,2020-07-15,22280.0,58850.0,1614.0
Philippines,2020-07-16,26932.0,61266.0,1643.0
Philippines,2020-07-17,26921.0,63001.0,1660.0
Philippines,2020-07-18,26696.0,65304.0,1773.0
Philippines,2020-07-19,21579.0,67456.0,1831.0
Philippines,2020-07-20,21774.0,68898.0,1835.0
Philippines,2020-07-21,26087.0,70764.0,1837.0
Philippines,2020-07-22,29353.0,72269.0,1843.0
Philippines,2020-07-23,30745.0,74390.0,1871.0
Philippines,2020-07-24,31965.0,76444.0,1879.0
Philippines,2020-07-25,36295.0,78412.0,1897.0
Philippines,2020-07-26,26893.0,80448.0,1932.0
Philippines,2020-07-27,29625.0,82040.0,1945.0
Philippines,2020-07-28,29318.0,83673.0,1947.0
Philippines,2020-07-29,35951.0,85486.0,1962.0
Philippines,2020-07-30,35962.0,89374.0,1983.0
Philippines,2020-07-31,32070.0,93354.0,2023.0
Philippines,2020-08-01,30260.0,98232.0,2039.0
Philippines,2020-08-02,23668.0,103185.0,2059.0
Philippines,2020-08-03,29835.0,106330.0,2104.0
Philippines,2020-08-04,26461.0,112593.0,2115.0
Philippines,2020-08-05,28331.0,115980.0,2123.0
Philippines,2020-08-06,31835.0,119460.0,2150.0
Philippines,2020-08-07,37803.0,122754.0,2168.0
Philippines,2020-08-08,35690.0,126885.0,2209.0
Philippines,2020-08-09,28776.0,129913.0,2270.0
Philippines,2020-08-10,34328.0,136638.0,2294.0
Philippines,2020-08-11,26929.0,139538.0,2312.0
Philippines,2020-08-12,31435.0,143749.0,2404.0
Philippines,2020-08-13,34631.0,147526.0,2426.0
Philippines,2020-08-14,36674.0,153660.0,2442.0
Philippines,2020-08-15,37567.0,157918.0,2600.0
Philippines,2020-08-16,29997.0,161253.0,2665.0
Philippines,2020-08-17,31500.0,164474.0,2681.0
Philippines,2020-08-18,31625.0,169213.0,2687.0
Philippines,2020-08-19,36171.0,173774.0,2795.0
Philippines,2020-08-20,35380.0,178022.0,2883.0
Philippines,2020-08-21,38376.0,182365.0,2940.0
