Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-04,5520.0,1.0,527.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-05,5520.0,1.0,527.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-06,5520.0,5.0,527.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-07,5520.0,5.0,527.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-08,5520.0,11.0,527.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-09,5520.0,16.0,527.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-10,5520.0,22.0,527.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-11,5520.0,31.0,527.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-12,5520.0,49.0,1.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-13,5520.0,68.0,2.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-14,5520.0,103.0,3.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-15,5520.0,119.0,3.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-16,5520.0,177.0,4.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-17,5520.0,238.0,5.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-18,5520.0,251.0,5.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-19,5520.0,355.0,5.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-20,5520.0,425.0,5.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-21,5520.0,536.0,5.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-22,5520.0,634.0,7.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-23,5520.0,749.0,8.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-24,5520.0,901.0,10.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-25,5520.0,1051.0,14.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-26,5520.0,1221.0,16.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-27,5520.0,1389.0,16.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-28,5520.0,1638.0,18.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-29,5520.0,1862.0,22.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-30,5520.0,2055.0,31.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-31,5520.0,2311.0,33.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-04-01,5520.0,2554.0,43.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-04-02,5520.0,2946.0,57.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-04-03,5520.0,3383.0,71.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-04-04,5520.0,3627.0,79.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-04-05,5520.0,4102.0,94.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-04-06,5520.0,4413.0,107.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-04-07,5520.0,4848.0,129.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-04-08,5520.0,5205.0,159.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-04-09,5520.0,5575.0,174.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-04-10,5520.0,5955.0,181.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-04-11,5520.0,6356.0,208.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-04-12,5520.0,6674.0,232.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-04-13,5520.0,6934.0,245.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-04-14,5520.0,7202.0,263.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-04-15,5520.0,7582.0,286.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-04-16,5520.0,7918.0,314.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-04-17,5520.0,8379.0,332.0
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-04-18,5520.0,8742.0,347.0
