Entity,Date,Daily tests,Cases,Deaths
Portugal,2020-03-17,2304.0,448.0,1.0
Portugal,2020-03-18,2465.0,448.0,2.0
Portugal,2020-03-19,2498.0,785.0,3.0
Portugal,2020-03-20,3215.0,1020.0,6.0
Portugal,2020-03-21,2516.0,1280.0,12.0
Portugal,2020-03-22,2109.0,1600.0,14.0
Portugal,2020-03-23,4181.0,2060.0,23.0
Portugal,2020-03-24,5027.0,2362.0,33.0
Portugal,2020-03-25,5319.0,2995.0,43.0
Portugal,2020-03-26,6694.0,3544.0,60.0
Portugal,2020-03-27,7913.0,4268.0,76.0
Portugal,2020-03-28,6893.0,5170.0,100.0
Portugal,2020-03-29,5032.0,5962.0,119.0
Portugal,2020-03-30,7986.0,6408.0,140.0
Portugal,2020-03-31,7962.0,7443.0,160.0
Portugal,2020-04-01,8650.0,8251.0,187.0
Portugal,2020-04-02,9299.0,9034.0,209.0
Portugal,2020-04-03,9479.0,9886.0,246.0
Portugal,2020-04-04,9158.0,10524.0,266.0
Portugal,2020-04-05,6716.0,11278.0,295.0
Portugal,2020-04-06,9369.0,11730.0,311.0
Portugal,2020-04-07,10623.0,12442.0,345.0
Portugal,2020-04-08,11691.0,13141.0,380.0
Portugal,2020-04-09,12209.0,13956.0,409.0
Portugal,2020-04-10,10216.0,15472.0,435.0
Portugal,2020-04-11,9121.0,15987.0,470.0
Portugal,2020-04-12,5210.0,16585.0,504.0
Portugal,2020-04-13,8944.0,16934.0,535.0
Portugal,2020-04-14,11920.0,17448.0,567.0
Portugal,2020-04-15,13649.0,18091.0,599.0
Portugal,2020-04-16,13474.0,18841.0,629.0
Portugal,2020-04-17,14720.0,19022.0,657.0
Portugal,2020-04-18,12795.0,19685.0,687.0
Portugal,2020-04-19,9502.0,20206.0,714.0
Portugal,2020-04-20,11089.0,20863.0,735.0
Portugal,2020-04-21,14930.0,21379.0,762.0
Portugal,2020-04-22,15531.0,21982.0,785.0
Portugal,2020-04-23,15183.0,22353.0,820.0
Portugal,2020-04-24,14817.0,22797.0,854.0
Portugal,2020-04-25,13446.0,23392.0,880.0
Portugal,2020-04-26,8241.0,23864.0,903.0
Portugal,2020-04-27,12207.0,24027.0,928.0
Portugal,2020-04-28,15516.0,24322.0,948.0
Portugal,2020-04-29,14774.0,24505.0,973.0
Portugal,2020-04-30,16438.0,25045.0,989.0
Portugal,2020-05-01,12673.0,25351.0,1007.0
Portugal,2020-05-02,10583.0,25190.0,1023.0
Portugal,2020-05-03,8440.0,25282.0,1043.0
Portugal,2020-05-04,11889.0,25524.0,1063.0
Portugal,2020-05-05,16157.0,25702.0,1074.0
Portugal,2020-05-06,15774.0,26182.0,1089.0
Portugal,2020-05-07,16033.0,26715.0,1105.0
Portugal,2020-05-08,15428.0,27268.0,1114.0
Portugal,2020-05-09,13522.0,27406.0,1126.0
Portugal,2020-05-10,7507.0,27581.0,1135.0
Portugal,2020-05-11,12737.0,27679.0,1144.0
Portugal,2020-05-12,16644.0,27913.0,1163.0
Portugal,2020-05-13,18215.0,28132.0,1175.0
Portugal,2020-05-14,18329.0,28319.0,1184.0
Portugal,2020-05-15,20598.0,28583.0,1190.0
Portugal,2020-05-16,15994.0,28810.0,1203.0
Portugal,2020-05-17,8970.0,29036.0,1218.0
Portugal,2020-05-18,12108.0,29209.0,1231.0
Portugal,2020-05-19,16195.0,29432.0,1247.0
Portugal,2020-05-20,15442.0,29660.0,1263.0
Portugal,2020-05-21,15346.0,29912.0,1277.0
Portugal,2020-05-22,15184.0,30200.0,1289.0
Portugal,2020-05-23,10783.0,30471.0,1302.0
Portugal,2020-05-24,5814.0,30623.0,1316.0
Portugal,2020-05-25,11930.0,30788.0,1330.0
Portugal,2020-05-26,15105.0,31007.0,1342.0
Portugal,2020-05-27,17221.0,31292.0,1356.0
Portugal,2020-05-28,16963.0,31596.0,1369.0
Portugal,2020-05-29,16135.0,31946.0,1383.0
Portugal,2020-05-30,12650.0,32203.0,1396.0
Portugal,2020-05-31,6547.0,32500.0,1410.0
Portugal,2020-06-01,11635.0,32700.0,1424.0
Portugal,2020-06-02,15640.0,32895.0,1436.0
Portugal,2020-06-03,17230.0,33261.0,1447.0
Portugal,2020-06-04,17207.0,33592.0,1455.0
Portugal,2020-06-05,15309.0,33969.0,1465.0
Portugal,2020-06-06,11436.0,34351.0,1474.0
