Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-02-29,,1.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-01,,3.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-02,,3.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-03,,7.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-04,,8.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-05,,8.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-06,,8.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-07,,8.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-08,,15.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-09,,18.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-10,,24.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-11,,262.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-12,,262.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-13,,320.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-14,,337.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-15,1162.0,401.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-16,425.0,439.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-17,172.0,439.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-18,326.0,452.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-19,587.0,460.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-03-20,456.0,470.0,
