Entity,Date,Daily tests,Cases,Deaths
Romania,2020-03-22,1052.0,433.0,3.0
Romania,2020-03-23,1256.0,576.0,7.0
Romania,2020-03-24,1401.0,794.0,11.0
Romania,2020-03-25,1842.0,906.0,17.0
Romania,2020-03-26,1532.0,1029.0,23.0
Romania,2020-03-27,1455.0,1292.0,26.0
Romania,2020-03-28,2210.0,1452.0,37.0
Romania,2020-03-29,1797.0,1815.0,43.0
Romania,2020-03-30,1643.0,2109.0,65.0
Romania,2020-03-31,1551.0,2245.0,82.0
Romania,2020-04-01,1955.0,2460.0,92.0
Romania,2020-04-02,1874.0,2738.0,115.0
Romania,2020-04-03,3174.0,3183.0,133.0
Romania,2020-04-04,4435.0,3613.0,146.0
Romania,2020-04-05,2531.0,3864.0,151.0
Romania,2020-04-06,2364.0,4057.0,176.0
Romania,2020-04-07,2591.0,4417.0,197.0
Romania,2020-04-08,3629.0,4761.0,220.0
Romania,2020-04-09,4595.0,5202.0,248.0
Romania,2020-04-10,3628.0,5467.0,270.0
Romania,2020-04-11,3842.0,5990.0,291.0
Romania,2020-04-12,3056.0,6300.0,316.0
Romania,2020-04-13,4876.0,6633.0,331.0
Romania,2020-04-14,2893.0,6879.0,351.0
Romania,2020-04-15,4730.0,7216.0,372.0
Romania,2020-04-16,4802.0,7707.0,392.0
Romania,2020-04-17,6176.0,8067.0,411.0
Romania,2020-04-18,5186.0,8418.0,421.0
Romania,2020-04-19,2620.0,8746.0,451.0
Romania,2020-04-20,4880.0,8936.0,478.0
Romania,2020-04-21,3061.0,9242.0,498.0
Romania,2020-04-22,4805.0,9710.0,524.0
Romania,2020-04-23,6979.0,10096.0,545.0
Romania,2020-04-24,8266.0,10417.0,567.0
Romania,2020-04-25,5043.0,10635.0,601.0
Romania,2020-04-26,9873.0,11036.0,619.0
Romania,2020-04-27,7316.0,11339.0,641.0
Romania,2020-04-28,6475.0,11616.0,663.0
Romania,2020-04-29,16684.0,11978.0,693.0
Romania,2020-04-30,8381.0,12240.0,717.0
Romania,2020-05-01,8314.0,12567.0,744.0
Romania,2020-05-02,6852.0,12732.0,771.0
Romania,2020-05-03,4968.0,13163.0,790.0
Romania,2020-05-04,3560.0,13512.0,818.0
Romania,2020-05-05,6774.0,13837.0,841.0
Romania,2020-05-06,11297.0,14107.0,864.0
Romania,2020-05-07,9474.0,14499.0,888.0
Romania,2020-05-08,10667.0,14811.0,923.0
Romania,2020-05-09,10776.0,15131.0,939.0
Romania,2020-05-10,8693.0,15362.0,961.0
Romania,2020-05-11,5470.0,15588.0,982.0
Romania,2020-05-12,6964.0,15778.0,1002.0
Romania,2020-05-13,8621.0,16002.0,1036.0
Romania,2020-05-14,8413.0,16247.0,1053.0
Romania,2020-05-15,8384.0,16437.0,1070.0
Romania,2020-05-16,9133.0,16704.0,1094.0
Romania,2020-05-17,6673.0,16871.0,1107.0
Romania,2020-05-18,3214.0,17036.0,1120.0
Romania,2020-05-19,8453.0,17191.0,1137.0
Romania,2020-05-20,10413.0,17387.0,1147.0
Romania,2020-05-21,9979.0,17585.0,1156.0
Romania,2020-05-22,10181.0,17712.0,1166.0
Romania,2020-05-23,8919.0,17857.0,1176.0
Romania,2020-05-24,6916.0,18070.0,1185.0
Romania,2020-05-25,8709.0,18283.0,1205.0
Romania,2020-05-26,8537.0,18429.0,1216.0
Romania,2020-05-27,11835.0,18594.0,1227.0
Romania,2020-05-28,12437.0,18791.0,1235.0
Romania,2020-05-29,11451.0,18982.0,1248.0
Romania,2020-05-30,4368.0,19133.0,1259.0
Romania,2020-05-31,13378.0,19257.0,1266.0
Romania,2020-06-01,4055.0,19398.0,1276.0
