Entity,Date,Daily tests,Cases,Deaths
Russia,2020-03-19,10418.0,199.0,1.0
Russia,2020-03-20,12497.0,253.0,1.0
Russia,2020-03-21,7513.0,306.0,1.0
Russia,2020-03-22,2243.0,367.0,1.0
Russia,2020-03-23,20146.0,438.0,1.0
Russia,2020-03-24,6906.0,495.0,1.0
Russia,2020-03-25,4427.0,658.0,3.0
Russia,2020-03-26,26258.0,840.0,3.0
Russia,2020-03-27,19868.0,1036.0,4.0
Russia,2020-03-28,20511.0,1264.0,4.0
Russia,2020-03-29,79635.0,1534.0,8.0
Russia,2020-04-01,129500.0,2777.0,24.0
Russia,2020-04-02,39103.0,3548.0,30.0
Russia,2020-04-03,64503.0,4149.0,34.0
Russia,2020-04-04,57398.0,4731.0,43.0
Russia,2020-04-05,61397.0,5389.0,45.0
Russia,2020-04-06,37122.0,6343.0,47.0
Russia,2020-04-07,114698.0,7497.0,58.0
Russia,2020-04-08,94498.0,8672.0,63.0
Russia,2020-04-09,88092.0,10131.0,76.0
Russia,2020-04-10,91631.0,11917.0,94.0
Russia,2020-04-11,94305.0,13584.0,106.0
Russia,2020-04-12,81246.0,15770.0,130.0
Russia,2020-04-13,66021.0,18328.0,148.0
Russia,2020-04-14,91978.0,21102.0,170.0
Russia,2020-04-15,95421.0,24490.0,198.0
Russia,2020-04-16,104606.0,27938.0,232.0
Russia,2020-04-17,113873.0,32008.0,273.0
Russia,2020-04-18,117921.0,36793.0,313.0
Russia,2020-04-19,103506.0,42853.0,361.0
Russia,2020-04-20,89285.0,47121.0,405.0
Russia,2020-04-21,109935.0,52763.0,456.0
Russia,2020-04-22,149077.0,57999.0,513.0
Russia,2020-04-23,150384.0,62773.0,555.0
Russia,2020-04-24,169500.0,68622.0,615.0
Russia,2020-04-25,156199.0,74588.0,681.0
Russia,2020-04-26,141735.0,80949.0,747.0
Russia,2020-04-27,119824.0,87147.0,794.0
Russia,2020-04-28,164459.0,93558.0,867.0
Russia,2020-04-29,194591.0,99399.0,972.0
Russia,2020-04-30,225499.0,106498.0,1073.0
Russia,2020-05-01,221711.0,114431.0,1169.0
Russia,2020-05-02,154481.0,124054.0,1222.0
Russia,2020-05-03,203244.0,134687.0,1280.0
Russia,2020-05-04,157114.0,145268.0,1356.0
Russia,2020-05-05,173374.0,155370.0,1451.0
Russia,2020-05-06,169461.0,165929.0,1537.0
Russia,2020-05-07,184276.0,177160.0,1625.0
Russia,2020-05-08,234496.0,187859.0,1723.0
Russia,2020-05-09,226499.0,198676.0,1827.0
Russia,2020-05-10,188300.0,209688.0,1915.0
Russia,2020-05-11,168641.0,221344.0,2009.0
