Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-03-14,,1.0,
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-03-15,,1.0,
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-03-16,,5.0,
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-03-17,,7.0,
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-03-18,,8.0,
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-03-19,,8.0,
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-03-20,,17.0,
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-03-21,,17.0,
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-03-22,,19.0,
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-03-23,,36.0,
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-03-24,,40.0,
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-03-25,,41.0,
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-03-26,,50.0,
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-03-27,,54.0,
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-03-28,,60.0,
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-03-29,,70.0,
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-03-30,,70.0,
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-03-31,,75.0,
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-04-01,,82.0,
