Entity,Date,Daily tests,Cases,Deaths
Saudi Arabia,2020-03-24,5911.0,767.0,1.0
Saudi Arabia,2020-03-25,4997.0,900.0,2.0
Saudi Arabia,2020-03-26,5673.0,1012.0,3.0
Saudi Arabia,2020-03-27,6109.0,1104.0,3.0
Saudi Arabia,2020-03-28,5944.0,1203.0,4.0
Saudi Arabia,2020-03-29,6265.0,1299.0,8.0
Saudi Arabia,2020-03-30,6894.0,1453.0,8.0
Saudi Arabia,2020-03-31,7362.0,1563.0,10.0
Saudi Arabia,2020-04-01,7381.0,1720.0,16.0
Saudi Arabia,2020-04-02,7688.0,1885.0,21.0
Saudi Arabia,2020-04-03,8012.0,2039.0,25.0
Saudi Arabia,2020-04-04,7779.0,2179.0,29.0
Saudi Arabia,2020-04-05,6778.0,2402.0,34.0
Saudi Arabia,2020-04-06,6832.0,2605.0,38.0
Saudi Arabia,2020-04-07,6384.0,2795.0,41.0
Saudi Arabia,2020-04-08,6387.0,2932.0,41.0
Saudi Arabia,2020-04-09,6819.0,3287.0,44.0
Saudi Arabia,2020-04-10,7441.0,3651.0,47.0
Saudi Arabia,2020-04-11,8993.0,4033.0,52.0
Saudi Arabia,2020-04-12,7365.0,4462.0,59.0
Saudi Arabia,2020-04-13,8219.0,4934.0,65.0
Saudi Arabia,2020-04-14,8388.0,5369.0,73.0
Saudi Arabia,2020-04-15,7669.0,5862.0,79.0
Saudi Arabia,2020-04-16,8256.0,6380.0,83.0
Saudi Arabia,2020-04-17,9006.0,7142.0,87.0
Saudi Arabia,2020-04-18,8733.0,8274.0,92.0
Saudi Arabia,2020-04-19,9578.0,9362.0,97.0
Saudi Arabia,2020-04-20,9260.0,10484.0,103.0
Saudi Arabia,2020-04-21,9222.0,11631.0,109.0
Saudi Arabia,2020-04-22,10340.0,12772.0,114.0
Saudi Arabia,2020-04-23,8547.0,13930.0,121.0
Saudi Arabia,2020-04-24,10203.0,15102.0,127.0
Saudi Arabia,2020-04-25,9055.0,16299.0,136.0
Saudi Arabia,2020-04-26,8967.0,17522.0,139.0
Saudi Arabia,2020-04-27,9325.0,18811.0,144.0
Saudi Arabia,2020-04-28,10887.0,20077.0,152.0
Saudi Arabia,2020-04-29,9658.0,21402.0,157.0
Saudi Arabia,2020-04-30,9288.0,22753.0,162.0
Saudi Arabia,2020-05-01,12820.0,24097.0,169.0
Saudi Arabia,2020-05-02,12780.0,25459.0,176.0
Saudi Arabia,2020-05-03,12006.0,27011.0,184.0
Saudi Arabia,2020-05-04,11514.0,28656.0,191.0
Saudi Arabia,2020-05-05,13052.0,30251.0,200.0
Saudi Arabia,2020-05-06,16026.0,31938.0,209.0
Saudi Arabia,2020-05-07,13037.0,33731.0,219.0
Saudi Arabia,2020-05-08,14778.0,35432.0,229.0
Saudi Arabia,2020-05-09,16144.0,37136.0,239.0
Saudi Arabia,2020-05-10,17725.0,39048.0,246.0
Saudi Arabia,2020-05-11,15005.0,41014.0,255.0
Saudi Arabia,2020-05-12,14574.0,42925.0,264.0
Saudi Arabia,2020-05-13,16639.0,44830.0,273.0
Saudi Arabia,2020-05-14,16678.0,46869.0,283.0
Saudi Arabia,2020-05-15,17758.0,49176.0,292.0
Saudi Arabia,2020-05-16,38382.0,52016.0,302.0
Saudi Arabia,2020-05-17,15549.0,54752.0,312.0
Saudi Arabia,2020-05-18,16130.0,57345.0,320.0
Saudi Arabia,2020-05-19,18094.0,59854.0,329.0
Saudi Arabia,2020-05-20,14980.0,62545.0,339.0
Saudi Arabia,2020-05-21,15899.0,65077.0,351.0
Saudi Arabia,2020-05-22,17558.0,67719.0,364.0
Saudi Arabia,2020-05-23,18919.0,70161.0,379.0
Saudi Arabia,2020-05-24,18545.0,72560.0,390.0
Saudi Arabia,2020-05-25,16664.0,74795.0,399.0
Saudi Arabia,2020-05-26,15525.0,76726.0,411.0
Saudi Arabia,2020-05-27,16428.0,78541.0,425.0
Saudi Arabia,2020-05-28,16769.0,80185.0,441.0
Saudi Arabia,2020-05-29,19104.0,81766.0,458.0
Saudi Arabia,2020-05-30,16200.0,83384.0,480.0
Saudi Arabia,2020-05-31,15854.0,85261.0,503.0
Saudi Arabia,2020-06-01,15364.0,87142.0,525.0
Saudi Arabia,2020-06-02,16976.0,89011.0,549.0
Saudi Arabia,2020-06-03,16246.0,91182.0,579.0
Saudi Arabia,2020-06-04,21763.0,93157.0,611.0
Saudi Arabia,2020-06-05,24229.0,95748.0,642.0
Saudi Arabia,2020-06-06,25036.0,98869.0,676.0
Saudi Arabia,2020-06-07,18578.0,101914.0,712.0
Saudi Arabia,2020-06-08,20858.0,105283.0,746.0
Saudi Arabia,2020-06-09,22139.0,108571.0,783.0
Saudi Arabia,2020-06-10,22500.0,112288.0,819.0
Saudi Arabia,2020-06-11,27324.0,116021.0,857.0
Saudi Arabia,2020-06-12,17385.0,119942.0,893.0
Saudi Arabia,2020-06-13,19377.0,123308.0,932.0
Saudi Arabia,2020-06-14,20255.0,127541.0,972.0
Saudi Arabia,2020-06-15,17629.0,132048.0,1011.0
Saudi Arabia,2020-06-16,23484.0,136315.0,1052.0
Saudi Arabia,2020-06-17,30507.0,141234.0,1091.0
Saudi Arabia,2020-06-18,26016.0,145991.0,1139.0
Saudi Arabia,2020-06-19,24708.0,150292.0,1184.0
Saudi Arabia,2020-06-20,35656.0,154233.0,1230.0
Saudi Arabia,2020-06-21,33614.0,157612.0,1267.0
Saudi Arabia,2020-06-22,27253.0,161005.0,1307.0
Saudi Arabia,2020-06-23,34511.0,164144.0,1346.0
Saudi Arabia,2020-06-24,37740.0,167267.0,1387.0
Saudi Arabia,2020-06-25,38470.0,170639.0,1428.0
Saudi Arabia,2020-06-26,44275.0,174577.0,1474.0
Saudi Arabia,2020-06-27,45521.0,178504.0,1511.0
Saudi Arabia,2020-06-28,45104.0,182493.0,1551.0
Saudi Arabia,2020-06-29,48173.0,186436.0,1599.0
Saudi Arabia,2020-06-30,35173.0,190823.0,1649.0
Saudi Arabia,2020-07-01,53214.0,194225.0,1698.0
Saudi Arabia,2020-07-02,43927.0,197608.0,1752.0
Saudi Arabia,2020-07-03,52135.0,201801.0,1802.0
Saudi Arabia,2020-07-04,50564.0,205929.0,1858.0
Saudi Arabia,2020-07-05,60064.0,209509.0,1916.0
Saudi Arabia,2020-07-06,42968.0,213716.0,1968.0
Saudi Arabia,2020-07-07,56324.0,217108.0,2017.0
Saudi Arabia,2020-07-08,56311.0,220144.0,2059.0
Saudi Arabia,2020-07-09,57630.0,223327.0,2100.0
Saudi Arabia,2020-07-10,50000.0,226486.0,2151.0
Saudi Arabia,2020-07-11,47587.0,229480.0,2181.0
Saudi Arabia,2020-07-12,69313.0,232259.0,2223.0
Saudi Arabia,2020-07-13,43957.0,235111.0,2243.0
Saudi Arabia,2020-07-14,62168.0,237803.0,2283.0
Saudi Arabia,2020-07-15,61348.0,240474.0,2325.0
Saudi Arabia,2020-07-16,68707.0,243238.0,2370.0
Saudi Arabia,2020-07-17,65522.0,245851.0,2407.0
Saudi Arabia,2020-07-18,51298.0,248416.0,2447.0
Saudi Arabia,2020-07-19,60656.0,250920.0,2486.0
Saudi Arabia,2020-07-20,59608.0,253349.0,2523.0
Saudi Arabia,2020-07-21,55338.0,255825.0,2557.0
Saudi Arabia,2020-07-22,60530.0,258156.0,2601.0
Saudi Arabia,2020-07-23,55660.0,260394.0,2635.0
Saudi Arabia,2020-07-24,55970.0,262772.0,2672.0
Saudi Arabia,2020-07-25,60374.0,264973.0,2703.0
Saudi Arabia,2020-07-26,56951.0,266941.0,2733.0
Saudi Arabia,2020-07-27,67295.0,268934.0,2760.0
Saudi Arabia,2020-07-28,66003.0,270831.0,2789.0
Saudi Arabia,2020-07-29,55119.0,272590.0,2816.0
Saudi Arabia,2020-07-30,64007.0,274219.0,2842.0
Saudi Arabia,2020-07-31,48305.0,275905.0,2866.0
Saudi Arabia,2020-08-01,39824.0,277478.0,2887.0
Saudi Arabia,2020-08-02,44519.0,278835.0,2917.0
Saudi Arabia,2020-08-03,57483.0,280093.0,2949.0
Saudi Arabia,2020-08-04,55257.0,281456.0,2984.0
Saudi Arabia,2020-08-05,58724.0,282824.0,3020.0
Saudi Arabia,2020-08-06,61457.0,284226.0,3055.0
Saudi Arabia,2020-08-07,64004.0,285793.0,3093.0
Saudi Arabia,2020-08-08,61582.0,287262.0,3130.0
Saudi Arabia,2020-08-09,62483.0,288690.0,3167.0
Saudi Arabia,2020-08-10,63986.0,289947.0,3199.0
Saudi Arabia,2020-08-11,70834.0,291468.0,3233.0
Saudi Arabia,2020-08-12,73912.0,293037.0,3269.0
Saudi Arabia,2020-08-13,69505.0,294519.0,3303.0
Saudi Arabia,2020-08-14,67030.0,295902.0,3338.0
Saudi Arabia,2020-08-15,63174.0,297315.0,3369.0
Saudi Arabia,2020-08-16,58771.0,298542.0,3408.0
Saudi Arabia,2020-08-17,63870.0,299914.0,3436.0
Saudi Arabia,2020-08-18,64225.0,301323.0,3470.0
Saudi Arabia,2020-08-19,64778.0,302686.0,3506.0
Saudi Arabia,2020-08-20,65571.0,303973.0,3548.0
Saudi Arabia,2020-08-21,62278.0,305186.0,3580.0
Saudi Arabia,2020-08-22,55471.0,306370.0,3619.0
Saudi Arabia,2020-08-23,61693.0,307479.0,3649.0
Saudi Arabia,2020-08-24,61865.0,308654.0,3691.0
Saudi Arabia,2020-08-25,61625.0,309768.0,3722.0
Saudi Arabia,2020-08-26,66423.0,310836.0,3755.0
Saudi Arabia,2020-08-27,63353.0,311855.0,3785.0
Saudi Arabia,2020-08-28,55166.0,312924.0,3813.0
Saudi Arabia,2020-08-29,40624.0,313911.0,3840.0
Saudi Arabia,2020-08-30,50094.0,314821.0,3870.0
Saudi Arabia,2020-08-31,53147.0,315772.0,3897.0
Saudi Arabia,2020-09-01,55801.0,316670.0,3929.0
Saudi Arabia,2020-09-02,51811.0,317486.0,3956.0
Saudi Arabia,2020-09-03,55805.0,318319.0,3982.0
Saudi Arabia,2020-09-04,53168.0,319141.0,4015.0
Saudi Arabia,2020-09-05,44823.0,319932.0,4049.0
Saudi Arabia,2020-09-06,47329.0,320688.0,4081.0
Saudi Arabia,2020-09-07,51848.0,321456.0,4107.0
Saudi Arabia,2020-09-08,52363.0,322237.0,4137.0
Saudi Arabia,2020-09-09,44449.0,323012.0,4165.0
Saudi Arabia,2020-09-10,58742.0,323720.0,4189.0
Saudi Arabia,2020-09-11,44336.0,324407.0,4213.0
Saudi Arabia,2020-09-12,39380.0,325050.0,4240.0
Saudi Arabia,2020-09-13,47183.0,325651.0,4268.0
Saudi Arabia,2020-09-14,54611.0,326258.0,4305.0
Saudi Arabia,2020-09-15,53352.0,326930.0,4338.0
Saudi Arabia,2020-09-16,52193.0,327551.0,4369.0
Saudi Arabia,2020-09-17,52858.0,328144.0,4399.0
Saudi Arabia,2020-09-18,46190.0,328720.0,4430.0
Saudi Arabia,2020-09-19,43191.0,329271.0,4458.0
Saudi Arabia,2020-09-20,46810.0,329754.0,4485.0
Saudi Arabia,2020-09-21,51525.0,330246.0,4512.0
Saudi Arabia,2020-09-22,48854.0,330798.0,4542.0
Saudi Arabia,2020-09-23,46037.0,331359.0,4569.0
Saudi Arabia,2020-09-24,38698.0,331857.0,4599.0
Saudi Arabia,2020-09-25,38528.0,332329.0,4625.0
