Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-02-28,1.0,21431.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-02,5520.0,1.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-03,2.0,2.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-04,11.0,4.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-05,5520.0,4.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-06,2.0,4.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-07,2.0,4.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-08,2.0,4.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-09,6.0,4.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-10,1.0,4.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-11,8.0,4.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-12,6.0,4.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-13,12.0,10.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-14,3.0,10.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-15,2.0,24.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-16,9.0,24.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-17,44.0,26.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-18,27.0,31.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-19,22.0,31.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-20,56.0,38.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-21,31.0,47.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-22,85.0,67.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-23,60.0,79.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-24,59.0,86.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-25,142.0,99.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-26,130.0,105.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-27,144.0,119.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-28,98.0,130.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-29,151.0,142.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-30,87.0,162.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-03-31,97.0,175.0,527.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-01,195.0,190.0,1.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-02,127.0,195.0,1.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-03,153.0,207.0,1.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-04,177.0,219.0,2.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-05,92.0,222.0,2.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-06,95.0,226.0,2.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-07,110.0,237.0,2.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-08,108.0,244.0,2.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-09,199.0,250.0,2.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-10,195.0,265.0,2.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-11,173.0,278.0,2.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-12,104.0,280.0,2.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-13,144.0,291.0,2.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-14,272.0,299.0,2.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-15,227.0,314.0,2.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-16,435.0,335.0,2.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-17,287.0,342.0,2.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-18,226.0,350.0,3.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-19,313.0,367.0,3.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-20,281.0,377.0,5.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-21,466.0,412.0,5.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-22,482.0,442.0,6.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-23,387.0,479.0,6.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-24,528.0,545.0,7.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-25,703.0,614.0,7.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-26,579.0,671.0,9.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-27,677.0,736.0,9.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-28,873.0,823.0,9.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-29,800.0,882.0,9.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-04-30,1161.0,933.0,9.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-01,901.0,1024.0,9.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-02,1190.0,1115.0,9.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-03,810.0,1182.0,9.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-04,807.0,1271.0,10.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-05,702.0,1329.0,11.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-06,1182.0,1433.0,12.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-07,1027.0,1492.0,13.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-08,872.0,1551.0,13.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-09,848.0,1634.0,17.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-10,1356.0,1709.0,19.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-11,917.0,1886.0,19.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-12,1099.0,1995.0,19.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-13,920.0,2105.0,21.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-14,992.0,2189.0,23.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-15,1128.0,2310.0,25.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-16,989.0,2429.0,25.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-17,816.0,2480.0,25.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-18,1172.0,2544.0,26.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-19,930.0,2617.0,30.0
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-05-20,1042.0,2714.0,30.0
