Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-02-27,9.0,21431.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-02-28,5.0,21431.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-02-29,3.0,21431.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-01,3.0,21431.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-02,9.0,21431.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-03,1.0,21431.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-04,4.0,21431.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-06,5520.0,1.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-07,24.0,1.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-08,3.0,1.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-09,7.0,1.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-10,16.0,5.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-11,34.0,12.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-12,34.0,19.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-13,54.0,35.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-14,29.0,46.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-15,15.0,48.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-16,33.0,55.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-17,58.0,65.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-18,66.0,83.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-19,66.0,103.0,527.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-20,79.0,135.0,1.0
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-03-21,87.0,171.0,1.0
