Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-06,378.0,1.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-07,66.0,1.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-08,76.0,3.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-09,69.0,3.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-10,111.0,7.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-11,97.0,10.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-12,95.0,16.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-13,58.0,32.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-14,197.0,44.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-15,289.0,54.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-16,159.0,63.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-17,318.0,72.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-18,225.0,105.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-19,301.0,123.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-20,368.0,137.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-21,440.0,178.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-22,242.0,185.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-23,451.0,186.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-24,476.0,204.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-25,335.0,216.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-26,913.0,226.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-27,747.0,269.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-28,720.0,292.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-29,401.0,314.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-30,688.0,336.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-31,877.0,363.0,527.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-04-01,1191.0,400.0,1.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-04-02,1454.0,426.0,1.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-04-03,1889.0,450.0,1.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-04-04,1524.0,471.0,1.0
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-04-05,1036.0,485.0,1.0
