Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-02-02,2.0,21431.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-02-09,6.0,21431.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-02-16,4.0,21431.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-02-23,8.0,21431.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-02-24,18.0,21431.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-02-25,21.0,21431.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-02-26,41.0,21431.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-02-27,43.0,21431.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-02-28,35.0,21431.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-02-29,16.0,21431.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-01,17.0,21431.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-02,54.0,21431.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-03,48.0,21431.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-04,51.0,21431.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-05,103.0,2.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-06,278.0,7.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-07,177.0,7.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-08,238.0,16.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-09,367.0,16.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-10,542.0,31.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-11,749.0,57.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-12,1045.0,89.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-13,1197.0,141.0,527.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-14,916.0,181.0,1.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-15,590.0,219.0,1.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-16,871.0,253.0,1.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-17,1121.0,275.0,1.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-18,1026.0,275.0,1.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-19,1184.0,286.0,1.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-20,1242.0,341.0,1.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-21,872.0,383.0,1.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-22,731.0,414.0,2.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-23,1257.0,442.0,3.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-24,1243.0,480.0,4.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-25,1181.0,528.0,5.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-26,1075.0,562.0,6.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-27,1384.0,632.0,9.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-28,999.0,684.0,9.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-29,597.0,730.0,11.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-30,1125.0,756.0,11.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-03-31,1288.0,802.0,15.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-01,1095.0,841.0,15.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-02,1064.0,897.0,17.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-03,1188.0,934.0,20.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-04,655.0,977.0,22.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-05,489.0,997.0,28.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-06,1202.0,1021.0,30.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-07,1214.0,1059.0,36.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-08,1144.0,1091.0,40.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-09,1234.0,1124.0,43.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-10,1232.0,1160.0,45.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-11,572.0,1188.0,50.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-12,554.0,1205.0,53.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-13,541.0,1212.0,55.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-14,1168.0,1220.0,56.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-15,1023.0,1248.0,61.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-16,1193.0,1268.0,61.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-17,1250.0,1304.0,66.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-18,685.0,1317.0,70.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-19,537.0,1330.0,74.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-20,1174.0,1335.0,77.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-21,1478.0,1344.0,77.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-22,1457.0,1353.0,79.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-23,1510.0,1366.0,79.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-24,1380.0,1373.0,80.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-25,1012.0,1388.0,81.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-26,831.0,1396.0,82.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-27,826.0,1402.0,83.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-28,1360.0,1408.0,86.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-29,1370.0,1418.0,89.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-04-30,1382.0,1429.0,91.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-05-01,771.0,1434.0,92.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-05-02,535.0,1439.0,94.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-05-03,616.0,1439.0,96.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-05-04,1338.0,1439.0,97.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-05-05,1449.0,1445.0,98.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-05-06,1055.0,1448.0,99.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-05-07,1049.0,1449.0,99.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-05-08,1176.0,1450.0,100.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-05-09,625.0,1454.0,101.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-05-10,537.0,1457.0,102.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-05-11,1182.0,1460.0,102.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-05-12,1147.0,1461.0,102.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-05-13,984.0,1463.0,103.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-05-14,1023.0,1464.0,103.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-05-15,1151.0,1465.0,103.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-05-16,511.0,1465.0,103.0
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-05-17,479.0,1466.0,104.0
