Entity,Date,Daily tests,Cases,Deaths
South Africa,2020-03-27,8066.0,1170.0,1.0
South Africa,2020-03-28,3426.0,1187.0,1.0
South Africa,2020-03-29,3630.0,1280.0,2.0
South Africa,2020-03-30,2816.0,1326.0,3.0
South Africa,2020-03-31,2663.0,1353.0,5.0
South Africa,2020-04-01,3220.0,1380.0,5.0
South Africa,2020-04-02,3673.0,1462.0,5.0
South Africa,2020-04-03,2396.0,1505.0,9.0
South Africa,2020-04-04,3576.0,1585.0,9.0
South Africa,2020-04-05,2936.0,1655.0,11.0
South Africa,2020-04-06,1225.0,1686.0,12.0
South Africa,2020-04-09,5098.0,1934.0,18.0
South Africa,2020-04-10,4154.0,2003.0,24.0
South Africa,2020-04-11,2025.0,2028.0,25.0
South Africa,2020-04-12,5032.0,2173.0,25.0
South Africa,2020-04-13,3578.0,2272.0,27.0
South Africa,2020-04-14,3359.0,2415.0,27.0
South Africa,2020-04-15,3493.0,2506.0,34.0
South Africa,2020-04-16,4545.0,2605.0,48.0
South Africa,2020-04-17,5767.0,2783.0,50.0
South Africa,2020-04-18,7374.0,3034.0,52.0
South Africa,2020-04-19,6510.0,3158.0,54.0
South Africa,2020-04-20,6799.0,3300.0,58.0
South Africa,2020-04-21,5427.0,3465.0,58.0
South Africa,2020-04-22,6837.0,3635.0,65.0
South Africa,2020-04-23,9796.0,3953.0,75.0
South Africa,2020-04-24,8820.0,4220.0,79.0
South Africa,2020-04-25,8614.0,4361.0,86.0
South Africa,2020-04-26,7639.0,4546.0,87.0
South Africa,2020-04-27,9827.0,4793.0,90.0
South Africa,2020-04-28,7027.0,4996.0,93.0
South Africa,2020-04-29,11630.0,5350.0,103.0
South Africa,2020-04-30,10403.0,5647.0,103.0
South Africa,2020-05-01,9992.0,5951.0,116.0
South Africa,2020-05-02,13164.0,6336.0,123.0
South Africa,2020-05-03,15061.0,6783.0,131.0
South Africa,2020-05-04,11794.0,7220.0,138.0
South Africa,2020-05-05,10523.0,7572.0,148.0
South Africa,2020-05-06,11315.0,7808.0,153.0
South Africa,2020-05-07,12774.0,8232.0,161.0
South Africa,2020-05-08,15599.0,8895.0,178.0
South Africa,2020-05-09,16327.0,9420.0,186.0
South Africa,2020-05-10,17257.0,10015.0,194.0
South Africa,2020-05-11,14731.0,10652.0,206.0
South Africa,2020-05-12,13630.0,11350.0,206.0
South Africa,2020-05-13,16655.0,12074.0,219.0
South Africa,2020-05-14,16666.0,12739.0,238.0
South Africa,2020-05-15,18537.0,13524.0,247.0
South Africa,2020-05-16,18004.0,14355.0,261.0
South Africa,2020-05-17,21314.0,15515.0,264.0
South Africa,2020-05-18,14198.0,16433.0,286.0
South Africa,2020-05-19,13538.0,17200.0,312.0
South Africa,2020-05-20,17252.0,18003.0,339.0
South Africa,2020-05-21,19572.0,19137.0,369.0
South Africa,2020-05-22,17599.0,20125.0,397.0
South Africa,2020-05-23,21338.0,21343.0,407.0
South Africa,2020-05-24,19485.0,22583.0,429.0
South Africa,2020-05-25,12922.0,23615.0,481.0
South Africa,2020-05-26,9214.0,24264.0,524.0
South Africa,2020-05-27,29005.0,25937.0,552.0
South Africa,2020-05-28,20727.0,27403.0,577.0
South Africa,2020-05-29,24452.0,29240.0,611.0
South Africa,2020-05-30,21708.0,30967.0,643.0
South Africa,2020-05-31,23242.0,32683.0,683.0
South Africa,2020-06-01,17617.0,34357.0,705.0
South Africa,2020-06-02,18792.0,35812.0,755.0
South Africa,2020-06-03,24445.0,37525.0,792.0
South Africa,2020-06-04,34696.0,40792.0,848.0
South Africa,2020-06-05,30196.0,43434.0,908.0
South Africa,2020-06-06,40797.0,45973.0,952.0
South Africa,2020-06-07,28396.0,48285.0,998.0
South Africa,2020-06-08,22995.0,50879.0,1080.0
South Africa,2020-06-09,25011.0,52991.0,1162.0
South Africa,2020-06-10,30330.0,55421.0,1210.0
South Africa,2020-06-11,29999.0,58568.0,1284.0
South Africa,2020-06-12,32026.0,61927.0,1354.0
South Africa,2020-06-13,27462.0,65736.0,1423.0
South Africa,2020-06-14,34071.0,70038.0,1480.0
South Africa,2020-06-15,26975.0,73533.0,1568.0
South Africa,2020-06-16,23580.0,76334.0,1625.0
South Africa,2020-06-17,34847.0,80412.0,1674.0
South Africa,2020-06-18,20738.0,83890.0,1737.0
South Africa,2020-06-19,32336.0,87715.0,1831.0
South Africa,2020-06-20,33174.0,92681.0,1877.0
South Africa,2020-06-21,34452.0,97302.0,1930.0
South Africa,2020-06-22,25116.0,101590.0,1991.0
South Africa,2020-06-23,29596.0,106108.0,2102.0
South Africa,2020-06-24,34122.0,111796.0,2205.0
South Africa,2020-06-25,43118.0,118375.0,2292.0
South Africa,2020-06-26,33092.0,124590.0,2340.0
South Africa,2020-06-27,35905.0,131800.0,2413.0
South Africa,2020-06-28,38075.0,138134.0,2456.0
South Africa,2020-06-29,29911.0,144264.0,2529.0
South Africa,2020-06-30,33013.0,151209.0,2657.0
South Africa,2020-07-01,36931.0,159333.0,2749.0
South Africa,2020-07-02,39188.0,168061.0,2844.0
South Africa,2020-07-03,39026.0,177124.0,2952.0
South Africa,2020-07-04,46925.0,187977.0,3026.0
South Africa,2020-07-05,38083.0,196750.0,3199.0
South Africa,2020-07-06,33950.0,205721.0,3310.0
South Africa,2020-07-07,43421.0,215855.0,3502.0
South Africa,2020-07-08,36867.0,224665.0,3602.0
South Africa,2020-07-09,56170.0,238339.0,3720.0
South Africa,2020-07-10,56663.0,250687.0,3860.0
South Africa,2020-07-11,51338.0,264184.0,3971.0
South Africa,2020-07-12,45821.0,276242.0,4079.0
South Africa,2020-07-13,40233.0,287796.0,4172.0
South Africa,2020-07-14,38114.0,298292.0,4346.0
South Africa,2020-07-15,45389.0,311049.0,4453.0
South Africa,2020-07-16,46796.0,324221.0,4669.0
South Africa,2020-07-17,48130.0,337594.0,4804.0
South Africa,2020-07-18,49688.0,350879.0,4948.0
South Africa,2020-07-19,49006.0,364328.0,5033.0
South Africa,2020-07-20,33899.0,373628.0,5173.0
South Africa,2020-07-21,31275.0,381798.0,5368.0
South Africa,2020-07-22,48553.0,394948.0,5940.0
South Africa,2020-07-23,46632.0,408052.0,6093.0
South Africa,2020-07-24,52382.0,421996.0,6343.0
South Africa,2020-07-25,46324.0,434200.0,6655.0
South Africa,2020-07-26,42966.0,445433.0,6769.0
South Africa,2020-07-27,28433.0,452529.0,7067.0
South Africa,2020-07-28,28424.0,459761.0,7257.0
South Africa,2020-07-29,42528.0,471123.0,7497.0
South Africa,2020-07-30,44886.0,482169.0,7812.0
South Africa,2020-07-31,41486.0,493183.0,8005.0
South Africa,2020-08-01,42450.0,503290.0,8153.0
South Africa,2020-08-02,34794.0,511485.0,8366.0
South Africa,2020-08-03,21916.0,516862.0,8539.0
South Africa,2020-08-04,19507.0,521318.0,8884.0
South Africa,2020-08-05,34989.0,529877.0,9298.0
South Africa,2020-08-06,36616.0,538184.0,9604.0
South Africa,2020-08-07,33851.0,545476.0,9909.0
South Africa,2020-08-08,36607.0,553188.0,10210.0
South Africa,2020-08-09,30318.0,559859.0,10408.0
South Africa,2020-08-10,16911.0,563598.0,10621.0
South Africa,2020-08-11,11483.0,566109.0,10751.0
South Africa,2020-08-12,16457.0,568919.0,11010.0
South Africa,2020-08-13,20063.0,572865.0,11270.0
South Africa,2020-08-14,35614.0,579140.0,11556.0
South Africa,2020-08-15,26918.0,583653.0,11677.0
South Africa,2020-08-16,22609.0,587345.0,11839.0
South Africa,2020-08-17,15032.0,589886.0,11982.0
South Africa,2020-08-18,14677.0,592144.0,12264.0
South Africa,2020-08-19,25324.0,596060.0,12423.0
South Africa,2020-08-20,24612.0,599940.0,12618.0
South Africa,2020-08-21,24224.0,603338.0,12843.0
South Africa,2020-08-22,30560.0,607045.0,12987.0
South Africa,2020-08-23,18358.0,609773.0,13059.0
South Africa,2020-08-24,10640.0,611450.0,13159.0
South Africa,2020-08-25,14771.0,613017.0,13308.0
South Africa,2020-08-26,20137.0,615701.0,13502.0
South Africa,2020-08-27,19009.0,618286.0,13628.0
South Africa,2020-08-28,14329.0,620132.0,13743.0
South Africa,2020-08-29,20659.0,622551.0,13981.0
South Africa,2020-08-30,21902.0,625056.0,14028.0
South Africa,2020-08-31,18849.0,627041.0,14149.0
South Africa,2020-09-01,11687.0,628259.0,14263.0
South Africa,2020-09-02,21313.0,630595.0,14389.0
South Africa,2020-09-03,20380.0,633015.0,14563.0
South Africa,2020-09-04,18599.0,635078.0,14678.0
South Africa,2020-09-05,18123.0,636884.0,14779.0
South Africa,2020-09-06,16367.0,638517.0,14889.0
South Africa,2020-09-07,8759.0,639362.0,15004.0
South Africa,2020-09-08,12213.0,640441.0,15086.0
South Africa,2020-09-09,21736.0,642431.0,15168.0
South Africa,2020-09-10,20555.0,644438.0,15265.0
South Africa,2020-09-11,20713.0,646398.0,15378.0
South Africa,2020-09-12,18620.0,648214.0,15427.0
South Africa,2020-09-13,15692.0,649793.0,15447.0
South Africa,2020-09-14,10136.0,650749.0,15499.0
South Africa,2020-09-15,11603.0,651521.0,15641.0
South Africa,2020-09-16,20962.0,653444.0,15705.0
South Africa,2020-09-17,22354.0,655572.0,15772.0
South Africa,2020-09-18,20057.0,657627.0,15857.0
South Africa,2020-09-19,21069.0,659656.0,15940.0
South Africa,2020-09-20,16884.0,661211.0,15953.0
South Africa,2020-09-21,6180.0,661936.0,15992.0
South Africa,2020-09-22,16394.0,663282.0,16118.0
South Africa,2020-09-23,19640.0,665188.0,16206.0
South Africa,2020-09-24,18405.0,667049.0,16283.0
South Africa,2020-09-25,14917.0,668529.0,16312.0
South Africa,2020-09-26,11359.0,669498.0,16376.0
South Africa,2020-09-27,15028.0,670766.0,16398.0
South Africa,2020-09-28,9014.0,671669.0,16586.0
South Africa,2020-09-29,12011.0,672572.0,16667.0
South Africa,2020-09-30,23426.0,674339.0,16734.0
South Africa,2020-10-01,21132.0,676084.0,16866.0
South Africa,2020-10-02,20660.0,677833.0,16909.0
South Africa,2020-10-03,21804.0,679716.0,16938.0
South Africa,2020-10-04,18113.0,681289.0,16976.0
South Africa,2020-10-05,10714.0,682215.0,17016.0
South Africa,2020-10-06,14591.0,683242.0,17103.0
South Africa,2020-10-07,23583.0,685155.0,17248.0
South Africa,2020-10-08,21172.0,686891.0,17408.0
South Africa,2020-10-09,20419.0,688352.0,17547.0
South Africa,2020-10-10,28066.0,690896.0,17673.0
South Africa,2020-10-11,19270.0,692471.0,17780.0
South Africa,2020-10-12,10977.0,693359.0,17863.0
South Africa,2020-10-13,15534.0,694537.0,18028.0
South Africa,2020-10-14,24793.0,696414.0,18151.0
South Africa,2020-10-15,22609.0,698184.0,18309.0
South Africa,2020-10-16,24179.0,700203.0,18370.0
South Africa,2020-10-17,22608.0,702131.0,18408.0
South Africa,2020-10-18,21337.0,703793.0,18471.0
South Africa,2020-10-19,16502.0,705254.0,18492.0
South Africa,2020-10-20,15366.0,706304.0,18656.0
South Africa,2020-10-21,26537.0,708359.0,18741.0
South Africa,2020-10-22,25788.0,710515.0,18843.0
South Africa,2020-10-23,23445.0,712412.0,18891.0
South Africa,2020-10-24,20826.0,714246.0,18944.0
South Africa,2020-10-25,19997.0,715868.0,18968.0
South Africa,2020-10-26,11464.0,716759.0,19008.0
South Africa,2020-10-27,17472.0,717851.0,19053.0
South Africa,2020-10-28,25721.0,719714.0,19111.0
South Africa,2020-10-29,25013.0,721770.0,19164.0
South Africa,2020-10-30,23214.0,723682.0,19230.0
South Africa,2020-10-31,22150.0,725452.0,19276.0
South Africa,2020-11-01,19543.0,726823.0,19411.0
South Africa,2020-11-02,10402.0,727595.0,19465.0
South Africa,2020-11-03,15692.0,728836.0,19539.0
South Africa,2020-11-04,25073.0,730548.0,19585.0
South Africa,2020-11-05,23942.0,732414.0,19677.0
South Africa,2020-11-06,23094.0,734175.0,19749.0
South Africa,2020-11-07,22455.0,735906.0,19789.0
South Africa,2020-11-08,17266.0,737278.0,19809.0
South Africa,2020-11-09,12641.0,738525.0,19845.0
South Africa,2020-11-10,17269.0,740254.0,19951.0
South Africa,2020-11-11,27432.0,742394.0,20011.0
South Africa,2020-11-12,25675.0,744732.0,20076.0
South Africa,2020-11-13,23430.0,746945.0,20153.0
South Africa,2020-11-14,23497.0,749182.0,20206.0
South Africa,2020-11-15,19808.0,751024.0,20241.0
South Africa,2020-11-16,12755.0,752269.0,20314.0
South Africa,2020-11-17,17930.0,754256.0,20432.0
South Africa,2020-11-18,28703.0,757144.0,20556.0
South Africa,2020-11-19,24456.0,759658.0,20671.0
South Africa,2020-11-20,29019.0,762763.0,20759.0
South Africa,2020-11-21,26007.0,765409.0,20845.0
South Africa,2020-11-22,21904.0,767679.0,20903.0
South Africa,2020-11-23,14377.0,769759.0,20968.0
South Africa,2020-11-24,20288.0,772252.0,21083.0
South Africa,2020-11-25,29437.0,775502.0,21201.0
South Africa,2020-11-26,28010.0,778571.0,21289.0
South Africa,2020-12-04,33415.0,805804.0,21963.0
South Africa,2020-12-05,31844.0,810449.0,22067.0
South Africa,2020-12-06,26735.0,814565.0,22206.0
South Africa,2020-12-07,19252.0,817878.0,22249.0
South Africa,2020-12-08,28127.0,821889.0,22432.0
South Africa,2020-12-09,50221.0,828598.0,22574.0
South Africa,2020-12-10,45207.0,836764.0,22747.0
South Africa,2020-12-11,44074.0,845083.0,22952.0
South Africa,2020-12-12,40211.0,852965.0,23106.0
South Africa,2020-12-13,39423.0,860964.0,23276.0
South Africa,2020-12-14,25049.0,866127.0,23451.0
South Africa,2020-12-15,36347.0,873679.0,23661.0
South Africa,2020-12-16,48118.0,883687.0,23827.0
South Africa,2020-12-17,42543.0,892813.0,24011.0
South Africa,2020-12-18,40751.0,901538.0,24285.0
South Africa,2020-12-19,48387.0,912477.0,24539.0
South Africa,2020-12-20,40466.0,921922.0,24691.0
South Africa,2020-12-21,35844.0,930711.0,24907.0
South Africa,2020-12-22,39045.0,940212.0,25246.0
South Africa,2020-12-23,54048.0,954258.0,25657.0
South Africa,2020-12-24,56008.0,968563.0,25983.0
South Africa,2020-12-25,52223.0,983359.0,26276.0
South Africa,2020-12-26,37817.0,994911.0,26521.0
South Africa,2020-12-27,29494.0,1004413.0,26735.0
South Africa,2020-12-28,23707.0,1011871.0,27071.0
