Entity,Date,Daily tests,Cases,Deaths
South Korea,2020-02-20,1750.0,104.0,1.0
South Korea,2020-02-21,2655.0,204.0,2.0
South Korea,2020-02-22,4805.0,433.0,2.0
South Korea,2020-02-23,3012.0,602.0,6.0
South Korea,2020-02-24,5982.0,833.0,8.0
South Korea,2020-02-25,8101.0,977.0,10.0
South Korea,2020-02-26,9411.0,1261.0,12.0
South Korea,2020-02-27,11863.0,1766.0,13.0
South Korea,2020-02-28,12950.0,2337.0,13.0
South Korea,2020-02-29,14753.0,3150.0,16.0
South Korea,2020-03-01,11292.0,3736.0,17.0
South Korea,2020-03-02,12606.0,4335.0,28.0
South Korea,2020-03-03,16260.0,5186.0,28.0
South Korea,2020-03-04,10856.0,5621.0,35.0
South Korea,2020-03-05,9834.0,6088.0,35.0
South Korea,2020-03-06,18199.0,6593.0,42.0
South Korea,2020-03-07,13449.0,7041.0,44.0
South Korea,2020-03-08,10329.0,7314.0,50.0
South Korea,2020-03-09,8100.0,7478.0,53.0
South Korea,2020-03-10,13526.0,7513.0,54.0
South Korea,2020-03-11,12251.0,7755.0,60.0
South Korea,2020-03-20,10019.0,8652.0,94.0
South Korea,2020-03-21,10666.0,8799.0,102.0
South Korea,2020-03-22,5435.0,8961.0,111.0
South Korea,2020-03-23,7168.0,8961.0,111.0
South Korea,2020-03-24,8734.0,9037.0,120.0
South Korea,2020-03-25,10476.0,9137.0,126.0
South Korea,2020-03-26,6955.0,9241.0,131.0
South Korea,2020-03-27,11169.0,9332.0,139.0
South Korea,2020-03-28,9619.0,9478.0,144.0
South Korea,2020-03-31,12009.0,9786.0,162.0
South Korea,2020-04-01,11290.0,9887.0,165.0
South Korea,2020-04-02,8896.0,9976.0,169.0
South Korea,2020-04-03,10507.0,10062.0,174.0
South Korea,2020-04-06,5847.0,10284.0,186.0
South Korea,2020-04-07,9145.0,10331.0,192.0
South Korea,2020-04-08,11491.0,10384.0,200.0
South Korea,2020-04-09,11057.0,10423.0,204.0
South Korea,2020-04-10,8551.0,10450.0,208.0
South Korea,2020-04-11,8656.0,10480.0,211.0
South Korea,2020-04-12,4424.0,10512.0,214.0
South Korea,2020-04-13,4519.0,10537.0,217.0
South Korea,2020-04-14,7435.0,10564.0,222.0
South Korea,2020-04-15,6739.0,10591.0,225.0
South Korea,2020-04-16,4981.0,10613.0,229.0
South Korea,2020-04-17,7770.0,10635.0,230.0
South Korea,2020-04-20,4188.0,10674.0,236.0
South Korea,2020-04-21,7239.0,10683.0,237.0
South Korea,2020-04-22,7545.0,10694.0,238.0
South Korea,2020-04-23,7994.0,10708.0,240.0
South Korea,2020-04-24,6088.0,10718.0,240.0
South Korea,2020-04-28,6546.0,10761.0,246.0
South Korea,2020-04-29,6579.0,10765.0,247.0
South Korea,2020-05-02,4682.0,10793.0,250.0
South Korea,2020-05-03,3319.0,10801.0,252.0
South Korea,2020-05-04,3360.0,10804.0,254.0
South Korea,2020-05-05,5634.0,10806.0,255.0
South Korea,2020-05-06,3707.0,10810.0,256.0
South Korea,2020-05-07,5873.0,10822.0,256.0
South Korea,2020-05-08,5037.0,10840.0,256.0
South Korea,2020-05-09,4881.0,10874.0,256.0
South Korea,2020-05-12,6990.0,10962.0,259.0
South Korea,2020-05-13,11781.0,10991.0,260.0
South Korea,2020-05-14,14421.0,11018.0,260.0
South Korea,2020-05-15,16110.0,11037.0,262.0
South Korea,2020-05-18,7125.0,11078.0,263.0
South Korea,2020-05-19,11531.0,11110.0,263.0
South Korea,2020-05-20,11433.0,11122.0,264.0
South Korea,2020-05-21,10513.0,11142.0,264.0
South Korea,2020-05-22,11537.0,11165.0,266.0
South Korea,2020-05-23,10719.0,11190.0,266.0
South Korea,2020-05-26,10083.0,11265.0,269.0
South Korea,2020-05-27,14384.0,11344.0,269.0
South Korea,2020-05-28,14481.0,11402.0,269.0
South Korea,2020-05-29,14267.0,11441.0,269.0
South Korea,2020-05-30,16040.0,11468.0,270.0
South Korea,2020-05-31,10925.0,11503.0,271.0
South Korea,2020-06-01,9805.0,11541.0,272.0
South Korea,2020-06-02,13596.0,11590.0,273.0
South Korea,2020-06-03,18058.0,11629.0,273.0
South Korea,2020-06-04,16672.0,11668.0,273.0
South Korea,2020-06-05,16535.0,11719.0,273.0
South Korea,2020-06-06,15157.0,11776.0,273.0
South Korea,2020-06-07,8937.0,11814.0,273.0
South Korea,2020-06-08,7552.0,11852.0,274.0
South Korea,2020-06-09,14698.0,11902.0,276.0
South Korea,2020-06-10,17211.0,11947.0,276.0
South Korea,2020-06-11,15645.0,12003.0,277.0
South Korea,2020-06-12,15849.0,12051.0,277.0
South Korea,2020-06-13,14109.0,12085.0,277.0
South Korea,2020-06-14,7620.0,12121.0,277.0
South Korea,2020-06-15,5954.0,12155.0,278.0
South Korea,2020-06-16,12209.0,12198.0,279.0
South Korea,2020-06-17,14199.0,12257.0,280.0
South Korea,2020-06-18,12664.0,12306.0,280.0
South Korea,2020-06-19,12875.0,12373.0,280.0
South Korea,2020-06-20,12558.0,12421.0,280.0
South Korea,2020-06-21,6961.0,12438.0,280.0
South Korea,2020-06-22,6271.0,12484.0,281.0
South Korea,2020-06-23,11071.0,12535.0,281.0
South Korea,2020-06-24,14618.0,12563.0,282.0
South Korea,2020-06-25,13226.0,12602.0,282.0
South Korea,2020-06-26,11909.0,12653.0,282.0
South Korea,2020-06-27,10427.0,12715.0,282.0
South Korea,2020-06-28,8776.0,12757.0,282.0
South Korea,2020-06-29,8765.0,12800.0,282.0
South Korea,2020-06-30,11502.0,12850.0,282.0
South Korea,2020-07-01,12748.0,12904.0,282.0
South Korea,2020-07-02,10475.0,12967.0,282.0
South Korea,2020-07-03,10021.0,13030.0,283.0
South Korea,2020-07-04,11001.0,13091.0,283.0
South Korea,2020-07-07,12015.0,13244.0,285.0
South Korea,2020-07-08,13204.0,13293.0,287.0
South Korea,2020-07-09,12136.0,13338.0,288.0
South Korea,2020-07-10,13504.0,13373.0,288.0
South Korea,2020-07-13,6153.0,13512.0,289.0
South Korea,2020-07-14,9860.0,13551.0,289.0
South Korea,2020-07-15,11692.0,13612.0,291.0
South Korea,2020-07-16,9925.0,13672.0,293.0
South Korea,2020-07-17,9963.0,13711.0,294.0
South Korea,2020-07-18,9374.0,13745.0,295.0
South Korea,2020-07-19,6065.0,13771.0,296.0
South Korea,2020-07-20,5545.0,13816.0,296.0
South Korea,2020-07-21,9635.0,13879.0,297.0
South Korea,2020-07-22,11794.0,13938.0,297.0
South Korea,2020-07-23,9116.0,13979.0,298.0
South Korea,2020-07-24,10332.0,14092.0,298.0
South Korea,2020-07-25,9185.0,14150.0,298.0
South Korea,2020-07-26,4759.0,14175.0,299.0
South Korea,2020-07-27,4492.0,14203.0,300.0
South Korea,2020-07-28,9056.0,14251.0,300.0
South Korea,2020-07-29,10721.0,14269.0,300.0
South Korea,2020-07-30,9216.0,14305.0,301.0
South Korea,2020-07-31,8269.0,14336.0,301.0
South Korea,2020-08-01,8086.0,14366.0,301.0
South Korea,2020-08-02,4926.0,14389.0,301.0
South Korea,2020-08-03,3878.0,14423.0,301.0
South Korea,2020-08-04,8700.0,14456.0,302.0
South Korea,2020-08-05,8641.0,14499.0,302.0
South Korea,2020-08-06,8759.0,14519.0,303.0
South Korea,2020-08-07,8128.0,14562.0,304.0
South Korea,2020-08-08,7825.0,14598.0,305.0
South Korea,2020-08-09,3438.0,14626.0,305.0
South Korea,2020-08-10,4060.0,14660.0,305.0
South Korea,2020-08-11,8448.0,14714.0,305.0
South Korea,2020-08-12,8922.0,14770.0,305.0
South Korea,2020-08-13,7823.0,14873.0,305.0
South Korea,2020-08-14,7852.0,15039.0,305.0
South Korea,2020-08-15,8726.0,15318.0,305.0
South Korea,2020-08-16,6104.0,15515.0,305.0
South Korea,2020-08-17,5724.0,15761.0,306.0
South Korea,2020-08-18,6317.0,16058.0,306.0
South Korea,2020-08-19,12219.0,16346.0,307.0
South Korea,2020-08-20,15043.0,16670.0,309.0
