Entity,Date,Daily tests,Cases,Deaths
Sri Lanka,2020-03-28,108.0,113.0,1.0
Sri Lanka,2020-03-29,136.0,117.0,1.0
Sri Lanka,2020-03-30,155.0,122.0,2.0
Sri Lanka,2020-03-31,224.0,143.0,2.0
Sri Lanka,2020-04-01,219.0,146.0,3.0
Sri Lanka,2020-04-02,250.0,151.0,4.0
Sri Lanka,2020-04-03,311.0,159.0,4.0
Sri Lanka,2020-04-04,295.0,166.0,5.0
Sri Lanka,2020-04-05,324.0,176.0,5.0
Sri Lanka,2020-04-06,394.0,178.0,5.0
Sri Lanka,2020-04-07,353.0,185.0,6.0
Sri Lanka,2020-04-08,376.0,189.0,7.0
Sri Lanka,2020-04-09,287.0,190.0,7.0
Sri Lanka,2020-04-10,397.0,190.0,7.0
Sri Lanka,2020-04-11,393.0,198.0,7.0
Sri Lanka,2020-04-12,609.0,210.0,7.0
Sri Lanka,2020-04-13,431.0,217.0,7.0
Sri Lanka,2020-04-14,342.0,233.0,7.0
Sri Lanka,2020-04-15,465.0,238.0,7.0
Sri Lanka,2020-04-16,548.0,238.0,7.0
Sri Lanka,2020-04-17,710.0,244.0,7.0
Sri Lanka,2020-04-18,522.0,254.0,7.0
Sri Lanka,2020-04-19,702.0,271.0,7.0
Sri Lanka,2020-04-20,642.0,304.0,7.0
Sri Lanka,2020-04-21,650.0,310.0,7.0
Sri Lanka,2020-04-22,774.0,330.0,7.0
Sri Lanka,2020-04-23,1141.0,368.0,7.0
Sri Lanka,2020-04-24,876.0,420.0,7.0
Sri Lanka,2020-04-25,816.0,460.0,7.0
Sri Lanka,2020-04-26,1075.0,523.0,7.0
Sri Lanka,2020-04-27,1869.0,588.0,7.0
Sri Lanka,2020-04-28,1139.0,619.0,7.0
Sri Lanka,2020-04-29,1545.0,649.0,7.0
Sri Lanka,2020-04-30,1397.0,663.0,7.0
Sri Lanka,2020-05-01,1107.0,690.0,7.0
Sri Lanka,2020-05-02,1681.0,705.0,7.0
Sri Lanka,2020-05-03,1636.0,718.0,7.0
Sri Lanka,2020-05-04,1045.0,751.0,8.0
Sri Lanka,2020-05-05,1491.0,771.0,9.0
Sri Lanka,2020-05-06,1147.0,797.0,9.0
Sri Lanka,2020-05-07,1553.0,824.0,9.0
Sri Lanka,2020-05-08,1821.0,835.0,9.0
Sri Lanka,2020-05-09,1424.0,847.0,9.0
Sri Lanka,2020-05-10,1282.0,863.0,9.0
Sri Lanka,2020-05-11,1057.0,869.0,9.0
Sri Lanka,2020-05-12,1078.0,889.0,9.0
Sri Lanka,2020-05-13,889.0,915.0,9.0
Sri Lanka,2020-05-14,1489.0,925.0,9.0
Sri Lanka,2020-05-15,938.0,935.0,9.0
Sri Lanka,2020-05-16,1081.0,960.0,9.0
Sri Lanka,2020-05-17,1254.0,981.0,9.0
Sri Lanka,2020-05-18,960.0,992.0,9.0
Sri Lanka,2020-05-19,1062.0,1027.0,9.0
Sri Lanka,2020-05-20,1108.0,1028.0,9.0
Sri Lanka,2020-05-21,1603.0,1055.0,9.0
Sri Lanka,2020-05-22,1970.0,1068.0,9.0
Sri Lanka,2020-05-23,1998.0,1089.0,9.0
Sri Lanka,2020-05-24,1742.0,1141.0,9.0
Sri Lanka,2020-05-25,1347.0,1182.0,10.0
Sri Lanka,2020-05-26,1146.0,1319.0,10.0
Sri Lanka,2020-05-27,1838.0,1469.0,10.0
Sri Lanka,2020-05-28,1713.0,1530.0,10.0
Sri Lanka,2020-05-29,1330.0,1558.0,10.0
Sri Lanka,2020-05-30,1727.0,1620.0,10.0
Sri Lanka,2020-05-31,1420.0,1633.0,10.0
Sri Lanka,2020-06-01,1066.0,1643.0,11.0
Sri Lanka,2020-06-02,1783.0,1683.0,11.0
Sri Lanka,2020-06-03,2086.0,1749.0,11.0
