Entity,Date,Daily tests,Cases,Deaths
Sweden,2020-07-13,9913.0,73049.0,5526.0
Sweden,2020-07-14,9913.0,73364.0,5545.0
Sweden,2020-07-15,9913.0,73663.0,5572.0
Sweden,2020-07-16,9913.0,73936.0,5593.0
Sweden,2020-07-17,9913.0,74235.0,5619.0
Sweden,2020-07-18,9913.0,74435.0,5619.0
Sweden,2020-07-19,9913.0,74545.0,5619.0
Sweden,2020-07-20,8449.0,74676.0,5619.0
Sweden,2020-07-21,8449.0,74902.0,5646.0
Sweden,2020-07-22,8449.0,75199.0,5667.0
Sweden,2020-07-23,8449.0,75419.0,5676.0
Sweden,2020-07-24,8449.0,75681.0,5697.0
Sweden,2020-07-25,8449.0,75819.0,5697.0
Sweden,2020-07-26,8449.0,75861.0,5697.0
Sweden,2020-07-27,7566.0,75932.0,5697.0
Sweden,2020-07-28,7566.0,76215.0,5702.0
Sweden,2020-07-29,7566.0,76516.0,5730.0
Sweden,2020-07-30,7566.0,76818.0,5739.0
Sweden,2020-07-31,7566.0,77076.0,5743.0
Sweden,2020-08-01,7566.0,77379.0,5743.0
Sweden,2020-08-02,7566.0,77417.0,5743.0
Sweden,2020-08-03,7674.0,77582.0,5743.0
Sweden,2020-08-04,7674.0,77916.0,5747.0
Sweden,2020-08-05,7674.0,78341.0,5760.0
Sweden,2020-08-06,7674.0,78719.0,5766.0
Sweden,2020-08-07,7674.0,79099.0,5763.0
Sweden,2020-08-08,7674.0,79359.0,5763.0
Sweden,2020-08-09,7674.0,79432.0,5763.0
Sweden,2020-08-10,8090.0,79628.0,5763.0
Sweden,2020-08-11,8090.0,80045.0,5770.0
Sweden,2020-08-12,8090.0,80489.0,5774.0
Sweden,2020-08-13,8090.0,80851.0,5776.0
Sweden,2020-08-14,8090.0,81195.0,5783.0
Sweden,2020-08-15,8090.0,81421.0,5783.0
Sweden,2020-08-16,8090.0,81484.0,5783.0
Sweden,2020-08-17,9364.0,81658.0,5783.0
Sweden,2020-08-18,9364.0,81972.0,5790.0
Sweden,2020-08-19,9364.0,82323.0,5802.0
Sweden,2020-08-20,9364.0,82656.0,5805.0
Sweden,2020-08-21,9364.0,82954.0,5810.0
Sweden,2020-08-22,9364.0,83114.0,5810.0
Sweden,2020-08-23,9364.0,83171.0,5810.0
Sweden,2020-08-24,12151.0,83353.0,5810.0
Sweden,2020-08-25,12151.0,83578.0,5814.0
Sweden,2020-08-26,12151.0,83824.0,5817.0
Sweden,2020-08-27,12151.0,83958.0,5820.0
Sweden,2020-08-28,12151.0,83958.0,5821.0
Sweden,2020-08-29,12151.0,83958.0,5821.0
Sweden,2020-08-30,12151.0,83958.0,5821.0
Sweden,2020-08-31,18027.0,84379.0,5821.0
Sweden,2020-09-01,18027.0,84521.0,5813.0
