Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-01,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-02,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-03,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-04,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-05,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-06,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-07,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-08,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-09,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-10,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-11,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-12,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-13,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-14,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-15,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-16,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-17,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-18,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-19,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-20,,1.0,
