Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-01-24,3.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-01-25,4.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-01-27,13.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-01-28,16.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-01-29,29.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-01-30,40.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-01-31,32.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-02-01,19.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-02-02,11.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-02-03,14.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-02-04,26.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-02-05,28.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-02-06,13.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-02-07,15.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-02-08,7.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-02-09,9.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-02-10,13.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-02-11,22.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-02-12,20.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-02-13,7.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-02-14,9.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-02-15,5.0,21431.0,527.0
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-02-16,5.0,21431.0,527.0
