Entity,Date,Daily tests,Cases,Deaths
Thailand,2020-03-01,621.0,42.0,1.0
Thailand,2020-03-02,751.0,43.0,1.0
Thailand,2020-03-03,716.0,43.0,1.0
Thailand,2020-03-04,632.0,43.0,1.0
Thailand,2020-03-05,671.0,47.0,1.0
Thailand,2020-03-06,619.0,48.0,1.0
Thailand,2020-03-07,696.0,50.0,1.0
Thailand,2020-03-08,560.0,50.0,1.0
Thailand,2020-03-09,807.0,50.0,1.0
Thailand,2020-03-10,611.0,53.0,1.0
Thailand,2020-03-11,1005.0,59.0,1.0
Thailand,2020-03-12,1054.0,70.0,1.0
Thailand,2020-03-13,1246.0,75.0,1.0
Thailand,2020-03-14,1356.0,82.0,1.0
Thailand,2020-03-15,2106.0,114.0,1.0
Thailand,2020-03-16,2190.0,147.0,1.0
Thailand,2020-03-17,3162.0,177.0,1.0
Thailand,2020-03-18,2696.0,212.0,1.0
Thailand,2020-03-19,2895.0,272.0,1.0
Thailand,2020-03-20,2109.0,322.0,1.0
Thailand,2020-03-21,1668.0,411.0,1.0
Thailand,2020-03-22,2058.0,599.0,1.0
Thailand,2020-03-23,2369.0,721.0,1.0
Thailand,2020-03-24,2363.0,827.0,4.0
Thailand,2020-03-25,2923.0,934.0,4.0
Thailand,2020-03-26,3358.0,1045.0,4.0
Thailand,2020-03-27,3429.0,1136.0,5.0
Thailand,2020-03-28,2627.0,1245.0,6.0
Thailand,2020-03-29,2251.0,1388.0,7.0
Thailand,2020-03-30,2320.0,1524.0,9.0
Thailand,2020-03-31,2506.0,1651.0,10.0
Thailand,2020-04-01,2777.0,1771.0,12.0
Thailand,2020-04-02,2963.0,1875.0,15.0
Thailand,2020-04-03,2762.0,1978.0,19.0
Thailand,2020-04-04,3189.0,2067.0,20.0
Thailand,2020-04-05,3525.0,2169.0,23.0
Thailand,2020-04-06,3891.0,2220.0,26.0
Thailand,2020-04-07,4738.0,2258.0,27.0
Thailand,2020-04-08,3804.0,2369.0,30.0
Thailand,2020-04-09,3577.0,2423.0,32.0
Thailand,2020-04-10,3776.0,2473.0,33.0
Thailand,2020-04-11,3892.0,2518.0,35.0
Thailand,2020-04-12,2754.0,2551.0,38.0
Thailand,2020-04-13,3698.0,2579.0,40.0
Thailand,2020-04-14,3904.0,2613.0,41.0
Thailand,2020-04-15,4879.0,2643.0,43.0
Thailand,2020-04-16,5419.0,2672.0,46.0
Thailand,2020-04-17,4892.0,2700.0,47.0
Thailand,2020-04-18,6176.0,2733.0,47.0
Thailand,2020-04-19,4466.0,2765.0,47.0
Thailand,2020-04-20,4224.0,2792.0,47.0
Thailand,2020-04-21,5517.0,2811.0,48.0
Thailand,2020-04-22,6933.0,2826.0,49.0
Thailand,2020-04-23,9222.0,2839.0,50.0
Thailand,2020-04-24,6527.0,2854.0,50.0
Thailand,2020-04-25,5619.0,2907.0,51.0
Thailand,2020-04-26,5836.0,2922.0,51.0
Thailand,2020-04-27,8072.0,2931.0,52.0
Thailand,2020-04-28,9765.0,2938.0,54.0
Thailand,2020-04-29,8772.0,2947.0,54.0
Thailand,2020-04-30,11423.0,2954.0,54.0
Thailand,2020-05-01,7530.0,2960.0,54.0
Thailand,2020-05-02,9243.0,2966.0,54.0
Thailand,2020-05-03,6085.0,2969.0,54.0
Thailand,2020-05-04,6511.0,2987.0,54.0
Thailand,2020-05-05,7326.0,2988.0,54.0
Thailand,2020-05-06,6191.0,2989.0,55.0
Thailand,2020-05-07,7667.0,2992.0,55.0
Thailand,2020-05-08,7916.0,3000.0,55.0
Thailand,2020-05-09,6194.0,3004.0,56.0
Thailand,2020-05-10,5576.0,3009.0,56.0
Thailand,2020-05-11,5759.0,3015.0,56.0
Thailand,2020-05-12,6785.0,3017.0,56.0
Thailand,2020-05-13,7440.0,3017.0,56.0
Thailand,2020-05-14,7010.0,3018.0,56.0
Thailand,2020-05-15,8075.0,3025.0,56.0
Thailand,2020-05-16,6491.0,3025.0,56.0
Thailand,2020-05-17,4043.0,3028.0,56.0
Thailand,2020-05-18,6761.0,3031.0,56.0
Thailand,2020-05-19,7656.0,3033.0,56.0
Thailand,2020-05-20,8534.0,3034.0,56.0
Thailand,2020-05-21,8627.0,3037.0,56.0
Thailand,2020-05-22,7736.0,3037.0,56.0
Thailand,2020-05-23,7914.0,3040.0,56.0
Thailand,2020-05-24,4298.0,3040.0,56.0
Thailand,2020-05-25,8194.0,3042.0,57.0
Thailand,2020-05-26,9193.0,3045.0,57.0
Thailand,2020-05-27,10021.0,3054.0,57.0
Thailand,2020-05-28,9181.0,3065.0,57.0
Thailand,2020-05-29,8759.0,3076.0,57.0
Thailand,2020-05-30,7758.0,3077.0,57.0
Thailand,2020-05-31,4797.0,3081.0,57.0
Thailand,2020-06-01,8103.0,3082.0,57.0
Thailand,2020-06-02,10293.0,3083.0,58.0
Thailand,2020-06-03,6696.0,3084.0,58.0
Thailand,2020-06-04,10029.0,3101.0,58.0
Thailand,2020-06-05,8963.0,3102.0,58.0
Thailand,2020-06-06,5259.0,3104.0,58.0
Thailand,2020-06-07,5081.0,3112.0,58.0
Thailand,2020-06-08,8670.0,3119.0,58.0
Thailand,2020-06-09,10526.0,3121.0,58.0
Thailand,2020-06-10,7940.0,3125.0,58.0
Thailand,2020-06-11,10366.0,3125.0,58.0
Thailand,2020-06-12,8818.0,3129.0,58.0
Thailand,2020-06-13,5626.0,3134.0,58.0
Thailand,2020-06-14,4798.0,3135.0,58.0
Thailand,2020-06-15,7963.0,3135.0,58.0
Thailand,2020-06-16,8936.0,3135.0,58.0
Thailand,2020-06-17,8002.0,3135.0,58.0
Thailand,2020-06-18,8137.0,3141.0,58.0
Thailand,2020-06-19,6891.0,3146.0,58.0
Thailand,2020-06-20,3943.0,3147.0,58.0
Thailand,2020-06-21,3605.0,3148.0,58.0
Thailand,2020-06-22,6205.0,3151.0,58.0
Thailand,2020-06-23,5779.0,3156.0,58.0
Thailand,2020-06-24,5263.0,3157.0,58.0
Thailand,2020-06-25,6671.0,3158.0,58.0
Thailand,2020-06-26,4320.0,3162.0,58.0
Thailand,2020-06-27,3543.0,3162.0,58.0
Thailand,2020-06-28,2547.0,3162.0,58.0
Thailand,2020-06-29,6437.0,3169.0,58.0
Thailand,2020-06-30,5259.0,3171.0,58.0
Thailand,2020-07-01,4380.0,3173.0,58.0
Thailand,2020-07-02,4645.0,3179.0,58.0
Thailand,2020-07-03,4255.0,3180.0,58.0
Thailand,2020-07-04,2406.0,3185.0,58.0
Thailand,2020-07-05,2529.0,3190.0,58.0
Thailand,2020-07-06,3114.0,3195.0,58.0
Thailand,2020-07-07,3000.0,3195.0,58.0
Thailand,2020-07-08,3515.0,3197.0,58.0
Thailand,2020-07-09,4335.0,3202.0,58.0
Thailand,2020-07-10,5076.0,3202.0,58.0
Thailand,2020-07-11,3317.0,3216.0,58.0
Thailand,2020-07-12,2813.0,3217.0,58.0
Thailand,2020-07-13,4121.0,3220.0,58.0
Thailand,2020-07-14,6127.0,3227.0,58.0
Thailand,2020-07-15,5387.0,3232.0,58.0
Thailand,2020-07-16,8355.0,3236.0,58.0
Thailand,2020-07-17,6028.0,3239.0,58.0
Thailand,2020-07-18,4881.0,3246.0,58.0
Thailand,2020-07-19,3320.0,3249.0,58.0
Thailand,2020-07-20,4730.0,3250.0,58.0
Thailand,2020-07-21,4473.0,3255.0,58.0
Thailand,2020-07-22,6655.0,3253.0,58.0
Thailand,2020-07-23,5778.0,3269.0,58.0
Thailand,2020-07-24,5772.0,3279.0,58.0
Thailand,2020-07-25,3897.0,3282.0,58.0
Thailand,2020-07-26,2962.0,3291.0,58.0
Thailand,2020-07-27,4326.0,3295.0,58.0
Thailand,2020-07-28,4624.0,3297.0,58.0
Thailand,2020-07-29,5658.0,3298.0,58.0
Thailand,2020-07-30,6915.0,3304.0,58.0
Thailand,2020-07-31,5029.0,3310.0,58.0
