Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-04,2.0,,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-05,2.0,,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-06,,1.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-07,1.0,1.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-08,,1.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-09,4.0,1.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-10,4.0,1.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-11,,1.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-12,4.0,1.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-13,,1.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-14,2.0,1.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-15,,1.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-16,3.0,1.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-17,12.0,1.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-18,20.0,1.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-19,30.0,1.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-20,21.0,9.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-21,25.0,16.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-22,15.0,16.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-23,30.0,18.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-24,33.0,20.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-25,40.0,23.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-26,42.0,23.0,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-27,29.0,25.0,1.0
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-28,43.0,25.0,1.0
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-29,48.0,25.0,1.0
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-30,72.0,30.0,1.0
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-31,91.0,34.0,1.0
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-04-01,57.0,36.0,2.0
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-04-02,94.0,39.0,2.0
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-04-03,294.0,40.0,3.0
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-04-04,149.0,41.0,3.0
