Entity,Date,Daily tests,Cases,Deaths
Trinidad and Tobago,2020-03-14,,2.0,
Trinidad and Tobago,2020-03-15,,2.0,
Trinidad and Tobago,2020-03-16,,4.0,
Trinidad and Tobago,2020-03-17,,5.0,
Trinidad and Tobago,2020-03-18,,7.0,
Trinidad and Tobago,2020-03-19,,9.0,
Trinidad and Tobago,2020-03-20,,9.0,
Trinidad and Tobago,2020-03-21,,49.0,
Trinidad and Tobago,2020-03-22,,50.0,
Trinidad and Tobago,2020-03-23,,51.0,
Trinidad and Tobago,2020-03-24,,57.0,
Trinidad and Tobago,2020-03-25,,60.0,1.0
Trinidad and Tobago,2020-03-26,,65.0,1.0
Trinidad and Tobago,2020-03-27,,66.0,2.0
Trinidad and Tobago,2020-03-28,,74.0,3.0
Trinidad and Tobago,2020-03-29,,78.0,3.0
Trinidad and Tobago,2020-03-30,,82.0,3.0
Trinidad and Tobago,2020-03-31,,87.0,3.0
Trinidad and Tobago,2020-04-01,,90.0,5.0
Trinidad and Tobago,2020-04-02,,94.0,5.0
Trinidad and Tobago,2020-04-03,,98.0,6.0
Trinidad and Tobago,2020-04-04,,103.0,6.0
Trinidad and Tobago,2020-04-05,,104.0,7.0
Trinidad and Tobago,2020-04-06,,105.0,8.0
Trinidad and Tobago,2020-04-07,,107.0,8.0
Trinidad and Tobago,2020-04-08,,107.0,8.0
Trinidad and Tobago,2020-04-09,,109.0,8.0
Trinidad and Tobago,2020-04-10,,109.0,8.0
Trinidad and Tobago,2020-04-11,,112.0,8.0
Trinidad and Tobago,2020-04-12,,113.0,8.0
Trinidad and Tobago,2020-04-13,,113.0,8.0
Trinidad and Tobago,2020-04-14,,113.0,8.0
Trinidad and Tobago,2020-04-15,,114.0,8.0
Trinidad and Tobago,2020-04-16,,114.0,8.0
Trinidad and Tobago,2020-04-17,,114.0,8.0
Trinidad and Tobago,2020-04-18,,114.0,8.0
Trinidad and Tobago,2020-04-19,,114.0,8.0
Trinidad and Tobago,2020-04-20,,114.0,8.0
Trinidad and Tobago,2020-04-21,,115.0,8.0
Trinidad and Tobago,2020-04-22,,115.0,8.0
Trinidad and Tobago,2020-04-23,,115.0,8.0
Trinidad and Tobago,2020-04-24,,115.0,8.0
Trinidad and Tobago,2020-04-25,,115.0,8.0
Trinidad and Tobago,2020-04-26,,115.0,8.0
Trinidad and Tobago,2020-04-27,,116.0,8.0
Trinidad and Tobago,2020-04-28,,116.0,8.0
Trinidad and Tobago,2020-04-29,,116.0,8.0
Trinidad and Tobago,2020-04-30,,116.0,8.0
Trinidad and Tobago,2020-05-01,,116.0,8.0
Trinidad and Tobago,2020-05-02,,116.0,8.0
Trinidad and Tobago,2020-05-03,,116.0,8.0
Trinidad and Tobago,2020-05-04,,116.0,8.0
Trinidad and Tobago,2020-05-05,,116.0,8.0
Trinidad and Tobago,2020-05-06,49.0,116.0,8.0
Trinidad and Tobago,2020-05-07,40.0,116.0,8.0
Trinidad and Tobago,2020-05-08,74.0,116.0,8.0
Trinidad and Tobago,2020-05-09,35.0,116.0,8.0
Trinidad and Tobago,2020-05-10,35.0,116.0,8.0
Trinidad and Tobago,2020-05-11,5.0,116.0,8.0
Trinidad and Tobago,2020-05-12,45.0,116.0,8.0
Trinidad and Tobago,2020-05-13,55.0,116.0,8.0
Trinidad and Tobago,2020-05-14,29.0,116.0,8.0
Trinidad and Tobago,2020-05-15,65.0,116.0,8.0
Trinidad and Tobago,2020-05-16,70.0,116.0,8.0
Trinidad and Tobago,2020-05-17,23.0,116.0,8.0
Trinidad and Tobago,2020-05-18,12.0,116.0,8.0
Trinidad and Tobago,2020-05-19,38.0,116.0,8.0
Trinidad and Tobago,2020-05-20,54.0,116.0,8.0
Trinidad and Tobago,2020-05-21,18.0,116.0,8.0
Trinidad and Tobago,2020-05-22,39.0,116.0,8.0
Trinidad and Tobago,2020-05-23,64.0,116.0,8.0
Trinidad and Tobago,2020-05-24,6.0,116.0,8.0
Trinidad and Tobago,2020-05-25,24.0,116.0,8.0
Trinidad and Tobago,2020-05-26,57.0,116.0,8.0
