Entity,Date,Daily tests,Cases,Deaths
Tunisia,2020-03-19,79.0,39.0,1.0
Tunisia,2020-03-20,126.0,54.0,1.0
Tunisia,2020-03-21,135.0,60.0,1.0
Tunisia,2020-03-22,132.0,75.0,3.0
Tunisia,2020-03-23,138.0,89.0,3.0
Tunisia,2020-03-24,229.0,114.0,4.0
Tunisia,2020-03-25,309.0,173.0,5.0
Tunisia,2020-03-26,282.0,197.0,6.0
Tunisia,2020-03-27,724.0,227.0,6.0
Tunisia,2020-03-28,536.0,278.0,8.0
Tunisia,2020-03-29,447.0,312.0,8.0
Tunisia,2020-03-30,442.0,312.0,8.0
Tunisia,2020-03-31,550.0,394.0,10.0
Tunisia,2020-04-01,386.0,423.0,12.0
Tunisia,2020-04-02,606.0,455.0,14.0
Tunisia,2020-04-03,749.0,495.0,18.0
Tunisia,2020-04-04,660.0,553.0,18.0
Tunisia,2020-04-05,1129.0,574.0,22.0
Tunisia,2020-04-06,604.0,596.0,22.0
Tunisia,2020-04-07,692.0,623.0,23.0
Tunisia,2020-04-08,517.0,628.0,24.0
Tunisia,2020-04-09,589.0,643.0,25.0
Tunisia,2020-04-10,562.0,671.0,25.0
Tunisia,2020-04-11,587.0,685.0,28.0
Tunisia,2020-04-12,590.0,707.0,31.0
Tunisia,2020-04-13,722.0,726.0,34.0
Tunisia,2020-04-14,793.0,747.0,34.0
Tunisia,2020-04-15,710.0,780.0,35.0
Tunisia,2020-04-16,692.0,822.0,37.0
Tunisia,2020-04-17,766.0,864.0,37.0
Tunisia,2020-04-18,1189.0,864.0,37.0
Tunisia,2020-04-19,878.0,879.0,38.0
Tunisia,2020-04-20,696.0,884.0,38.0
Tunisia,2020-04-21,550.0,884.0,38.0
Tunisia,2020-04-22,438.0,909.0,38.0
Tunisia,2020-04-23,559.0,918.0,38.0
Tunisia,2020-04-24,410.0,922.0,38.0
Tunisia,2020-04-25,263.0,939.0,38.0
Tunisia,2020-04-26,396.0,949.0,38.0
Tunisia,2020-04-27,585.0,967.0,39.0
Tunisia,2020-04-28,895.0,975.0,40.0
Tunisia,2020-04-29,569.0,980.0,40.0
Tunisia,2020-04-30,529.0,994.0,41.0
Tunisia,2020-05-01,351.0,998.0,41.0
Tunisia,2020-05-02,447.0,1009.0,42.0
Tunisia,2020-05-03,312.0,1013.0,42.0
Tunisia,2020-05-04,390.0,1018.0,43.0
Tunisia,2020-05-05,412.0,1022.0,43.0
Tunisia,2020-05-06,1453.0,1025.0,43.0
Tunisia,2020-05-07,1877.0,1026.0,44.0
Tunisia,2020-05-08,3521.0,1030.0,45.0
Tunisia,2020-05-09,448.0,1032.0,45.0
Tunisia,2020-05-10,614.0,1032.0,45.0
Tunisia,2020-05-11,443.0,1032.0,45.0
Tunisia,2020-05-12,2200.0,1032.0,45.0
Tunisia,2020-05-13,1339.0,1032.0,45.0
Tunisia,2020-05-14,1916.0,1032.0,45.0
Tunisia,2020-05-15,781.0,1035.0,45.0
Tunisia,2020-05-16,1061.0,1037.0,45.0
Tunisia,2020-05-17,869.0,1037.0,45.0
Tunisia,2020-05-18,1234.0,1043.0,46.0
Tunisia,2020-05-19,1585.0,1044.0,47.0
Tunisia,2020-05-20,1320.0,1045.0,47.0
Tunisia,2020-05-21,1021.0,1046.0,47.0
Tunisia,2020-05-22,167.0,1048.0,47.0
Tunisia,2020-05-23,660.0,1048.0,48.0
Tunisia,2020-05-24,637.0,1051.0,48.0
Tunisia,2020-05-25,838.0,1051.0,48.0
Tunisia,2020-05-26,429.0,1051.0,48.0
Tunisia,2020-05-27,791.0,1051.0,48.0
Tunisia,2020-05-28,710.0,1068.0,48.0
Tunisia,2020-05-29,622.0,1071.0,48.0
Tunisia,2020-05-30,371.0,1076.0,48.0
Tunisia,2020-05-31,287.0,1077.0,48.0
Tunisia,2020-06-01,378.0,1084.0,48.0
Tunisia,2020-06-02,611.0,1086.0,48.0
Tunisia,2020-06-03,503.0,1087.0,49.0
Tunisia,2020-06-04,705.0,1087.0,49.0
Tunisia,2020-06-05,61.0,1087.0,49.0
Tunisia,2020-06-06,160.0,1087.0,49.0
Tunisia,2020-06-07,312.0,1087.0,49.0
Tunisia,2020-06-08,319.0,1087.0,49.0
Tunisia,2020-06-09,1063.0,1087.0,49.0
Tunisia,2020-06-10,1497.0,1087.0,49.0
Tunisia,2020-06-11,1117.0,1087.0,49.0
Tunisia,2020-06-12,985.0,1093.0,49.0
Tunisia,2020-06-13,558.0,1094.0,49.0
Tunisia,2020-06-14,1492.0,1096.0,49.0
Tunisia,2020-06-15,709.0,1110.0,49.0
Tunisia,2020-06-16,1279.0,1125.0,49.0
Tunisia,2020-06-17,605.0,1128.0,50.0
Tunisia,2020-06-18,1530.0,1132.0,50.0
Tunisia,2020-06-19,189.0,1146.0,50.0
Tunisia,2020-06-20,222.0,1156.0,50.0
Tunisia,2020-06-21,648.0,1157.0,50.0
Tunisia,2020-06-22,217.0,1159.0,50.0
Tunisia,2020-06-23,221.0,1159.0,50.0
Tunisia,2020-06-24,242.0,1160.0,50.0
Tunisia,2020-06-25,353.0,1162.0,50.0
Tunisia,2020-06-26,82.0,1164.0,50.0
Tunisia,2020-06-27,308.0,1168.0,50.0
Tunisia,2020-06-28,513.0,1169.0,50.0
Tunisia,2020-06-29,574.0,1172.0,50.0
Tunisia,2020-06-30,584.0,1174.0,50.0
Tunisia,2020-07-01,491.0,1175.0,50.0
Tunisia,2020-07-02,1213.0,1178.0,50.0
Tunisia,2020-07-03,450.0,1181.0,50.0
Tunisia,2020-07-04,258.0,1186.0,50.0
Tunisia,2020-07-05,798.0,1188.0,50.0
Tunisia,2020-07-06,1131.0,1199.0,50.0
Tunisia,2020-07-07,879.0,1205.0,50.0
Tunisia,2020-07-08,1175.0,1221.0,50.0
Tunisia,2020-07-09,974.0,1231.0,50.0
Tunisia,2020-07-10,577.0,1240.0,50.0
Tunisia,2020-07-11,603.0,1245.0,50.0
Tunisia,2020-07-12,791.0,1263.0,50.0
Tunisia,2020-07-13,743.0,1302.0,50.0
Tunisia,2020-07-14,1137.0,1306.0,50.0
Tunisia,2020-07-15,636.0,1319.0,50.0
Tunisia,2020-07-16,769.0,1327.0,50.0
Tunisia,2020-07-17,422.0,1336.0,50.0
Tunisia,2020-07-18,846.0,1348.0,50.0
Tunisia,2020-07-19,826.0,1374.0,50.0
Tunisia,2020-07-20,945.0,1381.0,50.0
Tunisia,2020-07-21,999.0,1389.0,50.0
Tunisia,2020-07-22,1457.0,1394.0,50.0
Tunisia,2020-07-23,530.0,1406.0,50.0
Tunisia,2020-07-24,327.0,1425.0,50.0
Tunisia,2020-07-25,1081.0,1443.0,50.0
Tunisia,2020-07-26,1454.0,1452.0,50.0
Tunisia,2020-07-27,1561.0,1455.0,50.0
Tunisia,2020-07-28,1587.0,1468.0,50.0
Tunisia,2020-07-29,331.0,1488.0,50.0
Tunisia,2020-07-30,99.0,1514.0,50.0
Tunisia,2020-07-31,249.0,1535.0,50.0
Tunisia,2020-08-01,708.0,1552.0,51.0
Tunisia,2020-08-02,1578.0,1561.0,51.0
Tunisia,2020-08-03,1475.0,1565.0,51.0
Tunisia,2020-08-04,1743.0,1584.0,51.0
Tunisia,2020-08-05,1382.0,1601.0,51.0
Tunisia,2020-08-06,1283.0,1642.0,51.0
Tunisia,2020-08-07,650.0,1656.0,51.0
Tunisia,2020-08-08,976.0,1678.0,51.0
Tunisia,2020-08-09,1202.0,1697.0,51.0
Tunisia,2020-08-10,1289.0,1717.0,51.0
Tunisia,2020-08-11,1200.0,1738.0,52.0
Tunisia,2020-08-12,1494.0,1780.0,52.0
Tunisia,2020-08-13,1508.0,1847.0,53.0
Tunisia,2020-08-14,947.0,1903.0,53.0
Tunisia,2020-08-15,1404.0,2023.0,54.0
Tunisia,2020-08-16,1710.0,2107.0,54.0
Tunisia,2020-08-17,2107.0,2185.0,56.0
Tunisia,2020-08-18,1699.0,2314.0,57.0
Tunisia,2020-08-19,2007.0,2427.0,60.0
Tunisia,2020-08-20,2236.0,2543.0,63.0
Tunisia,2020-08-21,1461.0,2607.0,64.0
Tunisia,2020-08-22,2508.0,2738.0,68.0
Tunisia,2020-08-23,2251.0,2818.0,71.0
Tunisia,2020-08-24,2589.0,2893.0,71.0
Tunisia,2020-08-25,2997.0,3069.0,71.0
Tunisia,2020-08-26,2586.0,3206.0,71.0
Tunisia,2020-08-27,2667.0,3323.0,73.0
Tunisia,2020-08-28,1848.0,3461.0,74.0
