Entity,Date,Daily tests,Cases,Deaths
Turkey,2020-03-27,7533.0,5698.0,92.0
Turkey,2020-03-28,7641.0,7402.0,108.0
Turkey,2020-03-29,9982.0,9217.0,131.0
Turkey,2020-03-30,11535.0,10827.0,168.0
Turkey,2020-03-31,15422.0,13531.0,214.0
Turkey,2020-04-01,14396.0,15679.0,277.0
Turkey,2020-04-02,18757.0,18135.0,356.0
Turkey,2020-04-03,16160.0,20921.0,425.0
Turkey,2020-04-04,19664.0,23934.0,501.0
Turkey,2020-04-05,20065.0,27069.0,574.0
Turkey,2020-04-06,21400.0,30217.0,649.0
Turkey,2020-04-07,20023.0,34109.0,725.0
Turkey,2020-04-08,24900.0,38226.0,812.0
Turkey,2020-04-09,28578.0,42282.0,908.0
Turkey,2020-04-10,30864.0,47029.0,1006.0
Turkey,2020-04-11,33170.0,52167.0,1101.0
Turkey,2020-04-12,35720.0,56956.0,1198.0
Turkey,2020-04-13,34456.0,61049.0,1296.0
Turkey,2020-04-14,33070.0,65111.0,1403.0
Turkey,2020-04-15,34090.0,69392.0,1518.0
Turkey,2020-04-16,40427.0,74193.0,1643.0
Turkey,2020-04-17,40270.0,78546.0,1769.0
Turkey,2020-04-18,40520.0,82329.0,1890.0
Turkey,2020-04-19,35344.0,86306.0,2017.0
Turkey,2020-04-20,39703.0,90980.0,2140.0
Turkey,2020-04-21,39429.0,95591.0,2259.0
Turkey,2020-04-22,37535.0,98674.0,2376.0
Turkey,2020-04-23,40962.0,101790.0,2491.0
Turkey,2020-04-24,38351.0,104912.0,2600.0
Turkey,2020-04-25,38308.0,107773.0,2706.0
Turkey,2020-04-26,30177.0,110130.0,2805.0
Turkey,2020-04-27,20143.0,112261.0,2900.0
Turkey,2020-04-28,29230.0,114653.0,2992.0
Turkey,2020-04-29,43498.0,117589.0,3081.0
Turkey,2020-04-30,42004.0,120204.0,3174.0
Turkey,2020-05-01,41431.0,122392.0,3258.0
Turkey,2020-05-02,36318.0,124375.0,3336.0
Turkey,2020-05-03,24001.0,126045.0,3397.0
Turkey,2020-05-04,35771.0,127659.0,3461.0
Turkey,2020-05-05,33283.0,129491.0,3520.0
Turkey,2020-05-06,30303.0,131744.0,3584.0
Turkey,2020-05-07,30395.0,133721.0,3641.0
Turkey,2020-05-08,33687.0,135569.0,3689.0
Turkey,2020-05-09,35605.0,137115.0,3739.0
Turkey,2020-05-10,36187.0,138657.0,3786.0
Turkey,2020-05-11,32722.0,139771.0,3841.0
Turkey,2020-05-12,37351.0,141475.0,3894.0
Turkey,2020-05-13,33332.0,143114.0,3952.0
Turkey,2020-05-14,34821.0,144749.0,4007.0
Turkey,2020-05-15,38565.0,146457.0,4055.0
Turkey,2020-05-16,42236.0,148067.0,4096.0
Turkey,2020-05-17,35369.0,149435.0,4140.0
Turkey,2020-05-18,25141.0,150593.0,4171.0
Turkey,2020-05-19,25382.0,151615.0,4199.0
Turkey,2020-05-20,20838.0,152587.0,4222.0
Turkey,2020-05-21,33633.0,153548.0,4249.0
Turkey,2020-05-22,37507.0,154500.0,4276.0
Turkey,2020-05-23,40178.0,155686.0,4308.0
Turkey,2020-05-24,24589.0,156827.0,4340.0
Turkey,2020-05-25,21492.0,157814.0,4369.0
Turkey,2020-05-26,19853.0,158762.0,4397.0
Turkey,2020-05-27,21043.0,159797.0,4431.0
Turkey,2020-05-28,33559.0,160979.0,4461.0
Turkey,2020-05-29,36155.0,162120.0,4489.0
Turkey,2020-05-30,39230.0,163103.0,4515.0
Turkey,2020-05-31,35600.0,163942.0,4540.0
Turkey,2020-06-01,31525.0,164769.0,4563.0
Turkey,2020-06-02,32325.0,165555.0,4585.0
Turkey,2020-06-03,52305.0,166422.0,4609.0
Turkey,2020-06-04,54234.0,167410.0,4630.0
Turkey,2020-06-05,57829.0,168340.0,4648.0
Turkey,2020-06-06,35846.0,169218.0,4669.0
Turkey,2020-06-07,35335.0,170132.0,4692.0
Turkey,2020-06-08,39361.0,171121.0,4711.0
Turkey,2020-06-09,37225.0,172114.0,4729.0
Turkey,2020-06-10,36521.0,173036.0,4746.0
Turkey,2020-06-11,49190.0,174023.0,4763.0
Turkey,2020-06-12,41013.0,175218.0,4778.0
Turkey,2020-06-13,45092.0,176677.0,4792.0
Turkey,2020-06-14,45176.0,178239.0,4807.0
Turkey,2020-06-15,42032.0,179831.0,4825.0
Turkey,2020-06-16,46800.0,181298.0,4842.0
Turkey,2020-06-17,52901.0,182727.0,4861.0
Turkey,2020-06-18,48412.0,184031.0,4882.0
Turkey,2020-06-19,41316.0,185245.0,4905.0
Turkey,2020-06-20,41112.0,186493.0,4927.0
Turkey,2020-06-21,40496.0,187685.0,4950.0
Turkey,2020-06-22,41413.0,188897.0,4974.0
Turkey,2020-06-23,42982.0,190165.0,5001.0
Turkey,2020-06-24,53486.0,191657.0,5025.0
Turkey,2020-06-25,52303.0,193115.0,5046.0
Turkey,2020-06-26,51198.0,194511.0,5065.0
Turkey,2020-06-27,45213.0,195883.0,5082.0
Turkey,2020-06-28,48309.0,197239.0,5097.0
Turkey,2020-06-29,51014.0,198613.0,5115.0
Turkey,2020-06-30,50492.0,199906.0,5131.0
Turkey,2020-07-01,52313.0,201098.0,5150.0
Turkey,2020-07-02,49714.0,202284.0,5167.0
Turkey,2020-07-03,52141.0,203456.0,5186.0
Turkey,2020-07-04,48248.0,204610.0,5206.0
Turkey,2020-07-05,46414.0,205758.0,5225.0
Turkey,2020-07-06,52193.0,206844.0,5241.0
Turkey,2020-07-07,50545.0,207897.0,5260.0
Turkey,2020-07-08,49302.0,208938.0,5282.0
Turkey,2020-07-09,50103.0,209962.0,5300.0
Turkey,2020-07-10,48787.0,210965.0,5323.0
Turkey,2020-07-11,48813.0,211981.0,5344.0
Turkey,2020-07-12,45232.0,212993.0,5363.0
Turkey,2020-07-13,46492.0,214001.0,5382.0
Turkey,2020-07-14,43231.0,214993.0,5402.0
Turkey,2020-07-15,42320.0,215940.0,5419.0
Turkey,2020-07-16,42411.0,216873.0,5440.0
Turkey,2020-07-17,41215.0,217799.0,5458.0
Turkey,2020-07-18,40943.0,218717.0,5475.0
Turkey,2020-07-19,41310.0,219641.0,5491.0
Turkey,2020-07-20,43404.0,220572.0,5508.0
Turkey,2020-07-21,42846.0,221500.0,5526.0
Turkey,2020-07-22,43404.0,222402.0,5545.0
Turkey,2020-07-23,43343.0,223315.0,5563.0
Turkey,2020-07-24,42986.0,224252.0,5580.0
Turkey,2020-07-25,43312.0,225173.0,5596.0
Turkey,2020-07-26,40016.0,226100.0,5613.0
Turkey,2020-07-27,45283.0,227019.0,5630.0
Turkey,2020-07-28,47412.0,227982.0,5645.0
Turkey,2020-07-29,45712.0,228924.0,5659.0
Turkey,2020-07-30,43236.0,229891.0,5674.0
Turkey,2020-07-31,46492.0,230873.0,5691.0
Turkey,2020-08-01,44846.0,231869.0,5710.0
Turkey,2020-08-02,40247.0,232856.0,5728.0
Turkey,2020-08-03,41301.0,233851.0,5747.0
Turkey,2020-08-04,46249.0,234934.0,5765.0
Turkey,2020-08-05,53842.0,236112.0,5784.0
Turkey,2020-08-06,54494.0,237265.0,5798.0
Turkey,2020-08-07,56726.0,238450.0,5813.0
Turkey,2020-08-08,63842.0,239622.0,5829.0
Turkey,2020-08-09,61446.0,240804.0,5844.0
Turkey,2020-08-10,62219.0,241997.0,5858.0
Turkey,2020-08-11,61716.0,243180.0,5873.0
Turkey,2020-08-12,67237.0,244392.0,5891.0
Turkey,2020-08-13,66892.0,245635.0,5912.0
Turkey,2020-08-14,70192.0,246861.0,5934.0
Turkey,2020-08-15,67214.0,248117.0,5955.0
Turkey,2020-08-16,65956.0,249309.0,5974.0
Turkey,2020-08-17,74846.0,250542.0,5996.0
Turkey,2020-08-18,82318.0,251805.0,6016.0
Turkey,2020-08-19,87223.0,253108.0,6039.0
Turkey,2020-08-20,92301.0,254520.0,6058.0
Turkey,2020-08-21,92227.0,255723.0,6080.0
Turkey,2020-08-22,93007.0,257032.0,6102.0
Turkey,2020-08-23,80302.0,258249.0,6121.0
Turkey,2020-08-24,95943.0,259692.0,6139.0
Turkey,2020-08-25,98231.0,261194.0,6163.0
Turkey,2020-08-26,100109.0,262507.0,6183.0
Turkey,2020-08-27,106111.0,263998.0,6209.0
Turkey,2020-08-28,107814.0,265515.0,6245.0
Turkey,2020-08-29,101414.0,267064.0,6284.0
Turkey,2020-08-30,91302.0,268546.0,6326.0
Turkey,2020-08-31,110102.0,270133.0,6370.0
Turkey,2020-09-01,109443.0,271705.0,6417.0
Turkey,2020-09-02,107927.0,273301.0,6462.0
Turkey,2020-09-03,110225.0,274943.0,6511.0
Turkey,2020-09-04,117113.0,276555.0,6564.0
Turkey,2020-09-05,99497.0,278228.0,6620.0
Turkey,2020-09-06,96842.0,279806.0,6673.0
Turkey,2020-09-07,103925.0,281509.0,6730.0
Turkey,2020-09-08,110565.0,283270.0,6782.0
Turkey,2020-09-09,111193.0,284943.0,6837.0
Turkey,2020-09-10,107702.0,286455.0,6895.0
Turkey,2020-09-11,112213.0,288126.0,6951.0
Turkey,2020-09-12,98326.0,289635.0,6999.0
Turkey,2020-09-13,96097.0,291162.0,7056.0
Turkey,2020-09-14,112563.0,292878.0,7119.0
Turkey,2020-09-15,110412.0,294620.0,7186.0
Turkey,2020-09-16,112645.0,296391.0,7249.0
Turkey,2020-09-17,109985.0,298039.0,7315.0
Turkey,2020-09-18,111113.0,299810.0,7377.0
Turkey,2020-09-19,97416.0,301348.0,7445.0
Turkey,2020-09-20,95321.0,302867.0,7506.0
Turkey,2020-09-21,112942.0,304610.0,7574.0
Turkey,2020-09-22,114311.0,306302.0,7639.0
Turkey,2020-09-23,112102.0,308069.0,7711.0
Turkey,2020-09-24,113317.0,309790.0,7785.0
Turkey,2020-09-25,112885.0,311455.0,7858.0
Turkey,2020-09-26,102009.0,312966.0,7929.0
Turkey,2020-09-27,101119.0,314433.0,7997.0
Turkey,2020-09-28,115523.0,315845.0,8062.0
Turkey,2020-09-29,114940.0,317272.0,8130.0
Turkey,2020-09-30,112098.0,318663.0,8195.0
Turkey,2020-10-01,113546.0,320070.0,8262.0
Turkey,2020-10-02,114857.0,321512.0,8325.0
Turkey,2020-10-03,103219.0,323014.0,8384.0
Turkey,2020-10-04,104402.0,324443.0,8441.0
Turkey,2020-10-05,115632.0,326046.0,8498.0
Turkey,2020-10-06,112421.0,327557.0,8553.0
Turkey,2020-10-07,116608.0,329138.0,8609.0
Turkey,2020-10-08,117101.0,330753.0,8667.0
Turkey,2020-10-09,115295.0,332382.0,8722.0
Turkey,2020-10-10,113102.0,334031.0,8778.0
Turkey,2020-10-11,109301.0,335533.0,8837.0
Turkey,2020-10-12,115605.0,337147.0,8895.0
Turkey,2020-10-13,114992.0,338779.0,8957.0
Turkey,2020-10-14,115328.0,340450.0,9014.0
Turkey,2020-10-15,116103.0,342143.0,9080.0
Turkey,2020-10-16,117005.0,343955.0,9153.0
Turkey,2020-10-17,112131.0,345678.0,9224.0
Turkey,2020-10-18,101403.0,347493.0,9296.0
Turkey,2020-10-19,116249.0,349519.0,9371.0
Turkey,2020-10-20,116565.0,351413.0,9445.0
Turkey,2020-10-21,117943.0,353426.0,9513.0
Turkey,2020-10-22,117198.0,355528.0,9584.0
Turkey,2020-10-23,115979.0,357693.0,9658.0
Turkey,2020-10-24,113427.0,359784.0,9727.0
Turkey,2020-10-25,112215.0,361801.0,9799.0
Turkey,2020-10-26,132913.0,363999.0,9874.0
Turkey,2020-10-27,127651.0,366208.0,9950.0
Turkey,2020-10-28,128312.0,368513.0,10027.0
Turkey,2020-10-29,134416.0,370832.0,10099.0
Turkey,2020-10-30,136525.0,373154.0,10177.0
Turkey,2020-10-31,124109.0,375367.0,10252.0
Turkey,2020-11-01,123343.0,377473.0,10326.0
Turkey,2020-11-02,139103.0,379775.0,10402.0
Turkey,2020-11-03,146247.0,382118.0,10481.0
Turkey,2020-11-04,144416.0,384509.0,10558.0
Turkey,2020-11-05,146028.0,386820.0,10639.0
Turkey,2020-11-06,145241.0,389256.0,10722.0
