Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-03,5520.0,1.0,527.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-04,5520.0,1.0,527.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-05,5520.0,1.0,527.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-06,5520.0,1.0,527.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-07,5520.0,1.0,527.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-08,5520.0,1.0,527.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-09,5520.0,1.0,527.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-10,5520.0,1.0,527.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-11,5520.0,1.0,527.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-12,5520.0,1.0,527.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-13,5520.0,3.0,1.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-14,5520.0,3.0,1.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-15,5520.0,3.0,1.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-16,5520.0,7.0,1.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-17,5520.0,14.0,2.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-18,5520.0,14.0,2.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-19,5520.0,16.0,2.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-20,5520.0,29.0,3.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-21,5520.0,47.0,3.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-22,5520.0,73.0,3.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-23,5520.0,73.0,3.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-24,5520.0,97.0,3.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-25,5520.0,145.0,5.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-26,5520.0,196.0,5.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-27,5520.0,310.0,5.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-28,5520.0,356.0,9.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-29,5520.0,475.0,10.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-30,5520.0,548.0,13.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-03-31,5520.0,645.0,17.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-01,5520.0,794.0,20.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-02,5520.0,897.0,22.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-03,5520.0,1072.0,27.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-04,5520.0,1225.0,32.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-05,5520.0,1308.0,37.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-06,5520.0,1319.0,38.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-07,5520.0,1462.0,45.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-08,5520.0,1668.0,52.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-09,5520.0,1892.0,57.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-10,2914.0,2203.0,69.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-11,5520.0,2511.0,73.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-12,5520.0,2777.0,83.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-13,5520.0,3102.0,93.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-14,5520.0,3372.0,98.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-15,5520.0,3764.0,108.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-16,5520.0,4161.0,116.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-17,4273.0,4662.0,125.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-18,5520.0,5106.0,133.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-19,5520.0,5449.0,141.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-20,5520.0,5710.0,151.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-21,5520.0,6125.0,161.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-22,5520.0,6592.0,174.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-23,5520.0,7170.0,187.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-24,5520.0,7647.0,201.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-25,5520.0,8125.0,201.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-26,5520.0,8617.0,209.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-27,4146.0,9009.0,220.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-28,5200.0,9410.0,239.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-29,5825.0,9866.0,250.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-04-30,7315.0,10406.0,261.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-05-01,6686.0,10861.0,272.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-05-02,4207.0,11411.0,279.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-05-03,6971.0,11913.0,288.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-05-04,4869.0,12331.0,303.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-05-05,5167.0,12697.0,316.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-05-06,4524.0,13184.0,327.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-05-07,7286.0,13691.0,340.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-05-08,7586.0,14195.0,361.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-05-09,7952.0,14710.0,376.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-05-10,9296.0,15232.0,391.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-05-11,5149.0,15648.0,408.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-05-12,5755.0,16023.0,425.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-05-13,4940.0,16425.0,439.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-05-14,10248.0,16847.0,456.0
Ukraine,Europe,48.38,31.17,10,8.8,3.0,3659.0,44831159,41,16,2020-05-15,9119.0,17330.0,476.0
