Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-01-29,75.0,4.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-01-30,5520.0,4.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-01-31,5520.0,4.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-01,183.0,4.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-02,5520.0,5.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-03,5520.0,5.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-04,5520.0,5.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-05,5520.0,5.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-06,5520.0,5.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-07,5520.0,5.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-08,574.0,7.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-09,1360.0,7.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-10,437.0,8.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-11,5520.0,8.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-12,5520.0,8.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-13,5520.0,8.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-14,306.0,8.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-15,5520.0,8.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-16,2107.0,9.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-17,5520.0,9.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-18,1651.0,9.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-19,5520.0,9.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-20,5520.0,9.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-21,2201.0,9.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-22,4096.0,13.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-23,5520.0,13.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-24,5520.0,13.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-25,5520.0,13.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-26,5520.0,13.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-27,1325.0,13.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-28,8606.0,19.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-02-29,5520.0,21.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-03-01,5520.0,21.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-03-02,5520.0,21.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-03-03,2113.0,27.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-03-04,12724.0,27.0,527.0
United Arab Emirates,Asia,23.42,53.85,29,1.2,1.56,43103.3,9400145,34,1,2020-03-05,5520.0,29.0,527.0
