Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-01-31,5520.0,2.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-01,5520.0,2.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-02,5520.0,2.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-03,5520.0,8.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-04,5520.0,8.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-05,5520.0,9.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-06,5520.0,9.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-07,5520.0,9.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-08,5520.0,13.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-09,5520.0,14.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-10,5520.0,14.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-11,5520.0,15.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-12,5520.0,16.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-13,5520.0,17.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-14,5520.0,18.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-15,5520.0,18.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-16,5520.0,18.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-17,5520.0,19.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-18,5520.0,19.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-19,5520.0,20.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-20,5520.0,22.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-21,5520.0,23.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-22,5520.0,23.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-23,5520.0,28.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-24,5520.0,30.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-25,5520.0,34.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-26,5520.0,37.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-27,5520.0,44.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-28,5520.0,56.0,527.0
United Kingdom,Europe,55.38,-3.44,8,2.54,2.82,42330.1,66022273,40,18,2020-02-29,5520.0,61.0,527.0
