Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-01-22,,1.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-01-23,,1.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-01-24,,2.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-01-25,,2.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-01-26,,5.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-01-27,,5.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-01-28,,5.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-01-29,,6.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-01-30,,6.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-01-31,,8.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-02-01,,8.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-02-02,,8.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-02-03,,11.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-02-04,,11.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-02-05,,11.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-02-06,,12.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-02-07,,12.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-02-08,,12.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-02-09,,12.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-02-10,,12.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-02-11,,13.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-02-12,,13.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-02-13,,14.0,
United States,North America,37.09,-95.71,11,2.77,2.57,65297.5,325719178,38,16,2020-02-14,,14.0,
