Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-03-13,5520.0,4.0,527.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-03-14,5520.0,6.0,527.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-03-15,5520.0,8.0,527.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-03-16,5520.0,29.0,527.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-03-17,5520.0,50.0,527.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-03-18,5520.0,79.0,527.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-03-19,5520.0,94.0,527.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-03-20,5520.0,110.0,527.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-03-21,5520.0,135.0,527.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-03-22,5520.0,158.0,527.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-03-23,5520.0,162.0,527.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-03-24,5520.0,189.0,527.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-03-25,5520.0,217.0,527.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-03-26,5520.0,238.0,527.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-03-27,5520.0,274.0,527.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-03-28,5520.0,303.0,1.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-03-29,200.0,309.0,1.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-03-30,299.0,320.0,1.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-03-31,394.0,338.0,1.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-01,289.0,350.0,2.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-02,356.0,369.0,4.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-03,322.0,386.0,4.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-04,277.0,400.0,5.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-05,145.0,406.0,6.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-06,177.0,415.0,6.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-07,342.0,424.0,7.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-08,448.0,456.0,7.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-09,681.0,473.0,7.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-10,640.0,494.0,7.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-11,618.0,501.0,7.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-12,660.0,480.0,7.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-13,462.0,483.0,8.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-14,693.0,492.0,8.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-15,519.0,493.0,9.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-16,791.0,502.0,9.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-17,510.0,508.0,9.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-18,729.0,517.0,9.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-19,348.0,528.0,10.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-20,5520.0,535.0,10.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-21,5520.0,543.0,12.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-22,527.0,549.0,12.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-23,609.0,557.0,12.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-24,610.0,563.0,12.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-25,692.0,596.0,14.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-26,662.0,606.0,15.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-27,567.0,620.0,15.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-28,442.0,625.0,15.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-29,635.0,630.0,15.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-04-30,876.0,643.0,17.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-01,731.0,648.0,17.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-02,807.0,652.0,17.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-03,610.0,655.0,17.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-04,775.0,657.0,17.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-05,866.0,670.0,17.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-06,1006.0,673.0,17.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-07,845.0,684.0,17.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-08,1042.0,694.0,18.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-09,1140.0,702.0,18.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-10,623.0,707.0,19.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-11,1236.0,711.0,19.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-12,5520.0,717.0,19.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-13,5520.0,719.0,19.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-14,709.0,724.0,19.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-15,1000.0,732.0,19.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-16,1016.0,733.0,19.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-17,811.0,734.0,20.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-18,825.0,737.0,20.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-19,523.0,738.0,20.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-20,410.0,746.0,20.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-21,5520.0,749.0,20.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-22,5520.0,753.0,20.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-23,1641.0,764.0,22.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-24,5520.0,769.0,22.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-25,5520.0,787.0,22.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-26,549.0,789.0,22.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-27,774.0,803.0,22.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-28,760.0,811.0,22.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-29,1240.0,816.0,22.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-30,1155.0,821.0,22.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-05-31,855.0,823.0,22.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-01,5520.0,825.0,23.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-02,5520.0,826.0,23.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-03,715.0,828.0,23.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-04,551.0,832.0,23.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-05,735.0,834.0,23.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-06,921.0,845.0,23.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-07,596.0,845.0,23.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-08,403.0,845.0,23.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-09,464.0,846.0,23.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-10,757.0,847.0,23.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-11,820.0,847.0,23.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-12,840.0,847.0,23.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-13,765.0,847.0,23.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-14,784.0,848.0,23.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-15,403.0,848.0,23.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-16,460.0,849.0,24.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-17,761.0,849.0,24.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-18,1410.0,850.0,24.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-19,338.0,853.0,24.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-20,643.0,859.0,25.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-21,412.0,876.0,25.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-22,398.0,882.0,25.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-23,1158.0,885.0,25.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-24,1473.0,902.0,26.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-25,1290.0,907.0,26.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-26,1157.0,919.0,26.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-27,1418.0,924.0,26.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-28,403.0,929.0,27.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-29,1040.0,932.0,27.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-06-30,674.0,936.0,27.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-01,5520.0,943.0,28.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-02,5520.0,947.0,28.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-03,5520.0,952.0,28.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-04,5520.0,955.0,28.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-05,5520.0,956.0,28.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-06,5520.0,960.0,29.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-07,1056.0,965.0,29.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-08,959.0,974.0,29.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-09,1467.0,977.0,29.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-10,1224.0,985.0,29.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-11,858.0,986.0,30.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-12,469.0,987.0,31.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-13,1377.0,989.0,31.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-14,1483.0,997.0,31.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-15,5520.0,1009.0,31.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-16,5520.0,1026.0,32.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-17,5520.0,1037.0,32.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-18,5520.0,1044.0,33.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-19,5520.0,1054.0,33.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-20,2033.0,1064.0,33.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-21,1407.0,1096.0,33.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-22,3100.0,1117.0,34.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-23,2316.0,1141.0,34.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-24,2100.0,1166.0,34.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-25,1488.0,1174.0,34.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-26,1943.0,1192.0,34.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-27,1955.0,1202.0,35.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-28,2363.0,1218.0,35.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-29,1990.0,1237.0,35.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-30,1640.0,1243.0,35.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-07-31,2586.0,1264.0,35.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-01,1663.0,1278.0,35.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-02,1853.0,1286.0,36.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-03,1989.0,1291.0,36.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-04,5520.0,1300.0,37.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-05,5520.0,1309.0,37.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-06,5520.0,1318.0,37.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-07,5520.0,1325.0,37.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-08,1953.0,1335.0,37.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-09,5520.0,1353.0,37.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-10,5520.0,1364.0,37.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-11,2192.0,1385.0,37.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-12,1757.0,1393.0,37.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-13,1514.0,1409.0,37.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-14,3899.0,1421.0,38.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-15,1629.0,1434.0,38.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-16,2038.0,1440.0,38.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-17,5520.0,1457.0,40.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-18,5520.0,1485.0,40.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-19,4527.0,1493.0,40.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-20,2310.0,1506.0,41.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-21,5520.0,1516.0,42.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-22,5520.0,1521.0,42.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-23,1514.0,1527.0,42.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-24,5520.0,1533.0,42.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-25,5520.0,1536.0,43.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-26,1609.0,1543.0,43.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-27,1379.0,1551.0,43.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-28,1599.0,1556.0,43.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-29,3521.0,1570.0,44.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-30,844.0,1585.0,44.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-08-31,1106.0,1595.0,44.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-01,1893.0,1611.0,44.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-02,5520.0,1626.0,44.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-03,5520.0,1636.0,44.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-04,5520.0,1653.0,45.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-05,5520.0,1669.0,45.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-06,5520.0,1679.0,45.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-07,5520.0,1693.0,45.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-08,5520.0,1712.0,45.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-09,1720.0,1741.0,45.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-10,2222.0,1759.0,45.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-11,2621.0,1773.0,45.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-12,1693.0,1780.0,45.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-13,1149.0,1808.0,45.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-14,3394.0,1812.0,45.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-15,1797.0,1827.0,45.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-16,2046.0,1856.0,45.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-17,3015.0,1876.0,46.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-18,1906.0,1890.0,46.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-19,5520.0,1904.0,46.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-20,5520.0,1917.0,46.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-21,3457.0,1927.0,46.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-22,1881.0,1934.0,46.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-23,3074.0,1946.0,47.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-24,3009.0,1959.0,47.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-25,1481.0,1967.0,47.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-26,2532.0,1998.0,47.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-27,1183.0,2008.0,47.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-28,2841.0,2010.0,47.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-29,1543.0,2033.0,48.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-09-30,2353.0,2046.0,48.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-10-01,2661.0,2061.0,48.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-10-02,3220.0,2097.0,48.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-10-03,3061.0,2122.0,48.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-10-04,1569.0,2145.0,48.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-10-05,5520.0,2155.0,48.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-10-06,5520.0,2177.0,49.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-10-07,2819.0,2206.0,49.0
Uruguay,South America,-32.52,-55.77,16,2.8,3.74,16190.1,3456750,35,15,2020-10-08,2597.0,2226.0,49.0
