Entity,Date,Daily tests,Cases,Deaths
Vietnam,2020-08-02,11046.0,621.0,6.0
Vietnam,2020-08-03,11025.0,652.0,7.0
Vietnam,2020-08-04,13148.0,672.0,8.0
Vietnam,2020-08-30,5313.0,1040.0,32.0
Vietnam,2020-09-06,7983.0,1049.0,35.0
Vietnam,2020-09-07,8774.0,1049.0,35.0
Vietnam,2020-09-08,8158.0,1054.0,35.0
Vietnam,2020-09-09,7371.0,1059.0,35.0
Vietnam,2020-09-10,9571.0,1059.0,35.0
Vietnam,2020-09-14,3005.0,1063.0,35.0
Vietnam,2020-09-15,4031.0,1063.0,35.0
Vietnam,2020-09-16,5035.0,1063.0,35.0
Vietnam,2020-09-17,2134.0,1066.0,35.0
Vietnam,2020-09-18,92374.0,1068.0,35.0
Vietnam,2020-09-19,3911.0,1068.0,35.0
Vietnam,2020-09-20,764.0,1068.0,35.0
Vietnam,2020-09-21,5565.0,1068.0,35.0
Vietnam,2020-10-12,1824.0,1110.0,35.0
Vietnam,2020-10-15,3009.0,1124.0,35.0
