Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Vietnam,Asia,14.06,108.28,25,2.6,0.82,2715.3,95540800,32,7,2020-01-23,5520.0,2.0,527.0
Vietnam,Asia,14.06,108.28,25,2.6,0.82,2715.3,95540800,32,7,2020-01-24,5520.0,2.0,527.0
Vietnam,Asia,14.06,108.28,25,2.6,0.82,2715.3,95540800,32,7,2020-01-25,5520.0,2.0,527.0
Vietnam,Asia,14.06,108.28,25,2.6,0.82,2715.3,95540800,32,7,2020-01-26,5520.0,2.0,527.0
Vietnam,Asia,14.06,108.28,25,2.6,0.82,2715.3,95540800,32,7,2020-01-27,5520.0,2.0,527.0
Vietnam,Asia,14.06,108.28,25,2.6,0.82,2715.3,95540800,32,7,2020-01-28,5520.0,2.0,527.0
Vietnam,Asia,14.06,108.28,25,2.6,0.82,2715.3,95540800,32,7,2020-01-29,5520.0,2.0,527.0
Vietnam,Asia,14.06,108.28,25,2.6,0.82,2715.3,95540800,32,7,2020-01-30,5520.0,2.0,527.0
Vietnam,Asia,14.06,108.28,25,2.6,0.82,2715.3,95540800,32,7,2020-01-31,5520.0,2.0,527.0
Vietnam,Asia,14.06,108.28,25,2.6,0.82,2715.3,95540800,32,7,2020-02-01,5520.0,6.0,527.0
Vietnam,Asia,14.06,108.28,25,2.6,0.82,2715.3,95540800,32,7,2020-02-02,5520.0,6.0,527.0
Vietnam,Asia,14.06,108.28,25,2.6,0.82,2715.3,95540800,32,7,2020-02-03,5520.0,8.0,527.0
Vietnam,Asia,14.06,108.28,25,2.6,0.82,2715.3,95540800,32,7,2020-02-04,5520.0,8.0,527.0
Vietnam,Asia,14.06,108.28,25,2.6,0.82,2715.3,95540800,32,7,2020-02-05,5520.0,8.0,527.0
Vietnam,Asia,14.06,108.28,25,2.6,0.82,2715.3,95540800,32,7,2020-02-06,5520.0,10.0,527.0
Vietnam,Asia,14.06,108.28,25,2.6,0.82,2715.3,95540800,32,7,2020-02-07,5520.0,10.0,527.0
Vietnam,Asia,14.06,108.28,25,2.6,0.82,2715.3,95540800,32,7,2020-02-08,5520.0,13.0,527.0
