Entity,Date,Daily tests,Cases,Deaths
Zambia,2020-04-02,216.0,39.0,1.0
Zambia,2020-04-05,54.0,39.0,1.0
Zambia,2020-04-06,17.0,39.0,1.0
Zambia,2020-04-07,106.0,39.0,1.0
Zambia,2020-04-08,135.0,39.0,1.0
Zambia,2020-04-09,92.0,39.0,1.0
Zambia,2020-04-10,29.0,40.0,2.0
Zambia,2020-04-11,111.0,40.0,2.0
Zambia,2020-04-12,71.0,43.0,2.0
Zambia,2020-04-13,125.0,45.0,2.0
Zambia,2020-04-14,45.0,45.0,2.0
Zambia,2020-04-15,184.0,48.0,2.0
Zambia,2020-04-16,128.0,48.0,2.0
Zambia,2020-04-17,218.0,52.0,2.0
Zambia,2020-04-18,120.0,57.0,2.0
Zambia,2020-04-19,410.0,61.0,3.0
Zambia,2020-04-20,481.0,65.0,3.0
Zambia,2020-04-21,479.0,70.0,3.0
Zambia,2020-04-22,325.0,74.0,3.0
Zambia,2020-04-23,205.0,76.0,3.0
Zambia,2020-04-24,420.0,84.0,3.0
Zambia,2020-04-25,230.0,84.0,3.0
Zambia,2020-04-26,389.0,88.0,3.0
Zambia,2020-04-29,182.0,97.0,3.0
Zambia,2020-04-30,214.0,106.0,3.0
Zambia,2020-05-01,54.0,109.0,3.0
Zambia,2020-05-02,395.0,119.0,3.0
Zambia,2020-05-03,926.0,124.0,3.0
Zambia,2020-05-04,433.0,137.0,3.0
Zambia,2020-05-05,1459.0,138.0,3.0
Zambia,2020-05-06,468.0,146.0,4.0
Zambia,2020-05-07,849.0,153.0,4.0
Zambia,2020-05-08,683.0,167.0,4.0
Zambia,2020-05-09,496.0,252.0,7.0
Zambia,2020-05-10,250.0,267.0,7.0
Zambia,2020-05-11,286.0,267.0,7.0
Zambia,2020-05-12,368.0,441.0,7.0
Zambia,2020-05-13,432.0,446.0,7.0
Zambia,2020-05-14,1560.0,654.0,7.0
Zambia,2020-05-15,324.0,654.0,7.0
Zambia,2020-05-16,667.0,679.0,7.0
Zambia,2020-05-17,876.0,753.0,7.0
Zambia,2020-05-18,521.0,761.0,7.0
Zambia,2020-05-19,644.0,772.0,7.0
Zambia,2020-05-20,495.0,832.0,7.0
Zambia,2020-05-21,418.0,866.0,7.0
Zambia,2020-05-22,579.0,920.0,7.0
Zambia,2020-06-10,542.0,1200.0,10.0
Zambia,2020-06-13,1853.0,1357.0,10.0
Zambia,2020-06-14,302.0,1358.0,11.0
Zambia,2020-06-17,749.0,1412.0,11.0
Zambia,2020-06-18,375.0,1416.0,11.0
Zambia,2020-06-19,1419.0,1430.0,11.0
Zambia,2020-06-20,804.0,1430.0,11.0
Zambia,2020-06-21,621.0,1430.0,11.0
Zambia,2020-06-24,855.0,1489.0,18.0
Zambia,2020-06-25,569.0,1497.0,18.0
Zambia,2020-06-26,1175.0,1531.0,21.0
Zambia,2020-06-27,653.0,1531.0,21.0
Zambia,2020-06-28,277.0,1557.0,22.0
Zambia,2020-06-29,363.0,1568.0,22.0
Zambia,2020-06-30,227.0,1594.0,24.0
Zambia,2020-07-01,1935.0,1632.0,30.0
Zambia,2020-07-02,330.0,1632.0,30.0
Zambia,2020-07-03,517.0,1632.0,30.0
Zambia,2020-07-04,1950.0,1632.0,30.0
Zambia,2020-07-05,628.0,1632.0,30.0
Zambia,2020-07-06,380.0,1632.0,30.0
Zambia,2020-07-07,674.0,1895.0,42.0
Zambia,2020-07-08,334.0,1895.0,42.0
Zambia,2020-07-09,523.0,1895.0,42.0
Zambia,2020-07-10,302.0,1895.0,42.0
Zambia,2020-07-11,1161.0,1895.0,42.0
Zambia,2020-07-12,515.0,1895.0,42.0
Zambia,2020-07-13,731.0,1895.0,42.0
Zambia,2020-07-14,938.0,1895.0,42.0
Zambia,2020-07-15,568.0,1895.0,42.0
Zambia,2020-07-16,720.0,1895.0,42.0
Zambia,2020-07-17,848.0,2810.0,109.0
Zambia,2020-07-18,1352.0,2980.0,120.0
Zambia,2020-07-19,1352.0,2980.0,120.0
Zambia,2020-07-20,959.0,3326.0,128.0
Zambia,2020-07-21,369.0,3386.0,128.0
Zambia,2020-07-22,844.0,3583.0,128.0
Zambia,2020-07-23,576.0,3789.0,134.0
Zambia,2020-07-24,835.0,3856.0,136.0
Zambia,2020-07-25,1841.0,4328.0,139.0
Zambia,2020-07-26,446.0,4481.0,139.0
Zambia,2020-07-27,209.0,4552.0,140.0
Zambia,2020-07-28,2542.0,5002.0,142.0
Zambia,2020-07-29,970.0,5249.0,146.0
Zambia,2020-07-30,1243.0,5555.0,149.0
Zambia,2020-07-31,1611.0,5963.0,151.0
Zambia,2020-08-01,1908.0,6228.0,165.0
Zambia,2020-08-02,559.0,6347.0,170.0
Zambia,2020-08-03,1820.0,6580.0,171.0
Zambia,2020-08-04,1091.0,6793.0,173.0
Zambia,2020-08-05,1112.0,7022.0,176.0
Zambia,2020-08-06,724.0,7164.0,199.0
Zambia,2020-08-07,2034.0,7486.0,200.0
Zambia,2020-08-08,1003.0,7903.0,203.0
Zambia,2020-08-09,651.0,8085.0,235.0
Zambia,2020-08-10,454.0,8210.0,241.0
Zambia,2020-08-11,362.0,8275.0,241.0
Zambia,2020-08-12,782.0,8501.0,246.0
Zambia,2020-08-13,1017.0,8663.0,246.0
Zambia,2020-08-14,1568.0,9021.0,256.0
Zambia,2020-08-15,588.0,9186.0,260.0
Zambia,2020-08-16,1069.0,9343.0,260.0
Zambia,2020-08-17,1549.0,9839.0,264.0
Zambia,2020-08-18,794.0,9981.0,264.0
Zambia,2020-08-19,845.0,10218.0,269.0
Zambia,2020-08-20,1155.0,10372.0,274.0
Zambia,2020-08-21,1486.0,10627.0,277.0
Zambia,2020-08-22,785.0,10831.0,279.0
Zambia,2020-08-23,1515.0,11082.0,280.0
Zambia,2020-08-24,346.0,11148.0,280.0
Zambia,2020-08-25,651.0,11285.0,282.0
Zambia,2020-08-26,599.0,11376.0,282.0
Zambia,2020-08-27,1400.0,11601.0,282.0
Zambia,2020-08-28,1224.0,11779.0,283.0
Zambia,2020-08-29,1171.0,11902.0,284.0
Zambia,2020-08-30,1046.0,12025.0,287.0
Zambia,2020-08-31,1169.0,12097.0,288.0
Zambia,2020-09-01,2191.0,12381.0,290.0
Zambia,2020-09-02,729.0,12415.0,292.0
Zambia,2020-09-03,1077.0,12523.0,292.0
Zambia,2020-09-04,1400.0,12639.0,292.0
Zambia,2020-09-07,1112.0,12836.0,295.0
Zambia,2020-09-08,1724.0,12952.0,297.0
Zambia,2020-09-09,1068.0,13112.0,300.0
Zambia,2020-09-10,1391.0,13214.0,300.0
Zambia,2020-09-11,1133.0,13323.0,306.0
Zambia,2020-09-12,1390.0,13466.0,312.0
Zambia,2020-09-13,982.0,13539.0,312.0
Zambia,2020-09-14,1608.0,13720.0,320.0
Zambia,2020-09-15,747.0,13819.0,324.0
Zambia,2020-09-16,847.0,13887.0,326.0
Zambia,2020-09-17,785.0,13928.0,326.0
Zambia,2020-09-18,1996.0,14022.0,329.0
Zambia,2020-09-19,1410.0,14070.0,330.0
Zambia,2020-09-20,1521.0,14131.0,330.0
Zambia,2020-09-21,1544.0,14175.0,331.0
Zambia,2020-09-22,1692.0,14389.0,331.0
Zambia,2020-09-23,1440.0,14443.0,332.0
Zambia,2020-09-24,1705.0,14491.0,332.0
Zambia,2020-09-25,1737.0,14515.0,332.0
Zambia,2020-09-26,1662.0,14612.0,332.0
Zambia,2020-09-27,1669.0,14641.0,332.0
Zambia,2020-09-28,1158.0,14660.0,332.0
