Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,2020-02-25,8.0,,
Algeria,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6,2020-02-25,,1.0,
Argentina,South America,-38.42,-63.62,14,5.0,3.91,9912.3,44271041,31,11,2020-01-01,4.0,,
Armenia,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11,2020-03-01,,1.0,
Australia,Oceania,-25.27,133.78,22,3.84,3.5,55060.3,24598933,37,16,2020-01-26,,4.0,
Austria,Europe,47.52,14.55,8,7.37,5.23,50137.7,8809212,44,19,2020-02-25,,2.0,
Bahrain,Asia,25.93,50.64,27,2.0,0.92,23504.0,1492584,32,2,2020-02-24,,1.0,
Bangladesh,Asia,23.68,90.36,25,0.8,0.47,1855.7,164669751,27,5,2020-03-03,108.0,,
Belarus,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15,2020-02-28,,1.0,
Belgium,Europe,50.5,4.47,10,5.64,3.01,46420.7,11372068,41,19,2020-02-04,,1.0,
Bhutan,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6,2020-03-06,,1.0,
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7,2020-03-11,,2.0,
Bosnia and Herzegovina,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16,2020-03-05,,2.0,
Bulgaria,Europe,42.73,25.49,13,7.45,4.0,9828.1,7075991,44,21,2020-03-08,,4.0,
Canada,North America,56.13,-106.35,-1,2.5,2.54,46194.7,36708083,41,17,2020-01-26,,1.0,
Cape Verde,Africa,16.0,-24.01,24,2.1,0.79,3603.8,546388,25,5,2020-03-20,,1.0,
Chile,South America,-35.68,-71.54,9,2.11,1.03,14896.5,18054726,35,12,2020-02-23,,2.0,
Colombia,South America,4.57,-74.3,25,1.71,1.82,6428.7,49065615,32,8,2020-03-06,,1.0,
Costa Rica,North America,9.75,-83.75,26,1.13,1.15,12243.8,4905769,33,10,2020-03-06,2.0,1.0,
Croatia,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20,2020-02-25,,1.0,
Cuba,North America,21.52,-77.78,26,5.2,7.52,8821.8,11484636,43,15,2020-03-12,,3.0,
Cyprus,Europe,35.13,33.43,20,3.4,2.5,27858.4,1179551,37,14,2020-03-09,,2.0,
Denmark,Europe,56.26,9.5,8,2.5,3.66,60170.3,5769603,42,20,2020-02-02,1.0,,
Dominican Republic,North America,18.74,-70.16,26,1.6,1.49,8282.1,10766998,27,7,2020-03-01,,1.0,
Ecuador,South America,-1.83,-78.18,22,1.5,1.66,6183.8,16624858,28,7,2020-03-01,,6.0,
El Salvador,North America,13.79,-88.9,25,1.3,1.6,4187.3,6377853,27,8,2020-03-19,,1.0,
Estonia,Europe,58.6,25.01,6,4.69,3.43,23723.3,1315480,42,20,2020-02-27,10.0,1.0,
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,855.8,104957438,19,4,2020-03-13,,1.0,
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,6175.9,905502,28,5,2020-02-08,1.0,,
Finland,Europe,61.92,25.75,4,3.28,3.2,48782.8,5511303,42,22,2020-01-29,,1.0,
France,Europe,46.23,2.21,13,5.98,3.24,40493.9,67118648,42,20,2020-01-24,,2.0,
Ghana,Africa,7.95,-1.02,27,0.9,0.1,2202.1,28833629,21,3,2020-03-14,,3.0,
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-02-26,,1.0,
Guatemala,North America,15.78,-90.23,24,0.6,0.9,4620.0,16913503,22,5,2020-02-17,1.0,,
Hungary,Europe,47.16,19.5,12,7.02,3.09,16731.8,9781127,43,19,2020-03-04,,2.0,
Iceland,Europe,64.96,-19.02,2,2.91,3.79,66944.8,341284,37,15,2020-02-27,23.0,,
India,Asia,20.59,78.96,25,0.53,0.76,2099.6,1339180127,28,6,2020-01-30,,1.0,
Indonesia,Asia,-0.79,113.92,26,1.04,0.2,4135.6,263991379,29,6,2020-03-02,,2.0,
Iran,Asia,32.43,53.69,20,1.5,1.49,5550.1,81162788,32,6,2020-02-19,,2.0,2.0
Iraq,Asia,33.22,43.68,24,1.4,0.85,5955.1,38274618,20,3,2020-02-24,,1.0,
Ireland,Europe,53.41,-8.24,9,2.96,2.96,78661.0,4813608,38,14,2020-02-29,,1.0,
Israel,Asia,31.05,34.85,21,2.99,3.58,43592.1,8712400,30,12,2020-02-20,29.0,,
Italy,Europe,41.87,12.57,14,3.18,4.02,33228.2,60551416,47,23,2020-01-31,,2.0,
Jamaica,North America,18.11,-77.3,27,1.7,0.47,5582.3,2890299,31,9,2020-03-11,,1.0,
Japan,Asia,36.2,138.25,12,13.05,2.37,40246.9,126785797,48,28,2020-01-22,,2.0,
Jordan,Asia,30.59,36.24,21,1.4,3.43,4405.5,9702353,23,4,2020-03-03,,1.0,
Kazakhstan,Asia,48.02,66.92,8,6.7,3.27,9812.4,18037646,30,7,2020-03-13,,4.0,
Kenya,Africa,-0.02,37.91,24,1.4,0.2,1816.5,49699862,20,2,2020-03-13,,1.0,
Kuwait,Asia,29.31,47.48,27,2.0,2.61,32000.4,4136528,33,3,2020-02-24,,1.0,
Latvia,Europe,56.88,24.6,7,5.57,3.21,17828.9,1940740,43,20,2020-02-29,116.0,,
Libya,Africa,26.34,17.23,24,3.7,2.09,7685.9,6374616,29,4,2020-03-04,3.0,,
Lithuania,Europe,55.17,23.88,7,6.56,4.38,19601.9,2827721,43,20,2020-02-29,,1.0,
Luxembourg,Europe,49.82,6.13,9,4.51,2.92,114704.6,599449,39,14,2020-02-25,7.0,,
Madagascar,Africa,-18.77,46.87,22,0.2,0.14,523.4,25570895,19,3,2020-03-20,,3.0,
Malawi,Africa,-13.25,34.3,21,1.3,0.02,411.6,18622104,18,3,2020-03-30,17.0,,
Malaysia,Asia,4.21,101.98,26,1.9,1.53,11414.2,31624264,29,7,2020-01-25,,3.0,
Malta,Europe,35.94,14.38,19,4.49,3.91,29820.6,465292,42,20,2020-02-25,29.0,,
Mauritania,Africa,21.01,-10.94,29,0.4,0.07,1679.4,4420184,20,3,2020-03-14,,1.0,
Mexico,North America,23.63,-102.55,22,1.38,2.23,9946.0,129163276,29,7,2020-01-01,25.0,,
Mongolia,Asia,46.86,103.85,2,7.0,3.26,4339.8,3075647,28,4,2020-03-10,,1.0,
Morocco,Africa,31.79,-7.09,19,1.1,0.62,3204.1,35739580,29,7,2020-02-23,1.0,,
Mozambique,Africa,-18.67,35.53,23,0.7,0.06,503.6,29668834,17,3,2020-03-22,,1.0,
Myanmar,Asia,21.91,95.96,25,0.9,0.57,1407.8,53370609,29,6,2020-03-27,,8.0,
Namibia,Africa,-22.96,18.49,21,2.7,0.37,4957.5,2533794,22,4,2020-03-14,,2.0,
Nepal,Asia,28.39,84.12,15,0.3,0.6,1071.1,29304998,25,6,2020-01-25,,1.0,
New Zealand,Oceania,-40.9,174.89,11,2.61,3.06,42084.4,4793900,37,16,2020-02-28,,1.0,
Nigeria,Africa,9.08,8.68,28,0.5,0.4,2229.9,190886311,18,3,2020-02-28,,1.0,
Norway,Europe,60.47,8.47,1,3.6,4.38,75419.6,5282223,39,17,2020-02-24,12.0,,
Oman,Asia,21.51,55.92,28,1.6,1.92,15343.1,4636262,30,2,2020-02-24,,2.0,
Pakistan,Asia,30.38,69.35,22,0.6,0.98,1284.7,197015955,23,4,2020-02-25,,2.0,
Panama,North America,8.54,-80.78,27,2.3,1.59,15731.0,4098587,29,8,2020-03-10,31.0,1.0,
Paraguay,South America,-23.44,-58.44,22,1.3,1.29,5414.8,6811297,26,6,2020-03-07,1.0,,
Peru,South America,-9.19,-75.02,19,1.6,1.12,6977.7,32165485,29,8,2020-03-06,74.0,1.0,
Philippines,Asia,12.88,121.77,27,1.0,1.11,3485.1,104918090,25,5,2020-01-30,,1.0,
Poland,Europe,51.92,19.15,9,6.62,2.29,15692.5,37975841,41,18,2020-03-04,,1.0,
Portugal,Europe,39.4,-8.22,15,3.39,4.43,23252.1,10293718,46,22,2020-03-02,45.0,2.0,
Qatar,Asia,25.35,51.18,28,1.2,1.96,62088.1,2639211,31,1,2020-02-29,,1.0,
Romania,Europe,45.94,24.97,11,6.89,2.67,12919.5,19586539,43,18,2020-02-26,,1.0,
Russia,Asia,61.52,105.32,-2,8.05,3.98,11585.0,144495044,39,15,2020-01-31,,2.0,
Rwanda,Africa,-1.94,29.87,20,1.6,0.06,820.0,12208407,20,3,2020-03-14,,1.0,
Saudi Arabia,Asia,23.89,45.08,27,2.7,2.57,23139.8,32938213,31,3,2020-03-02,160.0,1.0,
Senegal,Africa,14.5,-14.45,29,0.3,0.07,1446.8,15850567,18,3,2020-02-28,1.0,,
Serbia,Europe,44.02,21.01,12,5.61,2.46,7411.8,7022268,41,18,2020-02-27,9.0,,
Slovakia,Europe,48.67,19.7,9,5.82,3.45,19266.3,5439892,41,16,2020-03-06,378.0,1.0,
Slovenia,Europe,46.15,15.0,11,4.5,2.82,25946.2,2066748,44,20,2020-02-02,2.0,,
South Africa,Africa,-30.56,22.94,17,2.32,0.82,6001.4,56717156,27,5,2020-02-14,4.0,,
South Korea,Asia,35.91,127.77,13,12.27,2.33,31846.2,51466201,43,14,2020-01-22,5.0,1.0,
Sri Lanka,Asia,7.87,80.77,28,3.6,0.88,3853.1,21444000,34,10,2020-01-27,,1.0,
Sweden,Europe,60.13,18.64,4,2.22,4.19,51615.0,10067744,41,20,2020-02-01,,1.0,
Switzerland,Europe,46.82,8.23,8,4.53,4.25,81993.7,8466017,43,19,2020-01-24,3.0,,
Thailand,Asia,15.87,100.99,27,2.1,0.47,7806.7,69037513,40,12,2020-01-04,2.0,,
Togo,Africa,8.62,0.82,27,0.7,0.05,679.3,7797694,19,3,2020-03-04,2.0,,
Trinidad and Tobago,North America,10.69,-61.22,27,3.0,1.82,17398.0,1369125,36,11,2020-03-14,,2.0,
