Entity,Positivity Rate,Death Rate,Cases per Population,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%)
Albania,0.187962,0.016449,0.000106,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14
Algeria,0.595,0.023256,3.7e-05,Africa,28.03,1.66,25,1.9,1.83,3974.0,41318142,29,6
Argentina,0.277671,0.022544,0.000209,South America,-38.42,-63.62,14,5.0,3.91,9912.3,44271041,31,11
Armenia,0.174399,0.018285,0.000311,Europe,40.07,45.04,11,4.2,2.8,4622.7,2930450,35,11
Australia,0.000438,0.0,2.7e-05,Oceania,-25.27,133.78,22,3.84,3.5,55060.3,24598933,37,16
Austria,0.022217,0.011481,8.3e-05,Europe,47.52,14.55,8,7.37,5.23,50137.7,8809212,44,19
Bahrain,0.034202,0.002165,0.000134,Asia,25.93,50.64,27,2.0,0.92,23504.0,1492584,32,2
Bangladesh,0.120334,0.015476,2.8e-05,Asia,23.68,90.36,25,0.8,0.47,1855.7,164669751,27,5
Belarus,0.079897,0.006115,8e-05,Europe,53.71,27.95,8,11.0,4.07,6663.3,9507875,40,15
Belgium,0.040911,0.025984,0.000873,Europe,50.5,4.47,10,5.64,3.01,46420.7,11372068,41,19
Bhutan,0.0,0.0,1e-06,Asia,27.51,90.43,13,1.7,0.38,3316.2,807610,28,6
Bolivia,0.307393,0.044413,0.000665,South America,-16.29,-63.59,20,1.1,0.47,3552.1,11051600,25,7
Bosnia and Herzegovina,0.117997,0.034483,0.000192,Europe,43.92,17.68,12,3.5,1.89,6108.5,3507017,42,16
Bulgaria,0.045663,0.040675,9.4e-05,Europe,42.73,25.49,13,7.45,4.0,9828.1,7075991,44,21
Canada,0.032175,0.017753,0.000251,North America,56.13,-106.35,-1,2.5,2.54,46194.7,36708083,41,17
Cape Verde,0.110825,0.0,8e-05,Africa,16.0,-24.01,24,2.1,0.79,3603.8,546388,25,5
Chile,0.068587,0.021835,0.00065,South America,-35.68,-71.54,9,2.11,1.03,14896.5,18054726,35,12
Colombia,0.169411,0.02806,0.000452,South America,4.57,-74.3,25,1.71,1.82,6428.7,49065615,32,8
Costa Rica,0.261164,0.009524,0.000108,North America,9.75,-83.75,26,1.13,1.15,12243.8,4905769,33,10
Croatia,0.075449,0.018205,4.9e-05,Europe,45.1,15.2,13,5.54,3.13,14936.1,4125700,44,20
Cuba,0.008203,0.0,9e-06,North America,21.52,-77.78,26,5.2,7.52,8821.8,11484636,43,15
Cyprus,0.004388,0.0,1.9e-05,Europe,35.13,33.43,20,3.4,2.5,27858.4,1179551,37,14
Denmark,0.00876,0.0059,0.000109,Europe,56.26,9.5,8,2.5,3.66,60170.3,5769603,42,20
Dominican Republic,0.212656,0.012431,0.000173,North America,18.74,-70.16,26,1.6,1.49,8282.1,10766998,27,7
Ecuador,0.299058,0.033146,0.000404,South America,-1.83,-78.18,22,1.5,1.66,6183.8,16624858,28,7
El Salvador,0.039976,0.030849,0.000124,North America,13.79,-88.9,25,1.3,1.6,4187.3,6377853,27,8
Estonia,0.019344,0.0,5.2e-05,Europe,58.6,25.01,6,4.69,3.43,23723.3,1315480,42,20
