Entity,Positivity Rate,Death Rate,Cases per Population
Albania,0.1888,0.0166,0.000106
Algeria,0.37,0.0235,3.7e-05
Argentina,0.292,0.0226,0.000209
Armenia,0.0948,0.0194,0.000311
Australia,0.0007,0.0,2.7e-05
Austria,0.0222,0.0125,8.3e-05
Bahrain,0.0338,0.0023,0.000134
Bangladesh,0.1209,0.0157,2.8e-05
Belarus,0.0818,0.0065,8e-05
Belgium,0.0441,0.0266,0.000873
Bhutan,0.0,0.0,1e-06
Bolivia,0.3356,0.0458,0.000665
Bosnia and Herzegovina,0.1379,0.0351,0.000192
Bulgaria,0.0627,0.0403,9.4e-05
Canada,0.0371,0.0184,0.000251
Cape Verde,0.1311,0.0,8e-05
Chile,0.0724,0.0226,0.00065
Colombia,0.1964,0.0285,0.000452
Costa Rica,0.2648,0.0103,0.000108
Croatia,0.0773,0.0193,4.9e-05
Cuba,0.0084,0.0,9e-06
Cyprus,0.0044,0.0,1.9e-05
Denmark,0.0092,0.0064,0.000109
Dominican Republic,0.2061,0.0125,0.000173
Ecuador,0.3023,0.0331,0.000404
El Salvador,0.0491,0.0312,0.000124
Estonia,0.019,0.0,5.2e-05
Ethiopia,0.0718,0.0125,1e-05
Fiji,0.0,0.0,2e-06
Finland,0.0156,0.0,6.1e-05
France,0.044,0.0159,0.000455
Ghana,0.0696,0.0,1e-05
Greece,0.0225,0.0249,2.6e-05
Guatemala,0.21,0.0327,0.000169
Hungary,0.0573,0.039,6.4e-05
Iceland,0.0108,0.0,2.9e-05
India,0.0557,0.014,5.2e-05
Indonesia,0.1461,0.0313,3e-05
Iran,0.1095,0.0494,0.000257
Iraq,0.135,0.0178,0.000185
Ireland,0.0324,0.0121,0.000369
Israel,0.0485,0.0077,0.000124
Italy,0.0472,0.0336,0.000585
Jamaica,0.0668,0.0041,1.2e-05
Japan,0.0526,0.0148,9e-06
Jordan,0.1022,0.0049,2e-06
Kazakhstan,0.0229,0.0024,0.000108
Kenya,0.0539,0.017,1.2e-05
Kuwait,0.1342,0.0051,0.000138
Latvia,0.0139,0.0042,1.8e-05
Libya,0.1133,0.0139,6e-05
Lithuania,0.0208,0.0096,2.5e-05
Luxembourg,0.0122,0.0026,0.000207
Madagascar,0.1373,0.0149,9e-06
Malawi,0.0435,0.0,1e-05
Malaysia,0.0243,0.0023,4e-06
Malta,0.0195,0.0,3.7e-05
Mauritania,0.0692,0.0,3.6e-05
Mexico,0.3747,0.0866,0.00053
Mongolia,0.0013,0.0,1e-06
Morocco,0.0708,0.017,3.6e-05
Mozambique,0.0597,0.0068,2e-06
Myanmar,0.0232,0.0166,1e-06
Namibia,0.0946,0.0081,5.2e-05
Nepal,0.0644,0.0073,2e-05
New Zealand,0.0004,0.0,5e-06
Nigeria,0.1367,0.0113,6e-06
Norway,0.0147,0.0,5e-05
Oman,0.3232,0.0081,0.00017
Pakistan,0.0587,0.0201,3.2e-05
Panama,0.1713,0.0179,0.000503
Paraguay,0.1811,0.0162,7e-05
Peru,0.5581,0.0289,0.000934
Philippines,0.0587,0.0207,2.5e-05
Poland,0.0632,0.0237,5.5e-05
Portugal,0.0482,0.0183,0.000179
Qatar,0.0584,0.0,7.8e-05
Romania,0.0745,0.0313,0.000206
Russia,0.0312,0.0195,0.000124
Rwanda,0.0076,0.0,3e-06
Saudi Arabia,0.0126,0.0229,0.000128
Senegal,0.0769,0.0213,1.9e-05
Serbia,0.0524,0.0132,0.000104
Slovakia,0.0243,0.0,7e-06
Slovenia,0.0355,0.0137,6.5e-05
South Africa,0.0992,0.0289,0.000272
South Korea,0.0089,0.0161,6e-06
Sri Lanka,0.0207,0.0,1e-06
Sweden,0.0224,0.0223,0.000579
Switzerland,0.0346,0.0171,0.000238
Thailand,0.0014,0.0,1e-06
Togo,0.0211,0.0,5e-06
Trinidad and Tobago,0.0764,0.0,3.7e-05
Tunisia,0.0175,0.0228,8e-06
Turkey,0.0294,0.0207,8.3e-05
Uganda,0.0388,0.0041,3e-06
Ukraine,0.1088,0.0196,6.4e-05
United Arab Emirates,0.0101,0.0027,4.2e-05
United Kingdom,0.0331,0.0252,0.00063
United States,0.0709,0.0181,0.000563
Uruguay,0.014,0.0,1.3e-05
Vietnam,0.0,0.0,0.0
Zambia,0.0312,0.0047,1.9e-05
Zimbabwe,0.0483,0.011,1.3e-05
