Entity,Positivity Rate,Death Rate,Cases per Population
Albania,0.187962,0.016449,0.000106
Algeria,0.595,0.023256,3.7e-05
Argentina,0.277671,0.022544,0.000209
Armenia,0.174399,0.018285,0.000311
Australia,0.000438,0.0,2.7e-05
Austria,0.022217,0.011481,8.3e-05
Bahrain,0.034202,0.002165,0.000134
Bangladesh,0.120334,0.015476,2.8e-05
Belarus,0.079897,0.006115,8e-05
Belgium,0.040911,0.025984,0.000873
Bhutan,0.0,0.0,1e-06
Bolivia,0.307393,0.044413,0.000665
Bosnia and Herzegovina,0.117997,0.034483,0.000192
Bulgaria,0.045663,0.040675,9.4e-05
Canada,0.032175,0.017753,0.000251
Cape Verde,0.110825,0.0,8e-05
Chile,0.068587,0.021835,0.00065
Colombia,0.169411,0.02806,0.000452
Costa Rica,0.261164,0.009524,0.000108
Croatia,0.075449,0.018205,4.9e-05
Cuba,0.008203,0.0,9e-06
Cyprus,0.004388,0.0,1.9e-05
Denmark,0.00876,0.0059,0.000109
Dominican Republic,0.212656,0.012431,0.000173
Ecuador,0.299058,0.033146,0.000404
El Salvador,0.039976,0.030849,0.000124
Estonia,0.019344,0.0,5.2e-05
Ethiopia,0.070091,0.01211,1e-05
Fiji,0.0,0.0,2e-06
Finland,0.014447,0.0,6.1e-05
France,0.024486,0.016991,0.000455
Ghana,0.054443,0.0,1e-05
Greece,0.020895,0.023904,2.6e-05
Guatemala,0.199599,0.032677,0.000169
Hungary,0.057346,0.037438,6.4e-05
Iceland,0.010811,0.0,2.9e-05
India,0.041605,0.013907,5.2e-05
Indonesia,0.145895,0.031151,3e-05
Iran,0.114515,0.049355,0.000257
Iraq,0.078956,0.017716,0.000185
Ireland,0.031328,0.012058,0.000369
Israel,0.050687,0.007055,0.000124
Italy,0.04114,0.033916,0.000585
Jamaica,0.066475,0.00276,1.2e-05
Japan,0.050773,0.014493,9e-06
Jordan,0.002995,0.00459,2e-06
Kazakhstan,0.023153,0.002315,0.000108
Kenya,0.057093,0.01683,1.2e-05
Kuwait,0.111183,0.004819,0.000138
Latvia,0.013946,0.0,1.8e-05
Libya,0.136901,0.013825,6e-05
Lithuania,0.017949,0.008886,2.5e-05
Luxembourg,0.012129,0.0,0.000207
Madagascar,0.02657,0.0076,9e-06
Malawi,0.04878,0.0,1e-05
Malaysia,0.009766,0.001792,4e-06
Malta,0.01868,0.0,3.7e-05
Mauritania,0.079038,0.0,3.6e-05
Mexico,0.353865,0.085091,0.00053
Mongolia,7.2e-05,0.0,1e-06
Morocco,0.068814,0.017003,3.6e-05
Mozambique,0.059682,0.004535,2e-06
Myanmar,0.021133,0.016619,1e-06
Namibia,0.069119,0.004348,5.2e-05
Nepal,0.058293,0.00641,2e-05
New Zealand,0.000441,0.0,5e-06
Nigeria,0.097579,0.010751,6e-06
Norway,0.014925,0.0,5e-05
Oman,0.054777,0.007199,0.00017
Pakistan,0.053536,0.019707,3.2e-05
Panama,0.168797,0.017964,0.000503
Paraguay,0.181508,0.016129,7e-05
Peru,0.597645,0.027765,0.000934
Philippines,0.053861,0.020887,2.5e-05
Poland,0.03412,0.023553,5.5e-05
Portugal,0.048244,0.017871,0.000179
Qatar,0.056349,0.0,7.8e-05
Romania,0.09241,0.030612,0.000206
Russia,0.029709,0.019309,0.000124
Rwanda,0.008321,0.0,3e-06
Saudi Arabia,0.01247,0.019704,0.000128
Senegal,0.077499,0.019608,1.9e-05
Serbia,0.052111,0.012812,0.000104
Slovakia,0.02439,0.0,7e-06
Slovenia,0.033555,0.013123,6.5e-05
South Africa,0.097609,0.028249,0.000272
South Korea,0.008684,0.015559,6e-06
Sri Lanka,0.018164,0.0,1e-06
Sweden,0.016887,0.020349,0.000579
Switzerland,0.028542,0.016824,0.000238
Thailand,0.001362,0.0,1e-06
Togo,0.020979,0.0,5e-06
Trinidad and Tobago,0.038911,0.0,3.7e-05
Tunisia,0.058725,0.022223,8e-06
Turkey,0.027982,0.020526,8.3e-05
Uganda,0.015928,0.0,3e-06
Ukraine,0.113841,0.019645,6.4e-05
United Arab Emirates,0.009571,0.002563,4.2e-05
United Kingdom,0.022733,0.022364,0.00063
United States,0.06754,0.017502,0.000563
Uruguay,0.012017,0.0,1.3e-05
Vietnam,0.000664,0.0,0.0
Zambia,0.026169,0.004274,1.9e-05
Zimbabwe,0.038936,0.010989,1.3e-05
